year,age,value
2020,15,17.9
2020,16,32.391999999999996
2020,17,48.065999999999995
2020,18,63.194
2020,19,73.577
2020,20,78.753
2020,21,81.28
2020,22,81.937
2020,23,81.981
2020,24,81.704
2020,25,81.17
2020,26,80.36999999999999
2020,27,79.58500000000001
2020,28,78.71499999999999
2020,29,77.084
2020,30,74.48100000000001
2020,31,71.131
2020,32,67.095
2020,33,62.901
2020,34,58.527
2020,35,53.585
2020,36,47.576
2020,37,41.419
2020,38,35.21
2020,39,28.718
2020,40,21.652
2020,41,15.792
2020,42,10.811
2020,43,6.882
2020,44,4.018
2020,45,1.917
2020,46,0.938
2020,47,0.379
2020,48,0.126
2020,49,0.017
2021,15,17.058
2021,16,30.991999999999997
2021,17,46.194
2021,18,61.025000000000006
2021,19,71.461
2021,20,77.044
2021,21,80.188
2021,22,81.58999999999999
2021,23,82.281
2021,24,82.478
2021,25,82.143
2021,26,81.248
2021,27,80.155
2021,28,78.817
2021,29,76.69800000000001
2021,30,73.636
2021,31,69.998
2021,32,65.85000000000001
2021,33,61.677
2021,34,57.437000000000005
2021,35,52.7
2021,36,46.95
2021,37,41.045
2021,38,35.067
2021,39,28.779
2021,40,21.917
2021,41,16.144
2021,42,11.177
2021,43,7.203
2021,44,4.2490000000000006
2021,45,2.012
2021,46,0.97
2021,47,0.379
2021,48,0.123
2021,49,0.017
2022,15,15.657999999999998
2022,16,28.65
2022,17,43.107
2022,18,57.534
2022,19,68.11
2022,20,74.345
2022,21,78.26700000000001
2022,22,80.46000000000001
2022,23,81.81099999999999
2022,24,82.505
2022,25,82.505
2022,26,81.8
2022,27,80.803
2022,28,79.48700000000001
2022,29,77.36
2022,30,74.279
2022,31,70.62
2022,32,66.46000000000001
2022,33,62.285
2022,34,58.053
2022,35,53.313
2022,36,47.582
2022,37,41.693
2022,38,35.729
2022,39,29.459
2022,40,22.65
2022,41,16.826
2022,42,11.757
2022,43,7.659
2022,44,4.566
2022,45,2.1519999999999997
2022,46,1.019
2022,47,0.38
2022,48,0.121
2022,49,0.016
2023,15,15.396999999999998
2023,16,28.369
2023,17,42.858
2023,18,57.351
2023,19,67.91600000000001
2023,20,74.044
2023,21,77.857
2023,22,79.956
2023,23,81.258
2023,24,81.948
2023,25,81.97
2023,26,81.301
2023,27,80.336
2023,28,79.043
2023,29,76.929
2023,30,73.852
2023,31,70.20400000000001
2023,32,66.062
2023,33,61.908
2023,34,57.701
2023,35,52.992999999999995
2023,36,47.297
2023,37,41.446
2023,38,35.520999999999994
2023,39,29.287
2023,40,22.51
2023,41,16.721
2023,42,11.689
2023,43,7.62
2023,44,4.549
2023,45,2.183
2023,46,1.048
2023,47,0.4009999999999999
2023,48,0.129
2023,49,0.017
2024,15,14.81
2024,16,27.355
2024,17,41.47
2024,18,55.711
2024,19,66.256
2024,20,72.6
2024,21,76.70100000000001
2024,22,79.10499999999999
2024,23,80.64699999999999
2024,24,81.493
2024,25,81.613
2024,26,81.003
2024,27,80.114
2024,28,78.925
2024,29,76.92999999999999
2024,30,73.98100000000001
2024,31,70.462
2024,32,66.449
2024,33,62.437
2024,34,58.375
2024,35,53.77
2024,36,48.099
2024,37,42.235
2024,38,36.262
2024,39,29.945
2024,40,23.036
2024,41,17.135
2024,42,11.994
2024,43,7.828999999999999
2024,44,4.675999999999999
2024,45,2.2369999999999997
2024,46,1.0510000000000002
2024,47,0.39
2024,48,0.124
2024,49,0.017
2025,15,14.157
2025,16,26.218
2025,17,39.886
2025,18,53.794
2025,19,64.25
2025,20,70.757
2025,21,75.10600000000001
2025,22,77.788
2025,23,79.556
2025,24,80.553
2025,25,80.77199999999999
2025,26,80.22999999999999
2025,27,79.42399999999999
2025,28,78.347
2025,29,76.482
2025,30,73.676
2025,31,70.306
2025,32,66.44200000000001
2025,33,62.59
2025,34,58.694
2025,35,54.219
2025,36,48.605
2025,37,42.762
2025,38,36.779
2025,39,30.417
2025,40,23.419
2025,41,17.442
2025,42,12.225
2025,43,7.99
2025,44,4.773000000000001
2025,45,2.277
2025,46,1.048
2025,47,0.378
2025,48,0.119
2025,49,0.016
2026,15,13.569
2026,16,25.197
2026,17,38.471
2026,18,52.09
2026,19,62.481
2026,20,69.153
2026,21,73.749
2026,22,76.705
2026,23,78.697
2026,24,79.848
2026,25,80.16900000000001
2026,26,79.696
2026,27,78.97500000000001
2026,28,78.00500000000001
2026,29,76.265
2026,30,73.592
2026,31,70.35600000000001
2026,32,66.626
2026,33,62.92
2026,34,59.175
2026,35,54.813
2026,36,49.24
2026,37,43.4
2026,38,37.39
2026,39,30.967
2026,40,23.861
2026,41,17.791999999999998
2026,42,12.486
2026,43,8.17
2026,44,4.882
2026,45,2.323
2026,46,1.048
2026,47,0.367
2026,48,0.114
2026,49,0.015
2027,15,13.024
2027,16,24.253
2027,17,37.163
2027,18,50.518
2027,19,60.856
2027,20,67.69
2027,21,72.526
2027,22,75.75
2027,23,77.966
2027,24,79.271
2027,25,79.697
2027,26,79.29799999999999
2027,27,78.661
2027,28,77.79899999999999
2027,29,76.179
2027,30,73.63300000000001
2027,31,70.524
2027,32,66.91900000000001
2027,33,63.349
2027,34,59.744
2027,35,55.487
2027,36,49.943
2027,37,44.098
2027,38,38.051
2027,39,31.558000000000003
2027,40,24.334000000000003
2027,41,18.166
2027,42,12.762
2027,43,8.361
2027,44,4.998
2027,45,2.372
2027,46,1.049
2027,47,0.358
2027,48,0.11
2027,49,0.015
2028,15,12.509
2028,16,23.362
2028,17,35.929
2028,18,49.034
2028,19,59.32
2028,20,66.30999999999999
2028,21,71.378
2028,22,74.864
2028,23,77.299
2028,24,78.75999999999999
2028,25,79.295
2028,26,78.972
2028,27,78.423
2028,28,77.67
2028,29,76.168
2028,30,73.74600000000001
2028,31,70.758
2028,32,67.271
2028,33,63.831
2028,34,60.361
2028,35,56.201
2028,36,50.681999999999995
2028,37,44.826
2028,38,38.736
2028,39,32.168
2028,40,24.822
2028,41,18.549
2028,42,13.046
2028,43,8.556
2028,44,5.116
2028,45,2.422
2028,46,1.052
2028,47,0.35
2028,48,0.107
2028,49,0.014
2029,15,12.035
2029,16,22.545
2029,17,34.802
2029,18,47.684
2029,19,57.935
2029,20,65.08
2029,21,70.37899999999999
2029,22,74.125
2029,23,76.782
2029,24,78.402
2029,25,79.04899999999999
2029,26,78.807
2029,27,78.347
2029,28,77.70100000000001
2029,29,76.315
2029,30,74.011
2029,31,71.137
2029,32,67.759
2029,33,64.437
2029,34,61.092
2029,35,57.02
2029,36,51.512
2029,37,45.633
2029,38,39.489999999999995
2029,39,32.834
2029,40,25.353
2029,41,18.965
2029,42,13.352
2029,43,8.765
2029,44,5.243
2029,45,2.477
2029,46,1.057
2029,47,0.3429999999999999
2029,48,0.103
2029,49,0.014
2030,15,11.573
2030,16,21.75
2030,17,33.7
2030,18,46.358
2030,19,56.564
2030,20,63.852999999999994
2030,21,69.37
2030,22,73.367
2030,23,76.24000000000001
2030,24,78.02000000000001
2030,25,78.78200000000001
2030,26,78.626
2030,27,78.258
2030,28,77.722
2030,29,76.45100000000001
2030,30,74.265
2030,31,71.504
2030,32,68.233
2030,33,65.029
2030,34,61.805
2030,35,57.819
2030,36,52.324000000000005
2030,37,46.422
2030,38,40.226
2030,39,33.485
2030,40,25.871
2030,41,19.369999999999997
2030,42,13.65
2030,43,8.969
2030,44,5.3660000000000005
2030,45,2.5309999999999997
2030,46,1.0610000000000002
