year,age,value
2020,0,0.01283806
2020,1,0.00068417
2020,2,0.00049825
2020,3,0.00036759
2020,4,0.00027761
2020,5,0.00021703
2020,6,0.00017784
2020,7,0.00015456
2020,8,0.00014365
2020,9,0.00014362
2020,10,0.00015447
2020,11,0.00017808
2020,12,0.0002184
2020,13,0.00028281
2020,14,0.00038196
2020,15,0.00052933
2020,16,0.0007315
2020,17,0.00097242
2020,18,0.00121185
2020,19,0.00139236
2020,20,0.00148935
2020,21,0.00151429
2020,22,0.00149702
2020,23,0.00147021
2020,24,0.0014494
2020,25,0.00144157
2020,26,0.00144637
2020,27,0.0014599
2020,28,0.00148022
2020,29,0.00150675
2020,30,0.00154056
2020,31,0.00158382
2020,32,0.00163865
2020,33,0.00170705
2020,34,0.0017899
2020,35,0.00188748
2020,36,0.00199942
2020,37,0.00212473
2020,38,0.00226248
2020,39,0.00241195
2020,40,0.00257219
2020,41,0.00274254
2020,42,0.00292322
2020,43,0.00311547
2020,44,0.00332253
2020,45,0.00355031
2020,46,0.00380573
2020,47,0.00409612
2020,48,0.00442693
2020,49,0.00479929
2020,50,0.00521098
2020,51,0.0056537
2020,52,0.00611843
2020,53,0.00660006
2020,54,0.00709797
2020,55,0.00762323
2020,56,0.0081922
2020,57,0.00882588
2020,58,0.00954637
2020,59,0.01036872
2020,60,0.01130464
2020,61,0.01235516
2020,62,0.01351523
2020,63,0.01477268
2020,64,0.01610906
2020,65,0.01750197
2020,66,0.01892797
2020,67,0.0203856
2020,68,0.02189299
2020,69,0.02352426
2020,70,0.02540107
2020,71,0.02767012
2020,72,0.03050627
2020,73,0.03405414
2020,74,0.03851726
2020,75,0.04245759
2020,76,0.04671661
2020,77,0.05140346
2020,78,0.05656344
2020,79,0.06224929
2020,80,0.07009196
2020,81,0.07895546
2020,82,0.08897932
2020,83,0.10030308
2020,84,0.11307248
2020,85,0.12744814
2020,86,0.14355824
2020,87,0.1614957
2020,88,0.18133172
2020,89,0.2030992
2020,90,0.22680607
2020,91,0.25238193
2020,92,0.27969004
2020,93,0.30856838
2020,94,0.33873745
2020,95,0.36972958
2020,96,0.40147207
2020,97,0.43355939
2020,98,0.46560219
2020,99,0.4972185
2021,0,0.01261262
2021,1,0.00064236
2021,2,0.00048749
2021,3,0.00037308
2021,4,0.00029038
2021,5,0.00023207
2021,6,0.00019261
2021,7,0.0001678
2021,8,0.00015476
2021,9,0.00015214
2021,10,0.00015994
2021,11,0.00017999
2021,12,0.00021608
2021,13,0.0002754
2021,14,0.00036784
2021,15,0.00050567
2021,16,0.00069461
2021,17,0.00092078
2021,18,0.00115009
2021,19,0.00133303
2021,20,0.00144734
2021,21,0.00150136
2021,22,0.00152041
2021,23,0.00153389
2021,24,0.00155547
2021,25,0.00159052
2021,26,0.00163629
2021,27,0.00168632
2021,28,0.00173716
2021,29,0.00178799
2021,30,0.00184285
2021,31,0.00190843
2021,32,0.00199074
2021,33,0.00209559
2021,34,0.00222538
2021,35,0.0023795
2021,36,0.0025551
2021,37,0.00274681
2021,38,0.00295037
2021,39,0.00316305
2021,40,0.00338544
2021,41,0.0036208
2021,42,0.00387315
2021,43,0.00414716
2021,44,0.00444546
2021,45,0.00476943
2021,46,0.00511948
2021,47,0.00549535
2021,48,0.00589883
2021,49,0.00633327
2021,50,0.0068055
2021,51,0.00732471
2021,52,0.00789833
2021,53,0.00853134
2021,54,0.00922201
2021,55,0.00996031
