year,age,value
2020,0,2728239.0
2020,1,2807514.5
2020,2,2842087.5
2020,3,2831452.5
2020,4,2863193.5
2020,5,2900963.5
2020,6,2884811.0
2020,7,2872996.0
2020,8,2880057.5
2020,9,2890419.0
2020,10,2901908.5
2020,11,2916355.0
2020,12,2948750.0
2020,13,2997114.5
2020,14,3045232.5
2020,15,3077794.0
2020,16,3091124.0
2020,17,3129824.0
2020,18,3194621.5
2020,19,3253937.5
2020,20,3306691.0
2020,21,3348476.0
2020,22,3357314.0
2020,23,3334790.0
2020,24,3314295.0
2020,25,3288923.5
2020,26,3263005.0
2020,27,3244112.5
2020,28,3246031.0
2020,29,3269877.0
2020,30,3298018.0
2020,31,3328531.0
2020,32,3357042.5
2020,33,3389663.5
2020,34,3411568.5
2020,35,3416950.0
2020,36,3416278.0
2020,37,3403688.5
2020,38,3370186.5
2020,39,3319329.0
2020,40,3255187.5
2020,41,3182842.0
2020,42,3105008.5
2020,43,3023804.5
2020,44,2942793.5
2020,45,2865524.0
2020,46,2804910.5
2020,47,2748782.5
2020,48,2683070.0
2020,49,2618299.0
2020,50,2557940.5
2020,51,2507735.0
2020,52,2476321.0
2020,53,2459393.0
2020,54,2441522.0
2020,55,2415680.5
2020,56,2378553.5
2020,57,2323546.5
2020,58,2254278.0
2020,59,2180094.5
2020,60,2103013.0
2020,61,2020943.5
2020,62,1934203.5
2020,63,1846469.5
2020,64,1759105.5
2020,65,1672587.5
2020,66,1587182.5
2020,67,1502963.5
2020,68,1419714.5
2020,69,1336460.5
2020,70,1258480.5
2020,71,1164088.5
2020,72,1059332.0
2020,73,968072.0
2020,74,888425.0
2020,75,822973.0
2020,76,762319.5
2020,77,703263.5
2020,78,646935.0
2020,79,590369.5
2020,80,536006.0
2020,81,482729.0
2020,82,428692.5
2020,83,377551.5
2020,84,328804.5
2020,85,284398.0
2020,86,244943.5
2020,87,207824.0
2020,88,172978.0
2020,89,141123.0
2020,90,113210.0
2020,91,89132.0
2020,92,68448.5
2020,93,51229.5
2020,94,37506.5
2020,95,26925.5
2020,96,18840.0
2020,97,12783.0
2020,98,8431.0
2020,99,5434.0
2021,0,2659915.0
2021,1,2720929.0
2021,2,2804098.5
2021,3,2839338.0
2021,4,2829233.5
2021,5,2861366.0
2021,6,2899432.5
2021,7,2883514.0
2021,8,2871871.5
2021,9,2879049.0
2021,10,2889499.0
2021,11,2900916.5
2021,12,2915152.0
2021,13,2947139.5
2021,14,2994826.5
2021,15,3041963.0
2021,16,3073269.0
2021,17,3085152.0
2021,18,3122325.5
2021,19,3185705.5
2021,20,3243916.5
2021,21,3295942.5
2021,22,3337334.5
2021,23,3346042.0
2021,24,3323553.5
2021,25,3303162.5
2021,26,3277939.5
2021,27,3252205.0
2021,28,3233513.0
2021,29,3235610.5
2021,30,3259593.0
2021,31,3287835.5
2021,32,3318397.5
2021,33,3346900.5
2021,34,3379420.5
2021,35,3401157.5
2021,36,3406323.5
2021,37,3405382.0
2021,38,3392494.0
2021,39,3358693.5
2021,40,3307538.0
2021,41,3243111.5
2021,42,3170487.0
2021,43,3092367.5
2021,44,3010846.5
2021,45,2929491.5
2021,46,2851832.0
2021,47,2790711.0
2021,48,2733979.5
2021,49,2667660.5
2021,50,2603117.5
2021,51,2541935.5
2021,52,2490808.5
2021,53,2458304.0
2021,54,2440101.5
2021,55,2420881.5
2021,56,2393708.0
2021,57,2355284.5
2021,58,2299102.5
2021,59,2228790.0
2021,60,2153574.0
2021,61,2075430.0
2021,62,1992279.0
2021,63,1904466.0
2021,64,1815635.0
2021,65,1727197.0
2021,66,1639712.5
2021,67,1553515.5
2021,68,1468704.0
2021,69,1385038.0
2021,70,1301459.5
2021,71,1222971.5
2021,72,1128320.5
2021,73,1023560.5
2021,74,931731.5
2021,75,851594.0
2021,76,785744.5
2021,77,724748.0
2021,78,665509.5
2021,79,609106.0
2021,80,552337.0
2021,81,497564.5
2021,82,444208.5
2021,83,390659.0
2021,84,340330.5
2021,85,292826.0
2021,86,249883.5
2021,87,212027.0
2021,88,176957.0
2021,89,144652.0
2021,90,115711.5
2021,91,90856.5
2021,92,69907.5
2021,93,52383.5
2021,94,38199.0
2021,95,27209.5
2021,96,18981.0
2021,97,12896.0
