year,age,value
2020,15,18.981
2020,16,40.395
2020,17,70.149
2020,18,106.166
2020,19,139.912
2020,20,168.72400000000002
2020,21,190.282
2020,22,204.429
2020,23,213.555
2020,24,218.38
2020,25,219.69
2020,26,217.925
2020,27,214.277
2020,28,209.043
2020,29,202.337
2020,30,194.327
2020,31,185.517
2020,32,176.104
2020,33,166.33100000000002
2020,34,156.202
2020,35,145.407
2020,36,134.084
2020,37,122.232
2020,38,109.895
2020,39,97.182
2020,40,84.289
2020,41,70.38600000000001
2020,42,56.057
2020,43,42.957
2020,44,31.578000000000003
2020,45,22.177
2020,46,15.403
2020,47,10.605
2020,48,7.436
2020,49,4.64
2021,15,18.392
2021,16,39.462
2021,17,68.81099999999999
2021,18,104.365
2021,19,137.60500000000002
2021,20,165.887
2021,21,187.001
2021,22,200.805
2021,23,209.665
2021,24,214.293
2021,25,215.451
2021,26,213.574
2021,27,209.893
2021,28,204.701
2021,29,198.057
2021,30,190.108
2021,31,181.39
2021,32,172.099
2021,33,162.501
2021,34,152.587
2021,35,141.99200000000002
2021,36,130.789
2021,37,119.068
2021,38,106.876
2021,39,94.284
2021,40,81.46100000000001
2021,41,67.78099999999999
2021,42,53.782999999999994
2021,43,41.031
2021,44,29.991
2021,45,20.904
2021,46,14.411
2021,47,9.839
2021,48,6.849
2021,49,4.247
2022,15,17.893
2022,16,38.577
2022,17,67.47200000000001
2022,18,102.528
2022,19,135.273
2022,20,163.08700000000002
2022,21,183.802
2022,22,197.283
2022,23,205.879
2022,24,210.296
2022,25,211.292
2022,26,209.3
2022,27,205.592
2022,28,200.455
2022,29,193.894
2022,30,186.031
2022,31,177.417
2022,32,168.241
2022,33,158.80700000000002
2022,34,149.093
2022,35,138.683
2022,36,127.578
2022,37,115.964
2022,38,103.894
2022,39,91.409
2022,40,78.639
2022,41,65.187
2022,42,51.534000000000006
2022,43,39.151
2022,44,28.479999999999997
2022,45,19.753
2022,46,13.544
2022,47,9.193
2022,48,6.367
2022,49,3.929
2023,15,17.441000000000003
2023,16,37.69
2023,17,66.032
2023,18,100.458
2023,19,132.61800000000002
2023,20,159.92999999999998
2023,21,180.241
2023,22,193.417
2023,23,201.774
2023,24,206.007
2023,25,206.875
2023,26,204.822
2023,27,201.13
2023,28,196.084
2023,29,189.646
2023,30,181.932
2023,31,173.484
2023,32,164.49
2023,33,155.24599999999998
2023,34,145.726
2023,35,135.503
2023,36,124.577
2023,37,113.158
2023,38,101.302
2023,39,89.024
2023,40,76.467
2023,41,63.25600000000001
2023,42,49.875
2023,43,37.744
2023,44,27.293000000000003
2023,45,18.709
2023,46,12.696000000000002
2023,47,8.508999999999999
2023,48,5.826
2023,49,3.561
2024,15,16.453
2024,16,36.057
2024,17,63.86899999999999
2024,18,97.986
2024,19,130.047
2024,20,157.399
2024,21,177.728
2024,22,190.852
2024,23,199.133
2024,24,203.278
2024,25,204.05
2024,26,201.903
2024,27,198.158
2024,28,193.093
2024,29,186.634
2024,30,178.895
2024,31,170.423
2024,32,161.417
2024,33,152.173
2024,34,142.66799999999998
2024,35,132.472
2024,36,121.618
2024,37,110.322
2024,38,98.638
2024,39,86.55699999999999
2024,40,74.245
2024,41,61.284
2024,42,48.184
2024,43,36.311
2024,44,26.092
2024,45,17.688
2024,46,11.888
2024,47,7.887999999999999
2024,48,5.361000000000001
2024,49,3.261
2025,15,15.42
2025,16,34.264
2025,17,61.352999999999994
2025,18,94.908
2025,19,126.626
2025,20,153.81
2025,21,174.008
2025,22,186.99
2025,23,195.143
2025,24,199.181
2025,25,199.86
2025,26,197.648
2025,27,193.884
2025,28,188.844
2025,29,182.415
2025,30,174.713
2025,31,166.283
2025,32,157.333
2025,33,148.15800000000002
2025,34,138.736
2025,35,128.64
2025,36,117.935
2025,37,106.839
2025,38,95.404
2025,39,83.596
2025,40,71.60600000000001
2025,41,58.979
2025,42,46.242
2025,43,34.702999999999996
2025,44,24.781
2025,45,16.616
2025,46,11.062
2025,47,7.268
2025,48,4.904000000000001
2025,49,2.968
2026,15,14.526000000000002
2026,16,32.72
2026,17,59.216
2026,18,92.352
2026,19,123.859
2026,20,150.985
2026,21,171.137
2026,22,184.039
2026,23,192.109
2026,24,196.066
2026,25,196.668
2026,26,194.392
2026,27,190.601
2026,28,185.57
2026,29,179.147
2026,30,171.453
2026,31,163.031
2026,32,154.1
2026,33,144.953
2026,34,135.574
2026,35,125.534
2026,36,114.928
2026,37,103.978
2026,38,92.732
2026,39,81.137
2026,40,69.404
2026,41,57.042
2026,42,44.599
2026,43,33.332
2026,44,23.657
2026,45,15.692000000000002
2026,46,10.35
2026,47,6.734
2026,48,4.511
2026,49,2.716
2027,15,13.694
2027,16,31.261999999999997
2027,17,57.174
2027,18,89.887
2027,19,121.174
2027,20,148.232
2027,21,168.335
2027,22,181.163
2027,23,189.156
2027,24,193.042
2027,25,193.577
2027,26,191.246
2027,27,187.436
2027,28,182.419
2027,29,176.007
2027,30,168.325
2027,31,159.914
2027,32,151.004
2027,33,141.88799999999998
2027,34,132.552
2027,35,122.568
2027,36,112.057
2027,37,101.248
2027,38,90.185
2027,39,78.794
2027,40,67.30600000000001
2027,41,55.2
2027,42,43.039
2027,43,32.036
2027,44,22.599
2027,45,14.832
2027,46,9.693
2027,47,6.246
2027,48,4.155
2027,49,2.489
2028,15,12.918
2028,16,29.883
2028,17,55.218999999999994
2028,18,87.503
2028,19,118.559
2028,20,145.538
2028,21,165.58999999999995
2028,22,178.346
2028,23,186.269
2028,24,190.093
2028,25,190.569
2028,26,188.194
2028,27,184.373
2028,28,179.375
2028,29,172.98
2028,30,165.313
2028,31,156.917
2028,32,148.03
2028,33,138.946
2028,34,129.654
2028,35,119.726
2028,36,109.31
2028,37,98.636
2028,38,87.75
2028,39,76.556
2028,40,65.303
2028,41,53.444
2028,42,41.556
2028,43,30.807
2028,44,21.603
2028,45,14.031
2028,46,9.087
2028,47,5.8
2028,48,3.831
2028,49,2.284
2029,15,12.207
2029,16,28.607
2029,17,53.402
2029,18,85.285
2029,19,116.133
2029,20,143.05300000000005
2029,21,163.07
2029,22,175.77100000000002
2029,23,183.638
2029,24,187.412
2029,25,187.839
2029,26,185.426
2029,27,181.597
2029,28,176.618
2029,29,170.237
2029,30,162.583
2029,31,154.196
2029,32,145.324
2029,33,136.265
2029,34,127.007
2029,35,117.125
2029,36,106.79
2029,37,96.238
2029,38,85.51
2029,39,74.49600000000001
2029,40,63.457
2029,41,51.824000000000005
2029,42,40.186
2029,43,29.672
2029,44,20.685
2029,45,13.298
2029,46,8.536
2029,47,5.398
2029,48,3.541
2029,49,2.101
2030,15,11.54
2030,16,27.392
2030,17,51.649
2030,18,83.121
2030,19,113.745
2030,20,140.59
2030,21,160.56599999999997
2030,22,173.213
2030,23,181.029
2030,24,184.758
2030,25,185.145
2030,26,182.704
2030,27,178.874
2030,28,173.92
2030,29,167.55900000000003
2030,30,159.922
2030,31,151.54899999999998
2030,32,142.697
2030,33,133.66400000000002
2030,34,124.444
2030,35,114.61
2030,36,104.357
2030,37,93.924
2030,38,83.351
2030,39,72.51100000000001
2030,40,61.681
2030,41,50.267
2030,42,38.873
2030,43,28.59
2030,44,19.815
2030,45,12.611
2030,46,8.024
2030,47,5.0280000000000005
2030,48,3.276
2030,49,1.934
2031,15,10.917
2031,16,26.242
2031,17,49.971
2031,18,81.028
2031,19,111.423
2031,20,138.185
2031,21,158.118
2031,22,170.713
2031,23,178.483
2031,24,182.177
2031,25,182.532
2031,26,180.07000000000002
2031,27,176.246
2031,28,171.322
2031,29,164.985
2031,30,157.368
2031,31,149.011
2031,32,140.179
2031,33,131.174
2031,34,121.991
2031,35,112.204
2031,36,102.031
2031,37,91.713
2031,38,81.289
2031,39,70.617
2031,40,59.986
2031,41,48.784
2031,42,37.625
2031,43,27.563
2031,44,18.994
2031,45,11.97
2031,46,7.551
2031,47,4.688999999999999
2031,48,3.034
2031,49,1.783
2032,15,10.338
2032,16,25.159
2032,17,48.375
2032,18,79.02499999999999
2032,19,109.191
2032,20,135.87
2032,21,155.76100000000002
2032,22,168.31199999999998
2032,23,176.04500000000002
2032,24,179.71
2032,25,180.041
2032,26,177.567
2032,27,173.754
2032,28,168.86200000000002
2032,29,162.55
2032,30,154.955
2032,31,146.615
2032,32,137.80200000000002
2032,33,128.82299999999998
2032,34,119.674
2032,35,109.931
2032,36,99.832
2032,37,89.62299999999999
2032,38,79.33999999999999
2032,39,68.826
2032,40,58.383
2032,41,47.381
2032,42,36.446
2032,43,26.596
2032,44,18.224
2032,45,11.374
2032,46,7.115
2032,47,4.379
2032,48,2.815
2032,49,1.647
2033,15,9.799
2033,16,24.14
2033,17,46.858999999999995
2033,18,77.109
2033,19,107.05
2033,20,133.646
2033,21,153.5
2033,22,166.013
2033,23,173.717
2033,24,177.361
2033,25,177.676
2033,26,175.196
2033,27,171.399
2033,28,166.542
2033,29,160.257
2033,30,152.684
2033,31,144.35899999999998
2033,32,135.564
2033,33,126.608
2033,34,117.491
2033,35,107.789
2033,36,97.759
2033,37,87.65100000000001
2033,38,77.5
2033,39,67.135
2033,40,56.869
2033,41,46.057
2033,42,35.333000000000006
2033,43,25.686
2033,44,17.503
2033,45,10.82
2033,46,6.712
2033,47,4.095
2033,48,2.615
2033,49,1.523
2034,15,9.294
2034,16,23.172
2034,17,45.405
2034,18,75.254
2034,19,104.963
2034,20,131.469
2034,21,151.284
2034,22,163.762
2034,23,171.441
2034,24,175.071
2034,25,175.377
2034,26,172.899
2034,27,169.122
2034,28,164.305
2034,29,158.04999999999998
2034,30,150.502
2034,31,142.194
2034,32,133.418
2034,33,124.486
2034,34,115.4
2034,35,105.737
2034,36,95.774
2034,37,85.76400000000001
2034,38,75.739
2034,39,65.518
2034,40,55.421
2034,41,44.793
2034,42,34.272999999999996
2034,43,24.821
2034,44,16.820999999999998
2034,45,10.301
2034,46,6.338
2034,47,3.834
2034,48,2.433
2034,49,1.41
2035,15,8.825
2035,16,22.263
2035,17,44.026
2035,18,73.485
2035,19,102.969
2035,20,129.389
2035,21,149.16899999999998
2035,22,161.62
2035,23,169.28199999999998
2035,24,172.906
2035,25,173.211
2035,26,170.739
2035,27,166.988
2035,28,162.212
2035,29,155.988
2035,30,148.464
2035,31,140.172
2035,32,131.412
2035,33,122.5
2035,34,113.442
2035,35,103.814
2035,36,93.912
2035,37,83.991
2035,38,74.085
2035,39,63.998
2035,40,54.059000000000005
2035,41,43.602
2035,42,33.275
2035,43,24.008000000000003
2035,44,16.182
2035,45,9.82
2035,46,5.994
2035,47,3.595
2035,48,2.2659999999999996
2035,49,1.307
2036,15,8.38
2036,16,21.387
2036,17,42.678
2036,18,71.73
2036,19,100.966
2036,20,127.278
2036,21,147.011
2036,22,159.43099999999998
2036,23,167.076
2036,24,170.69799999999998
2036,25,171.007
2036,26,168.55100000000002
2036,27,164.832
2036,28,160.103
2036,29,153.917
2036,30,146.424
2036,31,138.155
2036,32,129.416
2036,33,120.529
2036,34,111.503
2036,35,101.915
2036,36,92.077
2036,37,82.248
2036,38,72.461
2036,39,62.508
2036,40,52.727
2036,41,42.441
2036,42,32.305
2036,43,23.222
2036,44,15.569
2036,45,9.363
2036,46,5.67
2036,47,3.373
2036,48,2.113
2036,49,1.213
2037,15,7.971000000000001
2037,16,20.576
2037,17,41.425999999999995
2037,18,70.102
2037,19,99.117
2037,20,125.342
2037,21,145.04500000000002
2037,22,157.448
2037,23,165.08999999999995
2037,24,168.719
2037,25,169.04
2037,26,166.604
2037,27,162.918
2037,28,158.235
2037,29,152.082
2037,30,144.61499999999998
2037,31,136.36100000000002
2037,32,127.635
2037,33,118.765
2037,34,109.761
2037,35,100.202
2037,36,90.414
2037,37,80.664
2037,38,70.98
2037,39,61.146
2037,40,51.506
2037,41,41.374
2037,42,31.412000000000003
2037,43,22.497
2037,44,15.005
2037,45,8.945
2037,46,5.375
2037,47,3.1719999999999997
2037,48,1.974
2037,49,1.129
2038,15,7.590000000000001
2038,16,19.81
2038,17,40.234
2038,18,68.54100000000001
2038,19,97.337
2038,20,123.477
2038,21,143.154
2038,22,155.547
2038,23,163.191
2038,24,166.833
2038,25,167.172
2038,26,164.761
2038,27,161.113
2038,28,156.477
2038,29,150.36
2038,30,142.91799999999998
2038,31,134.678
2038,32,125.964
2038,33,117.107
2038,34,108.122
2038,35,98.588
2038,36,88.848
2038,37,79.17
2038,38,69.58300000000001
2038,39,59.86
2038,40,50.351
2038,41,40.364999999999995
2038,42,30.568
2038,43,21.813
2038,44,14.474
2038,45,8.554
2038,46,5.101
2038,47,2.986
2038,48,1.847
2038,49,1.0510000000000002
2039,15,7.226
2039,16,19.068
2039,17,39.059000000000005
2039,18,66.97699999999999
2039,19,95.53
2039,20,121.559
2039,21,141.193
2039,22,153.56900000000002
2039,23,161.214
2039,24,164.873
2039,25,165.236
2039,26,162.858
2039,27,159.25400000000002
2039,28,154.673
2039,29,148.598
2039,30,141.18900000000002
2039,31,132.971
2039,32,124.274
2039,33,115.438
2039,34,106.478
2039,35,96.975
2039,36,87.286
2039,37,77.684
2039,38,68.19600000000001
2039,39,58.587
2039,40,49.211
2039,41,39.372
2039,42,29.741
2039,43,21.147
2039,44,13.961
2039,45,8.181000000000001
2039,46,4.843
2039,47,2.813
2039,48,1.73
2039,49,0.98
2040,15,6.890000000000001
2040,16,18.379
2040,17,37.966
2040,18,65.523
2040,19,93.857
2040,20,119.795
2040,21,139.403
2040,22,151.77599999999998
2040,23,159.433
2040,24,163.11800000000002
2040,25,163.511
2040,26,161.169
2040,27,157.611
2040,28,153.083
2040,29,147.047
2040,30,139.66600000000005
2040,31,131.462
2040,32,122.775
2040,33,113.95
2040,34,105.005
2040,35,95.523
2040,36,85.875
2040,37,76.336
2040,38,66.934
2040,39,57.424
2040,40,48.166
2040,41,38.459
2040,42,28.979000000000003
2040,43,20.532
2040,44,13.487
2040,45,7.839
2040,46,4.606
2040,47,2.655
2040,48,1.623
2040,49,0.915
2041,15,6.579
2041,16,17.732999999999997
2041,17,36.934000000000005
2041,18,64.14699999999999
2041,19,92.273
2041,20,118.128
2041,21,137.72
2041,22,150.098
2041,23,157.777
2041,24,161.494
2041,25,161.922
2041,26,159.622
2041,27,156.112
2041,28,151.638
2041,29,145.63899999999998
2041,30,138.284
2041,31,130.092
2041,32,121.41
2041,33,112.59
2041,34,103.656
2041,35,94.188
2041,36,84.57199999999999
2041,37,75.08800000000001
2041,38,65.762
