year,age,value
2020,0,0.03744915
2020,1,0.00425831
2020,2,0.00383941
2020,3,0.00347513
2020,4,0.00313974
2020,5,0.00281659
2020,6,0.00249805
2020,7,0.00218708
2020,8,0.00190312
2020,9,0.00166396
2020,10,0.00148666
2020,11,0.00137915
2020,12,0.00134151
2020,13,0.00137564
2020,14,0.00147704
2020,15,0.00164139
2020,16,0.00185534
2020,17,0.00209699
2020,18,0.00234435
2020,19,0.00257027
2020,20,0.00275764
2020,21,0.00289714
2020,22,0.00299091
2020,23,0.00300738
2020,24,0.00294422
2020,25,0.00285321
2020,26,0.0027834
2020,27,0.00278166
2020,28,0.00283629
2020,29,0.00290495
2020,30,0.00298064
2020,31,0.00305564
2020,32,0.00312536
2020,33,0.00319042
2020,34,0.00326121
2020,35,0.00334898
2020,36,0.00346645
2020,37,0.00362691
2020,38,0.00383293
2020,39,0.00408186
2020,40,0.00435768
2020,41,0.00463239
2020,42,0.00488549
2020,43,0.00510479
2020,44,0.00529883
2020,45,0.00549894
2020,46,0.00574632
2020,47,0.00608068
2020,48,0.00652463
2020,49,0.00708595
2020,50,0.00774244
2020,51,0.00844201
2020,52,0.00913251
2020,53,0.00976358
2020,54,0.01033096
2020,55,0.01087791
2020,56,0.0114712
2020,57,0.012201
2020,58,0.01314341
2020,59,0.01434429
2020,60,0.01580695
2020,61,0.01748926
2020,62,0.01934145
2020,63,0.02132155
2020,64,0.02340448
2020,65,0.02559676
2020,66,0.02793386
2020,67,0.03048492
2020,68,0.03334801
2020,69,0.03659541
2020,70,0.04026648
2020,71,0.04430154
2020,72,0.04868011
2020,73,0.0533869
2020,74,0.05840261
2020,75,0.06384119
2020,76,0.069829
2020,77,0.07652417
2020,78,0.08385662
2020,79,0.09183338
2020,80,0.10071348
2020,81,0.11068538
2020,82,0.12193035
2020,83,0.13570898
2020,84,0.15251601
2020,85,0.17150783
2020,86,0.19188726
2020,87,0.2128711
2020,88,0.23444827
2020,89,0.25731495
2020,90,0.28173113
2020,91,0.30789082
2020,92,0.33602183
2020,93,0.36665422
2020,94,0.39964451
2020,95,0.43418625
2020,96,0.46941546
2020,97,0.50450495
2020,98,0.53931007
2020,99,0.57429288
2021,0,0.03619844
2021,1,0.00401507
2021,2,0.00361789
2021,3,0.00327982
2021,4,0.00297182
2021,5,0.00267522
2021,6,0.00238083
2021,7,0.00209071
2021,8,0.00182306
2021,9,0.00159586
2021,10,0.00142714
2021,11,0.00132532
2021,12,0.00129099
2021,13,0.00132805
2021,14,0.00143338
2021,15,0.00160225
2021,16,0.00182078
2021,17,0.0020665
2021,18,0.00231896
2021,19,0.00255188
2021,20,0.00274711
2021,21,0.0028945
2021,22,0.0029948
2021,23,0.0030592
2021,24,0.0031032
2021,25,0.00313932
2021,26,0.00317703
2021,27,0.00322393
2021,28,0.0032847
2021,29,0.00335965
2021,30,0.00344201
2021,31,0.00352409
2021,32,0.00360234
2021,33,0.00367793
2021,34,0.00376048
2021,35,0.00386241
2021,36,0.00399636
2021,37,0.00417585
2021,38,0.00440941
2021,39,0.00469392
2021,40,0.00500892
2021,41,0.00532501
2021,42,0.00561616
2021,43,0.00586708
2021,44,0.00609351
2021,45,0.00632266
2021,46,0.00659582
2021,47,0.00696292
2021,48,0.0074489
2021,49,0.0080595
2021,50,0.00876544
2021,51,0.00950303
2021,52,0.01021129
2021,53,0.01083903
2021,54,0.01138659
2021,55,0.01190322
2021,56,0.01246223
2021,57,0.01315884
2021,58,0.01406576
2021,59,0.01522479
2021,60,0.01664461
2021,61,0.01828746
2021,62,0.02010637
2021,63,0.02205866
2021,64,0.02412185
2021,65,0.02630414
2021,66,0.02864519
2021,67,0.03122247
2021,68,0.03412276
2021,69,0.03741124
2021,70,0.04111631
2021,71,0.04524726
2021,72,0.04975258
2021,73,0.05463057
2021,74,0.05994338
2021,75,0.06575334
2021,76,0.07218705
2021,77,0.07938583
2021,78,0.08748455
2021,79,0.09657939
2021,80,0.10673859
2021,81,0.11795951
2021,82,0.13022331
2021,83,0.14425725
2021,84,0.16050406
2021,85,0.1786384
2021,86,0.19837231
2021,87,0.21945142
2021,88,0.24204543
2021,89,0.26658259
2021,90,0.29320929
2021,91,0.3220504
2021,92,0.35326523
2021,93,0.38757345
2021,94,0.42520855
2021,95,0.46532977
2021,96,0.50689723
2021,97,0.54893262
2021,98,0.59123962
2021,99,0.63439764
2022,0,0.03502871
2022,1,0.00377289
2022,2,0.00338814
2022,3,0.00306852
2022,4,0.00278377
2022,5,0.00251269
2022,6,0.00224326
2022,7,0.00197551
2022,8,0.0017267
2022,9,0.00151416
2022,10,0.0013561
2022,11,0.0012616
2022,12,0.00123155
2022,13,0.00126926
2022,14,0.00137174
2022,15,0.00153514
2022,16,0.0017467
2022,17,0.00198477
2022,18,0.00222906
2022,19,0.00245322
2022,20,0.00263889
2022,21,0.00277623
2022,22,0.00286617
2022,23,0.00292141
2022,24,0.00295824
2022,25,0.00298818
2022,26,0.00301926
2022,27,0.00305753
2022,28,0.00310348
2022,29,0.0031558
2022,30,0.00321036
2022,31,0.00326173
2022,32,0.00330825
2022,33,0.00335067
2022,34,0.00339628
2022,35,0.00345628
2022,36,0.00354404
2022,37,0.00367258
2022,38,0.00384546
2022,39,0.00406015
2022,40,0.00429947
2022,41,0.00453805
2022,42,0.00475709
2022,43,0.00494126
2022,44,0.00510086
2022,45,0.0052661
2022,46,0.00546962
2022,47,0.00575595
2022,48,0.00615195
2022,49,0.00666022
2022,50,0.00725934
2022,51,0.00789708
2022,52,0.00851907
2022,53,0.00907809
2022,54,0.00956858
2022,55,0.0100292
2022,56,0.01052561
2022,57,0.01114601
2022,58,0.01195663
2022,59,0.01300167
2022,60,0.01429362
2022,61,0.01579888
2022,62,0.01747357
2022,63,0.01926657
2022,64,0.02115138
2022,65,0.02314498
2022,66,0.02528844
2022,67,0.02766351
2022,68,0.03035187
2022,69,0.03341327
2022,70,0.03688557
2022,71,0.0407652
2022,72,0.04506352
2022,73,0.04974424
2022,74,0.05483464
2022,75,0.06043971
2022,76,0.06663323
2022,77,0.07355442
2022,78,0.08132583
2022,79,0.09002065
2022,80,0.09967269
2022,81,0.11024474
2022,82,0.12168614
2022,83,0.13398241
2022,84,0.14715896
2022,85,0.16134324
2022,86,0.17669243
2022,87,0.19338623
2022,88,0.21159918
2022,89,0.23140193
2022,90,0.2528042
2022,91,0.27578473
2022,92,0.30038748
2022,93,0.326647
2022,94,0.35450093
2022,95,0.38365829
2022,96,0.41353264
2022,97,0.44355312
2022,98,0.47328687
2022,99,0.50272256
2023,0,0.03392661
2023,1,0.00349207
2023,2,0.00314692
2023,3,0.00286444
2023,4,0.00261478
2023,5,0.00237545
2023,6,0.00213285
2023,7,0.00188603
2023,8,0.00165264
2023,9,0.00145122
2023,10,0.00130063
2023,11,0.00121071
2023,12,0.00118307
2023,13,0.00122062
2023,14,0.00132031
2023,15,0.00147923
2023,16,0.00168542
2023,17,0.00191789
2023,18,0.0021549
2023,19,0.00236942
2023,20,0.00254492
2023,21,0.00267329
2023,22,0.00275778
2023,23,0.00281066
2023,24,0.00284597
2023,25,0.00287488
2023,26,0.0029054
2023,27,0.00294322
2023,28,0.00298877
2023,29,0.00304077
