year,age,value
2020,0,3799893.5
2020,1,3669932.5
2020,2,3535253.0
2020,3,3418814.0
2020,4,3314423.5
2020,5,3211551.0
2020,6,3122717.5
2020,7,3073120.0
2020,8,3059772.5
2020,9,3040558.0
2020,10,3010998.0
2020,11,2995522.5
2020,12,2983382.5
2020,13,2953542.5
2020,14,2913615.5
2020,15,2856542.0
2020,16,2784221.5
2020,17,2720256.0
2020,18,2657511.5
2020,19,2583794.0
2020,20,2512792.5
2020,21,2441485.5
2020,22,2371843.5
2020,23,2306418.5
2020,24,2232248.5
2020,25,2157414.5
2020,26,2082251.5
2020,27,2001724.0
2020,28,1913493.0
2020,29,1824736.5
2020,30,1740833.0
2020,31,1660289.0
2020,32,1587362.5
2020,33,1503563.0
2020,34,1406737.0
2020,35,1315300.0
2020,36,1237203.0
2020,37,1187830.0
2020,38,1162419.5
2020,39,1137354.0
2020,40,1104726.5
2020,41,1066409.0
2020,42,1025981.5
2020,43,985305.0
2020,44,943872.0
2020,45,900865.0
2020,46,862960.0
2020,47,834072.5
2020,48,810386.5
2020,49,787947.0
2020,50,763604.0
2020,51,738302.0
2020,52,713329.5
2020,53,684464.0
2020,54,653280.0
2020,55,624800.5
2020,56,596716.0
2020,57,567774.5
2020,58,538123.0
2020,59,508444.5
2020,60,479573.0
2020,61,446020.0
2020,62,407945.5
2020,63,377591.5
2020,64,356816.5
2020,65,337401.5
2020,66,315728.5
2020,67,292816.5
2020,68,270387.5
2020,69,248385.5
2020,70,239107.0
2020,71,231787.0
2020,72,217588.0
2020,73,202573.0
2020,74,183739.5
2020,75,164852.0
2020,76,146673.5
2020,77,129566.0
2020,78,113695.5
2020,79,99094.5
2020,80,85750.0
2020,81,73650.5
2020,82,62454.5
2020,83,51978.0
2020,84,42493.0
2020,85,34283.0
2020,86,27297.0
2020,87,21340.0
2020,88,16347.999999999998
2020,89,12263.0
2020,90,9000.5
2020,91,6454.5
2020,92,4512.0
2020,93,3072.0
2020,94,2030.0
2020,95,1300.0
2020,96,811.0
2020,97,495.5
2020,98,297.5
2020,99,176.5
2021,0,3867781.5
2021,1,3771145.5
2021,2,3655750.5
2021,3,3522903.0
2021,4,3407994.0
2021,5,3304958.5
2021,6,3203350.5
2021,7,3115675.0
2021,8,3067059.0
2021,9,3054503.5
2021,10,3035934.0
2021,11,3006837.5
2021,12,2991606.5
2021,13,2979515.0
2021,14,2949559.5
2021,15,2909368.5
2021,16,2851922.0
2021,17,2779181.0
2021,18,2714762.5
2021,19,2651601.5
2021,20,2577591.5
2021,21,2506408.5
2021,22,2435042.5
2021,23,2365459.0
2021,24,2300195.0
2021,25,2226277.0
2021,26,2151693.5
2021,27,2076717.5
2021,28,1996315.5
2021,29,1908192.0
2021,30,1819534.5
2021,31,1735723.5
2021,32,1655276.5
2021,33,1582442.5
2021,34,1498778.5
2021,35,1402133.5
2021,36,1310846.0
2021,37,1232825.5
2021,38,1183388.0
2021,39,1157771.5
2021,40,1132470.0
2021,41,1099641.5
2021,42,1061186.0
2021,43,1020688.0
2021,44,979992.5
2021,45,938574.5
2021,46,895590.5
2021,47,857639.5
2021,48,828586.5
2021,49,804627.5
2021,50,781844.5
2021,51,757155.0
2021,52,731542.0
2021,53,706323.5
2021,54,677333.0
2021,55,646120.5
2021,56,617608.5
2021,57,589465.0
