year,age,value
2020,15,0.3409999999999999
2020,16,2.513
2020,17,13.533
2020,18,34.187000000000005
2020,19,60.978
2020,20,91.319
2020,21,115.727
2020,22,132.607
2020,23,143.214
2020,24,148.118
2020,25,148.477
2020,26,145.241
2020,27,140.466
2020,28,134.66400000000002
2020,29,127.935
2020,30,120.376
2020,31,111.912
2020,32,102.819
2020,33,93.966
2020,34,85.412
2020,35,76.52499999999999
2020,36,67.328
2020,37,58.346
2020,38,49.698
2020,39,41.357
2020,40,33.39
2020,41,25.876
2020,42,18.992
2020,43,13.144
2020,44,8.439
2020,45,4.638
2020,46,2.436
2020,47,1.149
2020,48,0.626
2020,49,0.384
2021,15,0.3939999999999999
2021,16,2.6220000000000003
2021,17,13.55
2021,18,33.933
2021,19,60.291
2021,20,90.075
2021,21,113.995
2021,22,130.497
2021,23,140.86499999999998
2021,24,145.677
2021,25,146.09900000000002
2021,26,143.07
2021,27,138.573
2021,28,133.093
2021,29,126.684
2021,30,119.429
2021,31,111.207
2021,32,102.292
2021,33,93.548
2021,34,85.042
2021,35,76.17599999999999
2021,36,67.011
2021,37,58.064
2021,38,49.458
2021,39,41.165
2021,40,33.268
2021,41,25.789
2021,42,18.924
2021,43,13.086
2021,44,8.383
2021,45,4.548
2021,46,2.362
2021,47,1.084
2021,48,0.566
2021,49,0.3379999999999999
2022,15,0.379
2022,16,2.569
2022,17,13.367
2022,18,33.525
2022,19,59.599
2022,20,89.07
2022,21,112.733
2022,22,129.05
2022,23,139.294
2022,24,144.039
2022,25,144.44199999999998
2022,26,141.435
2022,27,136.98399999999998
2022,28,131.565
2022,29,125.229
2022,30,118.061
2022,31,109.934
2022,32,101.122
2022,33,92.474
2022,34,84.05600000000001
2022,35,75.281
2022,36,66.22
2022,37,57.379
2022,38,48.876000000000005
2022,39,40.685
2022,40,32.897000000000006
2022,41,25.501
2022,42,18.704
2022,43,12.917
2022,44,8.248
2022,45,4.412
2022,46,2.2590000000000003
2022,47,1.004
2022,48,0.502
2022,49,0.293
2023,15,0.4449999999999999
2023,16,2.71
2023,17,13.43
2023,18,33.322
2023,19,58.957
2023,20,87.853
2023,21,111.016
2023,22,126.954
2023,23,136.966
2023,24,141.634
2023,25,142.119
2023,26,139.339
2023,27,135.18099999999998
2023,28,130.096
2023,29,124.084
2023,30,117.221
2023,31,109.333
2023,32,100.692
2023,33,92.141
2023,34,83.756
2023,35,74.988
2023,36,65.94999999999999
2023,37,57.14
2023,38,48.675
2023,39,40.532
2023,40,32.819
2023,41,25.453
2023,42,18.665000000000003
2023,43,12.876
2023,44,8.197
2023,45,4.301
2023,46,2.166
2023,47,0.921
2023,48,0.427
2023,49,0.235
2024,15,0.4
2024,16,2.538
2024,17,13.034
2024,18,32.71
2024,19,58.193000000000005
2024,20,87.018
2024,21,110.134
2024,22,126.035
2024,23,136.001
2024,24,140.61499999999998
2024,25,141.074
2024,26,138.31199999999998
2024,27,134.22899999999998
2024,28,129.271
2024,29,123.415
2024,30,116.725
2024,31,109.001
2024,32,100.506
2024,33,92.086
2024,34,83.812
2024,35,75.12299999999999
2024,36,66.12
2024,37,57.321
2024,38,48.85
2024,39,40.683
2024,40,32.921
2024,41,25.521
2024,42,18.706
2024,43,12.897
2024,44,8.206
2024,45,4.305
2024,46,2.164
2024,47,0.916
2024,48,0.421
2024,49,0.23
2025,15,0.358
2025,16,2.368
2025,17,12.595
2025,18,31.959
2025,19,57.165
2025,20,85.774
2025,21,108.729
2025,22,124.517
2025,23,134.39100000000002
2025,24,138.936
2025,25,139.374
2025,26,136.649
2025,27,132.66
2025,28,127.853
2025,29,122.179
2025,30,115.691
2025,31,108.163
2025,32,99.852
2025,33,91.598
2025,34,83.471
2025,35,74.901
2025,36,65.973
2025,37,57.227
2025,38,48.79
2025,39,40.637
2025,40,32.86300000000001
2025,41,25.465
2025,42,18.656
2025,43,12.855
2025,44,8.175
2025,45,4.288
2025,46,2.152
2025,47,0.907
2025,48,0.413
2025,49,0.223
2026,15,0.322
2026,16,2.217
2026,17,12.194
2026,18,31.279
2026,19,56.244
2026,20,84.675
2026,21,107.503
2026,22,123.203
2026,23,133.006
2026,24,137.496
2026,25,137.918
2026,26,135.23
2026,27,131.333
