year,age,value
2020,0,0.02135242
2020,1,0.00228798
2020,2,0.00149776
2020,3,0.00101936
2020,4,0.00070952
2020,5,0.00051293
2020,6,0.00040389
2020,7,0.00035833
2020,8,0.0003521
2020,9,0.00036133
2020,10,0.00036236
2020,11,0.00037323
2020,12,0.0004021
2020,13,0.00043643
2020,14,0.00047929
2020,15,0.00052468
2020,16,0.00057605
2020,17,0.00063073
2020,18,0.00068558
2020,19,0.00077322
2020,20,0.00084228
2020,21,0.00092943
2020,22,0.00098296
2020,23,0.00103068
2020,24,0.0010693
2020,25,0.00110085
2020,26,0.00112971
2020,27,0.00116132
2020,28,0.00120283
2020,29,0.00126734
2020,30,0.00132954
2020,31,0.00145091
2020,32,0.00155495
2020,33,0.0016733
2020,34,0.00184204
2020,35,0.00206772
2020,36,0.0022651
2020,37,0.00251322
2020,38,0.00273899
2020,39,0.00305047
2020,40,0.00342125
2020,41,0.00382335
2020,42,0.00434799
2020,43,0.00483514
2020,44,0.00535823
2020,45,0.00597299
2020,46,0.00666415
2020,47,0.00749204
2020,48,0.00863851
2020,49,0.00980556
2020,50,0.01102337
2020,51,0.01218438
2020,52,0.01348286
2020,53,0.01462437
2020,54,0.01583817
2020,55,0.01699476
2020,56,0.01824996
2020,57,0.01977253
2020,58,0.02161657
2020,59,0.02386461
2020,60,0.02656182
2020,61,0.0296414
2020,62,0.03286616
2020,63,0.03574961
2020,64,0.03822951
2020,65,0.04051183
2020,66,0.04369501
2020,67,0.04716747
2020,68,0.0508888
2020,69,0.05500686
2020,70,0.05948745
2020,71,0.06404843
2020,72,0.06770539
2020,73,0.07232055
2020,74,0.07787035
2020,75,0.08431606
2020,76,0.09163915
2020,77,0.09954117
2020,78,0.10807598
2020,79,0.11742567
2020,80,0.12757909
2020,81,0.13860263
2020,82,0.15073196
2020,83,0.16427
2020,84,0.17936653
2020,85,0.19606648
2020,86,0.21452982
2020,87,0.23495333
2020,88,0.25733716
2020,89,0.28222733
2020,90,0.30926659
2020,91,0.33806909
2020,92,0.36919766
2020,93,0.40257281
2020,94,0.43981515
2020,95,0.48261571
2020,96,0.52839801
2020,97,0.57933328
2020,98,0.6364979
2020,99,0.70031806
2021,0,0.02205104
2021,1,0.00237656
2021,2,0.00154958
2021,3,0.00104532
2021,4,0.00073916
2021,5,0.00053801
2021,6,0.00041214
2021,7,0.00034655
2021,8,0.00032618
2021,9,0.00033624
2021,10,0.00036181
2021,11,0.00037657
2021,12,0.00039837
2021,13,0.0004365
2021,14,0.00047877
2021,15,0.0005293
2021,16,0.00058127
2021,17,0.00063739
2021,18,0.0006937
2021,19,0.00074677
2021,20,0.00083317
2021,21,0.00089653
2021,22,0.00097659
2021,23,0.00102823
2021,24,0.00108673
2021,25,0.00114536
2021,26,0.00120225
2021,27,0.00125781
2021,28,0.00131591
2021,29,0.00138764
2021,30,0.00148794
2021,31,0.00159117
2021,32,0.00176297
2021,33,0.00192498
2021,34,0.00210823
2021,35,0.00235086
2021,36,0.00265665
2021,37,0.00292904
2021,38,0.00326546
2021,39,0.00359442
2021,40,0.00403429
2021,41,0.00456032
2021,42,0.00513851
2021,43,0.00588895
2021,44,0.00664751
2021,45,0.00748652
2021,46,0.00845372
2021,47,0.00950635
