year,age,value
2020,0,17030.0
2020,1,17138.5
2020,2,17328.0
2020,3,17569.5
2020,4,17773.0
2020,5,17823.0
2020,6,17710.0
2020,7,17469.0
2020,8,17193.0
2020,9,17106.0
2020,10,17149.0
2020,11,17151.5
2020,12,17121.0
2020,13,16914.5
2020,14,16507.0
2020,15,16118.500000000002
2020,16,15809.5
2020,17,15522.5
2020,18,15198.0
2020,19,14894.0
2020,20,14794.0
2020,21,14861.0
2020,22,14993.5
2020,23,15211.5
2020,24,15245.0
2020,25,15045.0
2020,26,14948.0
2020,27,14973.0
2020,28,14982.5
2020,29,14888.5
2020,30,14671.0
2020,31,14441.5
2020,32,14255.5
2020,33,14060.5
2020,34,13974.5
2020,35,14209.0
2020,36,14344.5
2020,37,14098.5
2020,38,13730.5
2020,39,13320.5
2020,40,12902.0
2020,41,12479.5
2020,42,11985.5
2020,43,11499.0
2020,44,10913.5
2020,45,10114.0
2020,46,9566.5
2020,47,9458.5
2020,48,9536.5
2020,49,9614.5
2020,50,9624.0
2020,51,9564.0
2020,52,9454.5
2020,53,9384.0
2020,54,9290.0
2020,55,9174.5
2020,56,9069.0
2020,57,8854.0
2020,58,8401.0
2020,59,7944.0
2020,60,7611.5
2020,61,7218.0
2020,62,6773.0
2020,63,6315.0
2020,64,5864.0
2020,65,5430.0
2020,66,5010.0
2020,67,4622.0
2020,68,4236.5
2020,69,3836.5
2020,70,3599.0
2020,71,3440.5
2020,72,3199.0
2020,73,2924.0
2020,74,2610.5
2020,75,2300.0
2020,76,2055.5
2020,77,1854.5
2020,78,1648.5
2020,79,1435.0
2020,80,1236.0
2020,81,1057.5
2020,82,893.5
2020,83,745.5
2020,84,614.0
2020,85,498.5
2020,86,397.0
2020,87,309.5
2020,88,237.5
2020,89,178.5
2020,90,131.5
2020,91,95.5
2020,92,67.5
2020,93,45.5
2020,94,29.0
2020,95,18.0
2020,96,10.5
2020,97,7.0
2020,98,3.0
2020,99,2.0
2021,0,16752.0
2021,1,16839.0
2021,2,17018.0
2021,3,17197.0
2021,4,17422.5
2021,5,17608.0
2021,6,17640.0
2021,7,17514.5
2021,8,17262.5
2021,9,16981.5
2021,10,16895.5
2021,11,16950.0
2021,12,16967.0
2021,13,16950.5
2021,14,16755.5
2021,15,16361.0
2021,16,15979.5
2021,17,15679.5
2021,18,15402.5
2021,19,15084.0
2021,20,14779.5
2021,21,14673.0
2021,22,14734.0
2021,23,14858.0
2021,24,15070.0
2021,25,15097.5
2021,26,14894.5
2021,27,14798.0
2021,28,14822.0
2021,29,14831.5
2021,30,14738.0
2021,31,14517.5
2021,32,14287.5
2021,33,14106.5
2021,34,13918.5
2021,35,13839.5
2021,36,14074.5
2021,37,14210.5
2021,38,13962.5
2021,39,13596.5
2021,40,13193.5
2021,41,12783.5
2021,42,12364.0
2021,43,11870.0
2021,44,11379.0
2021,45,10792.0
2021,46,9994.0
2021,47,9445.5
2021,48,9332.0
2021,49,9401.5
2021,50,9468.0
2021,51,9464.5
2021,52,9395.0
2021,53,9279.5
2021,54,9201.5
2021,55,9098.5
2021,56,8971.5
2021,57,8855.0
2021,58,8630.0
2021,59,8170.999999999999
2021,60,7708.5
2021,61,7365.5
2021,62,6961.0
2021,63,6510.0
2021,64,6054.0
