year,age,value
2020,15,8.444
2020,16,17.508
2020,17,31.255
2020,18,49.023
2020,19,66.85900000000001
2020,20,83.425
2020,21,97.023
2020,22,107.384
2020,23,115.517
2020,24,121.599
2020,25,125.415
2020,26,127.012
2020,27,126.793
2020,28,124.822
2020,29,120.967
2020,30,115.245
2020,31,107.852
2020,32,99.135
2020,33,90.404
2020,34,81.806
2020,35,72.671
2020,36,63.031000000000006
2020,37,53.684999999999995
2020,38,44.791
2020,39,36.242999999999995
2020,40,28.149
2020,41,21.092
2020,42,15.25
2020,43,10.821000000000002
2020,44,7.760000000000001
2020,45,5.657
2020,46,4.33
2020,47,3.386
2020,48,2.654
2020,49,1.786
2021,15,8.366
2021,16,17.343999999999998
2021,17,30.906
2021,18,48.394
2021,19,65.973
2021,20,82.333
2021,21,95.903
2021,22,106.388
2021,23,114.701
2021,24,120.98
2021,25,124.943
2021,26,126.617
2021,27,126.397
2021,28,124.355
2021,29,120.396
2021,30,114.551
2021,31,107.06
2021,32,98.275
2021,33,89.517
2021,34,80.93
2021,35,71.825
2021,36,62.229
2021,37,52.94
2021,38,44.112
2021,39,35.632
2021,40,27.608
2021,41,20.629
2021,42,14.871
2021,43,10.519
2021,44,7.523000000000001
2021,45,5.476
2021,46,4.196
2021,47,3.286
2021,48,2.5799999999999996
2021,49,1.738
2022,15,8.073
2022,16,16.828
2022,17,30.101
2022,18,47.257
2022,19,64.558
2022,20,80.732
2022,21,94.288
2022,22,104.929
2022,23,113.485
2022,24,120.059
2022,25,124.287
2022,26,126.166
2022,27,126.058
2022,28,124.032
2022,29,120.024
2022,30,114.087
2022,31,106.499
2022,32,97.627
2022,33,88.80799999999999
2022,34,80.185
2022,35,71.07
2022,36,61.488
2022,37,52.236
2022,38,43.467
2022,39,35.058
2022,40,27.114
2022,41,20.216
2022,42,14.537
2022,43,10.251
2022,44,7.305
2022,45,5.298
2022,46,4.0489999999999995
2022,47,3.166
2022,48,2.486
2022,49,1.675
2023,15,7.801
2023,16,16.35
2023,17,29.356
2023,18,46.207
2023,19,63.255
2023,20,79.263
2023,21,92.816
2023,22,103.616
2023,23,112.415
2023,24,119.283
2023,25,123.776
2023,26,125.861
2023,27,125.865
2023,28,123.854
2023,29,119.798
2023,30,113.764
2023,31,106.075
2023,32,97.111
2023,33,88.222
2023,34,79.556
2023,35,70.42099999999999
2023,36,60.841
2023,37,51.615
2023,38,42.893
2023,39,34.544
2023,40,26.668
2023,41,19.842
2023,42,14.233
2023,43,10.005
2023,44,7.105
2023,45,5.135
2023,46,3.914
2023,47,3.056
2023,48,2.399
2023,49,1.617
2024,15,7.548
2024,16,15.905
2024,17,28.664
2024,18,45.235
2024,19,62.053
2024,20,77.913
2024,21,91.473
2024,22,102.435
2024,23,111.478
2024,24,118.638
2024,25,123.396
2024,26,125.687
2024,27,125.804
2024,28,123.81
2024,29,119.703
2024,30,113.572
2024,31,105.778
2024,32,96.714
2024,33,87.748
2024,34,79.031
2024,35,69.867
2024,36,60.28
2024,37,51.07
2024,38,42.384
2024,39,34.083000000000006
2024,40,26.266
2024,41,19.502
2024,42,13.955
2024,43,9.78
2024,44,6.921
2024,45,4.984
2024,46,3.788
2024,47,2.953
2024,48,2.318
2024,49,1.563
2025,15,7.32
2025,16,15.509
2025,17,28.054
2025,18,44.385
2025,19,61.013
2025,20,76.75999999999999
2025,21,90.352
2025,22,101.493
2025,23,110.791
2025,24,118.252
2025,25,123.281
2025,26,125.782
2025,27,126.013
2025,28,124.034
2025,29,119.872
2025,30,113.634
2025,31,105.72
2025,32,96.54
2025,33,87.48100000000001
2025,34,78.69500000000001
2025,35,69.483
2025,36,59.867999999999995
2025,37,50.653
2025,38,41.983
2025,39,33.711999999999996
2025,40,25.935
2025,41,19.217
2025,42,13.717
2025,43,9.584
2025,44,6.760000000000001
2025,45,4.8500000000000005
2025,46,3.677
2025,47,2.861
2025,48,2.245
2025,49,1.514
2026,15,7.076
2026,16,15.074
2026,17,27.366999999999997
2026,18,43.408
2026,19,59.790000000000006
2026,20,75.372
2026,21,88.946
2026,22,100.218
2026,23,109.731
2026,24,117.46
2026,25,122.74
2026,26,125.44
2026,27,125.78600000000002
2026,28,123.83
2026,29,119.632
2026,30,113.312
2026,31,105.31
2026,32,96.049
2026,33,86.929
2026,34,78.106
2026,35,68.878
2026,36,59.268
2026,37,50.079
2026,38,41.455
2026,39,33.24
2026,40,25.528
2026,41,18.877
2026,42,13.442
2026,43,9.364
2026,44,6.582
2026,45,4.706
2026,46,3.558
2026,47,2.764
2026,48,2.1679999999999997
2026,49,1.462
2027,15,6.842
2027,16,14.655
2027,17,26.705
2027,18,42.464
2027,19,58.608
2027,20,74.027
2027,21,87.58
2027,22,98.978
2027,23,108.7
2027,24,116.69
2027,25,122.215
2027,26,125.112
2027,27,125.574
2027,28,123.645
2027,29,119.413
2027,30,113.014
2027,31,104.927
2027,32,95.586
2027,33,86.407
2027,34,77.54700000000001
2027,35,68.303
2027,36,58.697
2027,37,49.532
2027,38,40.95
2027,39,32.79
2027,40,25.139000000000003
2027,41,18.552
2027,42,13.18
2027,43,9.153
2027,44,6.412
2027,45,4.569
2027,46,3.444
2027,47,2.6710000000000003
2027,48,2.094
2027,49,1.412
2028,15,6.643
2028,16,14.304
2028,17,26.161
2028,18,41.702000000000005
2028,19,57.671
2028,20,72.987
2028,21,86.56700000000001
2028,22,98.125
2028,23,108.084
2028,24,116.358
2028,25,122.145
2028,26,125.25
2028,27,125.829
2028,28,123.924
2028,29,119.645
2028,30,113.148
2028,31,104.948
2028,32,95.495
2028,33,86.225
2028,34,77.296
2028,35,68.00200000000001
2028,36,58.363
2028,37,49.188
2028,38,40.614999999999995
2028,39,32.476
2028,40,24.857
2028,41,18.307
2028,42,12.975
2028,43,8.985
2028,44,6.273
2028,45,4.454
2028,46,3.349
2028,47,2.592
2028,48,2.0309999999999997
2028,49,1.37
2029,15,6.425
2029,16,13.91
2029,17,25.533
2029,18,40.8
2029,19,56.536
2029,20,71.69
2029,21,85.24
2029,22,96.908
2029,23,107.057
2029,24,115.576
2029,25,121.599
2029,26,124.899
2029,27,125.594
2029,28,123.721
2029,29,119.416
2029,30,112.85
2029,31,104.573
2029,32,95.047
2029,33,85.723
2029,34,76.762
2029,35,67.453
2029,36,57.82
2029,37,48.669
2029,38,40.137
2029,39,32.050000000000004
2029,40,24.491
2029,41,18.002
2029,42,12.73
2029,43,8.789
2029,44,6.116
2029,45,4.327
2029,46,3.244
2029,47,2.506
2029,48,1.963
2029,49,1.323
2030,15,6.233
2030,16,13.568
2030,17,24.995
2030,18,40.037000000000006
2030,19,55.588
2030,20,70.623
2030,21,84.179
2030,22,95.983
2030,23,106.344
2030,24,115.126
2030,25,121.397
2030,26,124.899
2030,27,125.714
2030,28,123.871
2030,29,119.531
2030,30,112.88
2030,31,104.506
2030,32,94.884
2030,33,85.482
2030,34,76.46300000000001
2030,35,67.11399999999999
2030,36,57.458000000000006
2030,37,48.305
2030,38,39.789
2030,39,31.729
2030,40,24.206
2030,41,17.759
2030,42,12.529
2030,43,8.625
2030,44,5.983
2030,45,4.218
2030,46,3.154
2030,47,2.431
2030,48,1.903
2030,49,1.282
2031,15,6.039
2031,16,13.215
2031,17,24.432
2031,18,39.231
2031,19,54.574
2031,20,69.468
2031,21,83.00399999999999
2031,22,94.919
2031,23,105.468
2031,24,114.491
2031,25,120.997
2031,26,124.694
2031,27,125.627
2031,28,123.82
2031,29,119.456
2031,30,112.735
2031,31,104.281
2031,32,94.58
2031,33,85.117
2031,34,76.056
2031,35,66.683
2031,36,57.02
2031,37,47.879
2031,38,39.391000000000005
2031,39,31.37
2031,40,23.894
2031,41,17.496000000000002
2031,42,12.316
2031,43,8.453999999999999
2031,44,5.845000000000001
2031,45,4.106
2031,46,3.062
2031,47,2.356
2031,48,1.842
2031,49,1.241
2032,15,5.845000000000001
2032,16,12.86
2032,17,23.859
2032,18,38.403
2032,19,53.525000000000006
2032,20,68.262
2032,21,81.761
2032,22,93.766
2032,23,104.483
2032,24,113.732
2032,25,120.46
2032,26,124.346
2032,27,125.398
2032,28,123.632
2032,29,119.251
2032,30,112.473
2032,31,103.951
2032,32,94.185
2032,33,84.673
2032,34,75.582
2032,35,66.196
2032,36,56.536
2032,37,47.415
2032,38,38.965
2032,39,30.99
2032,40,23.567
2032,41,17.224
2032,42,12.097
2032,43,8.281
2032,44,5.706
2032,45,3.995
2032,46,2.971
2032,47,2.281
2032,48,1.782
2032,49,1.2
2033,15,5.671
2033,16,12.545
2033,17,23.358
2033,18,37.684000000000005
2033,19,52.623999999999995
2033,20,67.24
2033,21,80.72999999999999
2033,22,92.846
2033,23,103.751
2033,24,113.239
2033,25,120.201
2033,26,124.283
2033,27,125.457
2033,28,123.73
2033,29,119.326
2033,30,112.478
2033,31,103.873
2033,32,94.022
2033,33,84.441
2033,34,75.299
2033,35,65.878
2033,36,56.199
2033,37,47.077
2033,38,38.642999999999994
2033,39,30.695
2033,40,23.306
2033,41,17.002
2033,42,11.915
2033,43,8.133
2033,44,5.587
2033,45,3.898
2033,46,2.89
2033,47,2.214
2033,48,1.728
2033,49,1.163
2034,15,5.485
2034,16,12.199
2034,17,22.793999999999997
2034,18,36.86
2034,19,51.57
2034,20,66.01700000000001
2034,21,79.45
2034,22,91.631
2034,23,102.678
2034,24,112.367
2034,25,119.535
2034,26,123.798
2034,27,125.091
2034,28,123.411
2034,29,119.003
2034,30,112.112
2034,31,103.456
2034,32,93.555
2034,33,83.939
2034,34,74.779
2034,35,65.35499999999999
2034,36,55.689
2034,37,46.597
2034,38,38.205000000000005
2034,39,30.308999999999997
2034,40,22.978
2034,41,16.732
2034,42,11.7
2034,43,7.964
2034,44,5.453
2034,45,3.792
2034,46,2.8040000000000003
2034,47,2.143
2034,48,1.6700000000000002
2034,49,1.123
2035,15,5.335999999999999
2035,16,11.93
2035,17,22.369
2035,18,36.257
2035,19,50.82
2035,20,65.178
2035,21,78.625
2035,22,90.932
2035,23,102.177
2035,24,112.113
2035,25,119.523
2035,26,123.988
2035,27,125.407
2035,28,123.769
2035,29,119.336
2035,30,112.368
2035,31,103.616
2035,32,93.615
2035,33,83.913
2035,34,74.684
2035,35,65.206
2035,36,55.5
2035,37,46.386
2035,38,37.991
2035,39,30.101
2035,40,22.786
2035,41,16.562
2035,42,11.556
2035,43,7.844
2035,44,5.355
2035,45,3.711
2035,46,2.736
2035,47,2.0869999999999997
2035,48,1.624
2035,49,1.092
2036,15,5.189
2036,16,11.663
2036,17,21.945
2036,18,35.652
2036,19,50.065
2036,20,64.327
2036,21,77.78
2036,22,90.202
2036,23,101.633
2036,24,111.807
2036,25,119.452
2036,26,124.117
2036,27,125.664
2036,28,124.071
2036,29,119.618
2036,30,112.581
2036,31,103.739
2036,32,93.643
2036,33,83.861
2036,34,74.57
2036,35,65.041
2036,36,55.299
