year,age,value
2020,0,4515559.5
2020,1,4522292.5
2020,2,4553140.0
2020,3,4628040.5
2020,4,4703375.5
2020,5,4764172.0
2020,6,4835429.0
2020,7,4931145.0
2020,8,4978404.0
2020,9,4900264.0
2020,10,4800657.0
2020,11,4747650.5
2020,12,4744356.5
2020,13,4720496.5
2020,14,4651853.5
2020,15,4559570.5
2020,16,4464539.5
2020,17,4424674.5
2020,18,4407572.0
2020,19,4390305.0
2020,20,4393217.0
2020,21,4435848.5
2020,22,4481997.0
2020,23,4476616.0
2020,24,4421340.5
2020,25,4359360.5
2020,26,4307448.0
2020,27,4258229.0
2020,28,4245030.0
2020,29,4226567.5
2020,30,4212188.5
2020,31,4222419.5
2020,32,4186887.5
2020,33,4142686.5
2020,34,4162457.500000001
2020,35,4242037.5
2020,36,4280966.0
2020,37,4258630.0
2020,38,4211642.0
2020,39,4156445.0
2020,40,4108065.0
2020,41,4048200.5
2020,42,3963943.5
2020,43,3883742.5
2020,44,3822173.0
2020,45,3746704.5
2020,46,3689180.5
2020,47,3631529.0
2020,48,3550686.0
2020,49,3480689.0
2020,50,3408487.5
2020,51,3320422.0
2020,52,3225743.0
2020,53,3133004.5
2020,54,3024964.0
2020,55,2904300.0
2020,56,2787073.5
2020,57,2674151.5
2020,58,2560519.0
2020,59,2442759.0
2020,60,2318981.5
2020,61,2191405.5
2020,62,2063578.0
2020,63,1937252.5
2020,64,1812293.0
2020,65,1685799.0
2020,66,1558280.5
2020,67,1434833.5
2020,68,1316650.0
2020,69,1202655.5
2020,70,1085911.5
2020,71,1011421.0
2020,72,966300.0
2020,73,912389.5
2020,74,853929.0
2020,75,789579.5
2020,76,729242.0
2020,77,669302.0
2020,78,609184.0
2020,79,549106.5
2020,80,489360.5
2020,81,430314.5
2020,82,372676.0
2020,83,317272.5
2020,84,264979.5
2020,85,217010.5
2020,86,174456.5
2020,87,137739.5
2020,88,106752.0
2020,89,81122.0
2020,90,60318.5
2020,91,43768.0
2020,92,30914.5
2020,93,21208.0
2020,94,14104.0
