year,age,value
2020,15,0.0
2020,16,0.8630000000000001
2020,17,6.383
2020,18,19.009
2020,19,45.709
2020,20,86.427
2020,21,120.297
2020,22,144.544
2020,23,159.208
2020,24,164.768
2020,25,163.013
2020,26,155.599
2020,27,144.84199999999998
2020,28,131.746
2020,29,118.129
2020,30,104.752
2020,31,91.041
2020,32,77.492
2020,33,64.564
2020,34,52.571
2020,35,41.868
2020,36,33.747
2020,37,26.847
2020,38,21.111
2020,39,16.954
2020,40,14.87
2020,41,12.056
2020,42,9.138
2020,43,6.577999999999999
2020,44,4.476
2020,45,2.375
2020,46,1.342
2020,47,0.816
2020,48,0.732
2020,49,0.678
2021,15,0.0
2021,16,0.8490000000000001
2021,17,6.28
2021,18,18.701
2021,19,44.967
2021,20,85.02600000000001
2021,21,118.346
2021,22,142.2
2021,23,156.62599999999998
2021,24,162.096
2021,25,160.37
2021,26,153.076
2021,27,142.493
2021,28,129.609
2021,29,116.213
2021,30,103.053
2021,31,89.56500000000001
2021,32,76.235
2021,33,63.517
2021,34,51.718
2021,35,41.189
2021,36,33.2
2021,37,26.411
2021,38,20.769
2021,39,16.679
2021,40,14.629
2021,41,11.861
2021,42,8.99
2021,43,6.472
2021,44,4.403
2021,45,2.336
2021,46,1.32
2021,47,0.803
2021,48,0.7200000000000001
2021,49,0.6669999999999999
2022,15,0.0
2022,16,0.8400000000000001
2022,17,6.2170000000000005
2022,18,18.515
2022,19,44.52
2022,20,84.18
2022,21,117.17
2022,22,140.787
2022,23,155.06900000000002
2022,24,160.485
2022,25,158.776
2022,26,151.554
2022,27,141.076
2022,28,128.321
2022,29,115.058
2022,30,102.029
2022,31,88.675
2022,32,75.47800000000001
2022,33,62.886
2022,34,51.204
2022,35,40.779
2022,36,32.870000000000005
2022,37,26.148999999999997
2022,38,20.562
2022,39,16.514
2022,40,14.483
2022,41,11.743
2022,42,8.901
2022,43,6.407
2022,44,4.359
2022,45,2.313
2022,46,1.307
2022,47,0.795
2022,48,0.713
2022,49,0.66
2023,15,0.0
2023,16,0.833
2023,17,6.161
2023,18,18.345
2023,19,44.113
2023,20,83.40899999999999
2023,21,116.097
2023,22,139.49800000000002
2023,23,153.649
