year,age,value
2020,0,0.02723774
2020,1,0.00329124
2020,2,0.00120009
2020,3,0.0008766
2020,4,0.00086257
2020,5,0.00080248
2020,6,0.00070203
2020,7,0.00058604
2020,8,0.00047941
2020,9,0.00040703
2020,10,0.0003932
2020,11,0.00041704
2020,12,0.00047067
2020,13,0.00054174
2020,14,0.00061612
2020,15,0.0006792
2020,16,0.00072584
2020,17,0.00076237
2020,18,0.00079264
2020,19,0.00081999
2020,20,0.00085346
2020,21,0.0008972
2020,22,0.00095041
2020,23,0.00100941
2020,24,0.00106888
2020,25,0.00112357
2020,26,0.00117219
2020,27,0.00121922
2020,28,0.00127084
2020,29,0.00133269
2020,30,0.00141024
2020,31,0.00150767
2020,32,0.00162499
2020,33,0.00176222
2020,34,0.00191854
2020,35,0.00208972
2020,36,0.0022718
2020,37,0.00246463
2020,38,0.00267143
2020,39,0.00289134
2020,40,0.00311742
2020,41,0.00334513
2020,42,0.00357668
2020,43,0.00381588
2020,44,0.00406983
2020,45,0.00434756
2020,46,0.0046615
2020,47,0.00503112
2020,48,0.00548591
2020,49,0.00605094
2020,50,0.00674388
2020,51,0.0075777
2020,52,0.00853854
2020,53,0.00960232
2020,54,0.0107348
2020,55,0.01187738
2020,56,0.01296201
2020,57,0.0139877
2020,58,0.01500508
2020,59,0.01607085
2020,60,0.01724098
2020,61,0.01858407
2020,62,0.0201284
2020,63,0.0218928
2020,64,0.02389522
2020,65,0.02613295
2020,66,0.02859356
2020,67,0.03127291
2020,68,0.03423111
2020,69,0.03747961
2020,70,0.0409482
2020,71,0.0445288
2020,72,0.04815902
2020,73,0.05194044
2020,74,0.05596327
2020,75,0.06025172
2020,76,0.06485568
2020,77,0.06982897
2020,78,0.07542443
2020,79,0.08179533
2020,80,0.08886772
2020,81,0.09657609
2020,82,0.10488859
2020,83,0.11458367
2020,84,0.12590299
2020,85,0.13803148
2020,86,0.15016983
2020,87,0.16152989
2020,88,0.17262056
2020,89,0.18447739
2020,90,0.19705845
2020,91,0.21032792
2020,92,0.22423273
2020,93,0.23873256
2020,94,0.25380291
2020,95,0.27024646
2020,96,0.2872527
2020,97,0.30500953
2020,98,0.32349302
2020,99,0.34266347
2021,0,0.02607083
2021,1,0.00309965
2021,2,0.00112756
2021,3,0.00082636
2021,4,0.00081709
2021,5,0.00076253
2021,6,0.00066829
2021,7,0.00055844
2021,8,0.00045699
2021,9,0.00038804
2021,10,0.00037518
2021,11,0.00039874
2021,12,0.00045126
2021,13,0.0005421
2021,14,0.00066775
2021,15,0.00079747
2021,16,0.00090975
2021,17,0.00099444
2021,18,0.00105759
2021,19,0.00111556
2021,20,0.00117712
2021,21,0.00124591
2021,22,0.0013203
2021,23,0.00139656
2021,24,0.0014701
2021,25,0.00153628
2021,26,0.00159499
2021,27,0.00165248
2021,28,0.00171777
2021,29,0.00179841
2021,30,0.00190062
2021,31,0.00202839
2021,32,0.00218085
2021,33,0.00235871
2021,34,0.00255921
2021,35,0.00277356
2021,36,0.00299527
2021,37,0.00322379
2021,38,0.00346153
2021,39,0.00371169
2021,40,0.00397419
2021,41,0.00425042
2021,42,0.004548
2021,43,0.00487709
2021,44,0.00524571
2021,45,0.00565923
2021,46,0.00612658
2021,47,0.00666344
2021,48,0.00731174
2021,49,0.00810105
2021,50,0.00903005
2021,51,0.01009141
2021,52,0.01125825
2021,53,0.01251286
2021,54,0.01384257
2021,55,0.01520711
2021,56,0.01655936
2021,57,0.01790208
2021,58,0.01930197
2021,59,0.02081538
2021,60,0.02246427
2021,61,0.02428054
2021,62,0.02627263
2021,63,0.02847944
2021,64,0.03095288
2021,65,0.03370526
2021,66,0.03674705
2021,67,0.04008418
2021,68,0.04374492
2021,69,0.04774941
2021,70,0.05208105
2021,71,0.05671411
2021,72,0.06158612
2021,73,0.06663483
2021,74,0.07197548
2021,75,0.07770627
2021,76,0.08388686
2021,77,0.09063807
2021,78,0.09832413
2021,79,0.10714421
2021,80,0.11701809
2021,81,0.12788541
2021,82,0.13966745
2021,83,0.15417232
2021,84,0.17174096
2021,85,0.19006364
2021,86,0.20683216
2021,87,0.21975243
2021,88,0.23036739
2021,89,0.2417229
2021,90,0.2538101
2021,91,0.266629
2021,92,0.28019034
2021,93,0.29443372
2021,94,0.30925835
2021,95,0.32501177
2021,96,0.34151706
2021,97,0.35877968
2021,98,0.3767683
2021,99,0.39545704
2022,0,0.02693456
2022,1,0.00330879
2022,2,0.0012162
2022,3,0.00088929
2022,4,0.00087157
2022,5,0.00080794
2022,6,0.00070347
2022,7,0.00058369
2022,8,0.00047387
2022,9,0.00039958
2022,10,0.00038389
2022,11,0.00040783
2022,12,0.00045972
2022,13,0.00054663
2022,14,0.00066124
2022,15,0.00077659
2022,16,0.00087572
2022,17,0.00095109
2022,18,0.00100878
2022,19,0.00106231
2022,20,0.00111977
