year,age,value
2020,0,22805892.0
2020,1,23146488.0
2020,2,23373877.0
2020,3,23598593.0
2020,4,23799061.0
2020,5,23771673.0
2020,6,24122082.0
2020,7,24572625.0
2020,8,24769879.0
2020,9,24947811.0
2020,10,25085609.0
2020,11,25114559.0
2020,12,25088474.0
2020,13,25132308.0
2020,14,25300338.0
2020,15,25580832.0
2020,16,25781233.0
2020,17,25898334.0
2020,18,25976577.0
2020,19,25815010.0
2020,20,25453169.0
2020,21,25198152.0
2020,22,25034813.0
2020,23,24845222.0
2020,24,24671227.0
2020,25,24462282.0
2020,26,24175099.0
2020,27,23930712.0
2020,28,23700677.0
2020,29,23364220.0
2020,30,23095904.0
2020,31,22895242.0
2020,32,22601785.0
2020,33,22358147.0
2020,34,21976093.0
2020,35,21486926.0
2020,36,21028955.0
2020,37,20512780.0
2020,38,20060160.0
2020,39,19573945.0
2020,40,18987963.0
2020,41,18398909.0
2020,42,17938982.0
2020,43,17642323.0
2020,44,17289349.0
2020,45,16913322.0
2020,46,16553510.0
2020,47,16094502.0
2020,48,15640263.0
2020,49,15184057.0
2020,50,14738976.0
2020,51,14357060.0
2020,52,13961775.0
2020,53,13519664.0
2020,54,13095738.0
2020,55,12727912.0
2020,56,12359533.0
2020,57,11951551.0
2020,58,11525768.0
2020,59,11090354.0
2020,60,10645587.0
2020,61,10227054.0
2020,62,9836197.0
2020,63,9426033.0
2020,64,9002582.0
2020,65,8575790.0
2020,66,8123071.0
2020,67,7644870.0
2020,68,7158479.0
2020,69,6673243.0
2020,70,6194633.0
2020,71,5475482.0
2020,72,4795481.0
2020,73,4395444.0
2020,74,4021243.0
2020,75,3665102.0
2020,76,3336827.0
2020,77,3035596.0
2020,78,2758116.0
2020,79,2499946.0
2020,80,2258765.0
2020,81,2033461.0
2020,82,1807839.0
2020,83,1574185.0
2020,84,1347720.0
2020,85,1145294.0
2020,86,966021.0
2020,87,804297.0
2020,88,661421.0
2020,89,536486.0
2020,90,428255.0
2020,91,335952.0
2020,92,258615.0
2020,93,195058.0
2020,94,143925.0
