year,age,value
2020,15,0.15
2020,16,0.5479999999999999
2020,17,1.694
2020,18,3.219
2020,19,6.6080000000000005
2020,20,10.827
2020,21,16.014
2020,22,21.32
2020,23,28.377
2020,24,36.527
2020,25,47.476
2020,26,60.469
2020,27,73.82600000000001
2020,28,87.86
2020,29,98.34
2020,30,101.838
2020,31,101.436
2020,32,97.636
2020,33,90.182
2020,34,84.458
2020,35,76.095
2020,36,65.885
2020,37,54.378
2020,38,43.573
2020,39,34.415
2020,40,24.029
2020,41,16.252
2020,42,9.661
2020,43,5.433000000000001
2020,44,2.525
2020,45,1.487
2020,46,0.5609999999999999
2020,47,0.21
2020,48,0.098
2020,49,0.056
2021,15,0.092
2021,16,0.483
2021,17,1.273
2021,18,2.598
2021,19,5.73
2021,20,9.191
2021,21,13.619
2021,22,18.895
2021,23,25.768
2021,24,34.348
2021,25,44.961
2021,26,57.138
2021,27,71.687
2021,28,83.70700000000001
2021,29,96.737
2021,30,100.037
2021,31,99.507
2021,32,96.164
2021,33,90.144
2021,34,83.506
2021,35,75.70100000000001
2021,36,65.881
2021,37,54.922
2021,38,44.181
2021,39,34.747
2021,40,25.246
2021,41,16.629
2021,42,10.371
2021,43,5.866
2021,44,2.722
2021,45,1.729
2021,46,0.5469999999999999
2021,47,0.216
2021,48,0.043
2021,49,0.029
2022,15,0.354
2022,16,0.924
2022,17,1.5759999999999998
2022,18,2.371
2022,19,3.76
2022,20,6.111
2022,21,10.517
2022,22,17.101000000000003
2022,23,25.249
2022,24,34.840999999999994
2022,25,45.883
2022,26,58.257000000000005
2022,27,70.688
2022,28,82.459
2022,29,91.626
2022,30,97.617
2022,31,98.998
2022,32,96.103
2022,33,91.013
2022,34,84.126
2022,35,75.186
2022,36,64.39699999999999
2022,37,53.777
2022,38,43.733
2022,39,34.11
2022,40,24.584000000000003
2022,41,16.948
2022,42,10.797
2022,43,6.373
2022,44,3.58
2022,45,1.806
2022,46,0.7010000000000001
2022,47,0.151
2022,48,0.028
2022,49,0.004
2023,15,0.324
2023,16,0.852
2023,17,1.488
2023,18,2.291
2023,19,3.657
2023,20,5.925
2023,21,10.078
2023,22,16.232
2023,23,23.835
2023,24,32.800000000000004
2023,25,43.221
2023,26,55.022
2023,27,67.023
2023,28,78.529
2023,29,87.598
2023,30,93.647
2023,31,95.25
2023,32,92.712
2023,33,88.044
2023,34,81.615
2023,35,73.145
2023,36,62.766000000000005
2023,37,52.497
2023,38,42.735
2023,39,33.331
2023,40,23.929
2023,41,16.457
2023,42,10.457
2023,43,6.155
