year,age,value
2020,0,0.00179662
2020,1,0.00022101
2020,2,0.0001259
2020,3,9.487e-05
2020,4,7.542e-05
2020,5,7e-05
2020,6,5.486e-05
2020,7,6.486e-05
2020,8,5.972e-05
2020,9,6.029e-05
2020,10,5.486e-05
2020,11,5.028e-05
2020,12,8.543e-05
2020,13,0.00011029
2020,14,0.00010059
2020,15,0.00013574
2020,16,0.00019177
2020,17,0.00023632
2020,18,0.00026139
2020,19,0.00028825
2020,20,0.00030705
2020,21,0.00037818
2020,22,0.00040776
2020,23,0.00036839
2020,24,0.00037719
2020,25,0.00037231
2020,26,0.00037277
2020,27,0.00037769
2020,28,0.0003721
2020,29,0.00039719
2020,30,0.00039739
2020,31,0.0004126
2020,32,0.00042315
2020,33,0.0004985
2020,34,0.00052268
2020,35,0.0005322
2020,36,0.00058152
2020,37,0.00060649
2020,38,0.00063122
2020,39,0.00066197
2020,40,0.00077661
2020,41,0.00084706
2020,42,0.00089691
2020,43,0.00097723
2020,44,0.00108703
2020,45,0.00121777
2020,46,0.00132324
2020,47,0.00144356
2020,48,0.00159437
2020,49,0.00173423
2020,50,0.00197634
2020,51,0.00214942
2020,52,0.00240421
2020,53,0.00242249
2020,54,0.00270046
2020,55,0.00308986
2020,56,0.00332233
2020,57,0.00359197
2020,58,0.00376918
2020,59,0.00426848
2020,60,0.00446669
2020,61,0.00499814
2020,62,0.00555457
2020,63,0.0060188
2020,64,0.00663977
2020,65,0.0071528
2020,66,0.00785047
2020,67,0.0087794
2020,68,0.00957888
2020,69,0.01051403
2020,70,0.01184306
2020,71,0.01282125
2020,72,0.01406737
2020,73,0.0152184
2020,74,0.01649885
2020,75,0.01912153
2020,76,0.02064655
2020,77,0.02253602
2020,78,0.02521298
2020,79,0.02843578
2020,80,0.0318873
2020,81,0.03520028
2020,82,0.04010548
2020,83,0.04576686
2020,84,0.05120787
2020,85,0.05931191
2020,86,0.06569637
2020,87,0.07604416
2020,88,0.08770756
2020,89,0.09790972
2020,90,0.11225803
2020,91,0.12580006
2020,92,0.14132869
2020,93,0.15905364
2020,94,0.17810682
2020,95,0.2009839
2020,96,0.22528837
2020,97,0.25161815
2020,98,0.28009461
2020,99,0.31090824
2021,0,0.00173273
2021,1,0.00025
2021,2,0.00012538
2021,3,0.00011052
2021,4,7.46e-05
2021,5,7.541e-05
2021,6,6.543e-05
2021,7,6.514e-05
2021,8,6.028e-05
2021,9,5.514e-05
2021,10,5e-05
2021,11,6.029e-05
2021,12,7.514e-05
2021,13,0.00010514
2021,14,0.00012029
2021,15,0.00015059
2021,16,0.00016088
2021,17,0.00024632
2021,18,0.0002369
2021,19,0.00027735
2021,20,0.00033771
2021,21,0.00036192
2021,22,0.0003975
2021,23,0.00037283
2021,24,0.00037734
2021,25,0.00037759
2021,26,0.00038719
2021,27,0.00036233
2021,28,0.00042767
2021,29,0.00039719
2021,30,0.00042737
2021,31,0.00039699
2021,32,0.00044238
2021,33,0.00049254
2021,34,0.00052735
2021,35,0.00055774
2021,36,0.00052177
2021,37,0.0006022
2021,38,0.00063657
2021,39,0.00068686
2021,40,0.00075206
2021,41,0.00080702
2021,42,0.00085187
2021,43,0.00095677
2021,44,0.00105692
2021,45,0.00111705
2021,46,0.00127832
2021,47,0.00140847
2021,48,0.00157383
2021,49,0.00172975
2021,50,0.00191474
2021,51,0.0021568
2021,52,0.00234552
2021,53,0.00266541
2021,54,0.00272562
2021,55,0.0030119
2021,56,0.00340547
2021,57,0.00360285
2021,58,0.00383301
2021,59,0.00423903
2021,60,0.00459793
2021,61,0.0049715
2021,62,0.0055194
2021,63,0.00602456
2021,64,0.00647726
2021,65,0.00726112
2021,66,0.00780492
2021,67,0.00874436
2021,68,0.0097113
2021,69,0.01058848
2021,70,0.01151155
2021,71,0.01306909
2021,72,0.014466
2021,73,0.01564572
2021,74,0.01700158
2021,75,0.01844032
2021,76,0.02115903
2021,77,0.02322669
2021,78,0.02565592
2021,79,0.02859438
2021,80,0.03302757
2021,81,0.03619069
2021,82,0.04068307
2021,83,0.04620821
2021,84,0.0532001
2021,85,0.05930339
2021,86,0.06855142
2021,87,0.07584768
2021,88,0.08862706
2021,89,0.10162164
2021,90,0.1141762
2021,91,0.12950211
2021,92,0.14486377
2021,93,0.16496555
2021,94,0.18402539
2021,95,0.20788123
2021,96,0.23314134
2021,97,0.26090698
2021,98,0.29077146
2021,99,0.32277167
2022,0,0.00171011
2022,1,0.00026537
2022,2,0.00014567
