year,age,value
2020,0,852270.5
2020,1,888549.0
2020,2,928354.5
2020,3,962548.0
2020,4,997750.0
2020,5,1015418.0
2020,6,1030566.0
2020,7,1052086.0
2020,8,1065445.0
2020,9,1081023.0
2020,10,1094017.5
2020,11,1108261.5
2020,12,1119846.5
2020,13,1122676.0
2020,14,1116554.5
2020,15,1129201.0
2020,16,1159361.0
2020,17,1181214.0
2020,18,1201698.5
2020,19,1217557.5
2020,20,1217434.0
2020,21,1214140.0
2020,22,1212253.0
2020,23,1208373.0
2020,24,1203963.5
2020,25,1212581.5
2020,26,1209323.0
2020,27,1199001.0
2020,28,1213101.0
2020,29,1217033.0
2020,30,1228594.0
2020,31,1266344.5
2020,32,1304757.0
2020,33,1331698.5
2020,34,1365955.0
2020,35,1413736.5
2020,36,1448886.0
2020,37,1459593.5
2020,38,1472176.0
2020,39,1514114.0
2020,40,1575461.5
2020,41,1638072.5
2020,42,1693837.5
2020,43,1757444.0
2020,44,1841713.5
2020,45,1952560.5
2020,46,2048144.5
2020,47,2051072.5
2020,48,2004414.0
2020,49,1950427.5
2020,50,1878180.5
2020,51,1817236.5
2020,52,1806411.0
2020,53,1595257.5
2020,54,1544601.5
2020,55,1676287.0
2020,56,1601708.5
2020,57,1550142.0
2020,58,1525259.0
2020,59,1520811.5
2020,60,1525398.5
2020,61,1522670.5
2020,62,1473361.5
2020,63,1465698.0
2020,64,1525947.5
2020,65,1535861.5
2020,66,1553510.0
2020,67,1638529.0
2020,68,1728608.5
2020,69,1825067.0
2020,70,1895325.0
2020,71,1996469.5
2020,72,2063314.0
2020,73,1975914.0
2020,74,1571740.5
2020,75,1261286.5
2020,76,1410907.0
2020,77,1495990.0
2020,78,1459107.0
2020,79,1427234.0
2020,80,1311947.0
2020,81,1127358.0
2020,82,1038080.0
2020,83,1038623.0
2020,84,1002611.0
2020,85,923195.0
2020,86,825829.0
2020,87,742810.0
2020,88,664806.0
2020,89,581458.5
2020,90,490119.5
2020,91,405030.5
2020,92,334841.0
2020,93,275200.5
2020,94,226511.0
2020,95,182781.5
2020,96,143144.0
2020,97,111626.5
2020,98,85623.0
2020,99,63090.0
2021,0,824462.0
2021,1,851999.5
2021,2,888429.0
2021,3,928282.0
2021,4,962492.5
2021,5,997701.0
2021,6,1015371.0
2021,7,1030520.0
2021,8,1052035.5
2021,9,1065395.5
2021,10,1080975.0
2021,11,1093970.0
2021,12,1108201.0
2021,13,1119760.5
2021,14,1122584.5
2021,15,1116456.0
2021,16,1129079.5
2021,17,1159195.0
2021,18,1181018.5
2021,19,1201488.5
2021,20,1217311.0
2021,21,1217144.5
2021,22,1213809.5
2021,23,1211925.5
2021,24,1208062.0
2021,25,1203649.5
2021,26,1212259.0
2021,27,1208999.0
2021,28,1198663.0
2021,29,1212733.5
2021,30,1216650.5
2021,31,1228195.0
2021,32,1265909.0
2021,33,1304240.5
2021,34,1331101.0
2021,35,1365300.0
2021,36,1413031.5
2021,37,1448112.5
2021,38,1458749.0
2021,39,1471267.5
2021,40,1513075.0
2021,41,1574253.0
2021,42,1636720.5
2021,43,1692316.5
2021,44,1755688.0
2021,45,1839683.0
2021,46,1950180.0
2021,47,2045380.5
2021,48,2048013.0
2021,49,2001116.5
2021,50,1946866.0
2021,51,1874356.5
2021,52,1813144.0
2021,53,1801992.5
2021,54,1591068.0
2021,55,1540167.5
2021,56,1670934.0
2021,57,1596153.5
2021,58,1544429.5
2021,59,1519138.0
2021,60,1514154.5
2021,61,1518164.5
2021,62,1514689.5
2021,63,1464881.0
2021,64,1456515.0
2021,65,1515486.0
2021,66,1524362.0
2021,67,1540689.0
