year,age,value
2020,15,0.0
2020,16,0.01
2020,17,0.072
2020,18,0.5289999999999999
2020,19,2.845
2020,20,7.955
2020,21,9.103
2020,22,6.599
2020,23,3.784
2020,24,2.27
2020,25,5.664
2020,26,14.565
2020,27,27.55
2020,28,43.494
2020,29,58.819
2020,30,72.652
2020,31,80.11699999999999
2020,32,81.406
2020,33,78.262
2020,34,71.404
2020,35,61.877
2020,36,51.245
2020,37,40.922
2020,38,31.409
2020,39,23.046
2020,40,15.744000000000002
2020,41,9.93
2020,42,5.439
2020,43,2.618
2020,44,1.334
2020,45,0.749
2020,46,0.375
2020,47,0.166
2020,48,0.057
2020,49,0.008
2021,15,0.0
2021,16,0.0
2021,17,0.0
2021,18,0.288
2021,19,2.132
2021,20,6.9639999999999995
2021,21,7.993
2021,22,5.639
2021,23,2.778
2021,24,0.919
2021,25,3.717
2021,26,11.767
2021,27,24.011000000000003
2021,28,39.412000000000006
2021,29,54.433
2021,30,68.175
2021,31,76.00999999999999
2021,32,78.07799999999999
2021,33,76.033
2021,34,70.476
2021,35,62.178
2021,36,52.281
2021,37,42.435
2021,38,33.138
2021,39,24.674000000000003
2021,40,16.797
2021,41,10.698
2021,42,5.9750000000000005
2021,43,2.949
2021,44,1.488
2021,45,0.8809999999999999
2021,46,0.376
2021,47,0.123
2021,48,0.036
2021,49,0.005
2022,15,0.0
2022,16,0.0
2022,17,0.0
2022,18,0.367
2022,19,2.719
2022,20,6.626
2022,21,7.536
2022,22,5.148
2022,23,2.166
2022,24,0.057
2022,25,2.475
2022,26,10.029
2022,27,22.075
2022,28,37.628
2022,29,52.989
2022,30,67.25200000000001
2022,31,75.57
2022,32,78.095
2022,33,76.477
2022,34,71.295
2022,35,63.249
2022,36,53.435
2022,37,43.593
2022,38,34.232
2022,39,25.628
2022,40,17.502
2022,41,11.218
2022,42,6.328
2022,43,3.1679999999999997
2022,44,1.609
2022,45,0.957
2022,46,0.393
2022,47,0.116
2022,48,0.031
2022,49,0.004
2023,15,0.0
2023,16,0.0
2023,17,0.0
2023,18,0.308
2023,19,2.282
2023,20,5.554
2023,21,6.34
2023,22,4.3740000000000006
2023,23,1.874
2023,24,0.063
2023,25,2.024
2023,26,8.391
2023,27,19.133
2023,28,33.433
2023,29,47.724999999999994
2023,30,61.156
2023,31,69.154
2023,32,71.872
2023,33,70.84899999999999
2023,34,66.576
2023,35,59.541999999999994
2023,36,50.61
2023,37,41.546
2023,38,32.834
2023,39,24.692
2023,40,16.774
2023,41,10.747
2023,42,6.065
2023,43,3.03
2023,44,1.516
2023,45,0.966
2023,46,0.393
2023,47,0.115
2023,48,0.031
2023,49,0.004
2024,15,0.0
2024,16,0.0
2024,17,0.0
2024,18,0.314
2024,19,2.326
2024,20,5.6610000000000005
2024,21,6.462
2024,22,4.458
2024,23,1.91
2024,24,0.064
2024,25,2.063
2024,26,8.552000000000001
2024,27,19.5
2024,28,34.075
2024,29,48.64
2024,30,62.330000000000005
2024,31,70.482
2024,32,73.252
2024,33,72.20899999999999
2024,34,67.854
2024,35,60.685
2024,36,51.581
2024,37,42.343
2024,38,33.464
2024,39,25.165
2024,40,17.096
2024,41,10.953
2024,42,6.182
2024,43,3.088
2024,44,1.545
2024,45,0.985
2024,46,0.4
2024,47,0.118
2024,48,0.032
2024,49,0.004
2025,15,0.0
2025,16,0.0
2025,17,0.0
2025,18,0.321
2025,19,2.376
2025,20,5.781
2025,21,6.599
2025,22,4.553
2025,23,1.951
2025,24,0.0649999999999999
2025,25,2.106
2025,26,8.734
2025,27,19.915
2025,28,34.799
2025,29,49.675
2025,30,63.655
2025,31,71.98100000000001
2025,32,74.809
2025,33,73.744
2025,34,69.297
2025,35,61.975
2025,36,52.678
2025,37,43.244
2025,38,34.175999999999995
2025,39,25.701
2025,40,17.459
2025,41,11.186
2025,42,6.313
2025,43,3.153
2025,44,1.577
2025,45,1.006
2025,46,0.409
2025,47,0.12
2025,48,0.032
2025,49,0.004
2026,15,0.0
2026,16,0.0
2026,17,0.0
2026,18,0.326
2026,19,2.4139999999999997
2026,20,5.876
2026,21,6.707
2026,22,4.627
2026,23,1.983
2026,24,0.066
2026,25,2.141
2026,26,8.876999999999999
2026,27,20.24
2026,28,35.367999999999995
2026,29,50.486
2026,30,64.69500000000001
2026,31,73.156
2026,32,76.031
2026,33,74.949
2026,34,70.429
2026,35,62.987
2026,36,53.539
2026,37,43.95
2026,38,34.734
2026,39,26.12
