year,age,value
2020,0,0.00233002
2020,1,0.0002652
2020,2,0.00019058
2020,3,0.00013975
2020,4,0.00010543
2020,5,8.28e-05
2020,6,6.867e-05
2020,7,6.082e-05
2020,8,5.793e-05
2020,9,5.939e-05
2020,10,6.456e-05
2020,11,7.313e-05
2020,12,8.497e-05
2020,13,0.00010034
2020,14,0.0001195
2020,15,0.00014213
2020,16,0.00016769
2020,17,0.00019498
2020,18,0.00022332
2020,19,0.00025175
2020,20,0.00027868
2020,21,0.0003024
2020,22,0.00032214
2020,23,0.00034092
2020,24,0.00036119
2020,25,0.00038224
2020,26,0.00040324
2020,27,0.00042291
2020,28,0.00043917
2020,29,0.00045436
2020,30,0.0004723
2020,31,0.00049533
2020,32,0.00052644
2020,33,0.00056622
2020,34,0.00060997
2020,35,0.00065425
2020,36,0.00069783
2020,37,0.00074013
2020,38,0.00078223
2020,39,0.00082656
2020,40,0.00087682
2020,41,0.00093929
2020,42,0.00101647
2020,43,0.00111237
2020,44,0.00122569
2020,45,0.00135387
2020,46,0.00149337
2020,47,0.0016425
2020,48,0.00179928
2020,49,0.00195753
2020,50,0.00212043
2020,51,0.00228952
2020,52,0.00246931
2020,53,0.00267978
2020,54,0.00290065
2020,55,0.00311877
2020,56,0.00336267
2020,57,0.00361229
2020,58,0.003848
2020,59,0.00408915
2020,60,0.0043733
2020,61,0.004716
2020,62,0.00511151
2020,63,0.00556397
2020,64,0.0060799
2020,65,0.00668479
2020,66,0.00735923
2020,67,0.00806426
2020,68,0.00881288
2020,69,0.00962343
2020,70,0.01056257
2020,71,0.01170942
2020,72,0.01313242
2020,73,0.01496237
2020,74,0.01727844
2020,75,0.02003274
2020,76,0.02333231
2020,77,0.02718022
2020,78,0.03142493
2020,79,0.03596213
2020,80,0.04086514
2020,81,0.04623134
2020,82,0.05214166
2020,83,0.05871582
2020,84,0.06604971
2020,85,0.07438402
2020,86,0.08371903
2020,87,0.09391443
2020,88,0.1050342
2020,89,0.11711003
2020,90,0.13035904
2020,91,0.1451133
2020,92,0.16146024
2020,93,0.1791878
2020,94,0.19827868
2020,95,0.21832025
2020,96,0.24026229
2020,97,0.26342834
2020,98,0.28802413
2020,99,0.31447599
2021,0,0.00223297
2021,1,0.00025806
2021,2,0.00018655
2021,3,0.00013617
2021,4,0.00010121
2021,5,7.759e-05
2021,6,6.259e-05
2021,7,5.457e-05
2021,8,5.172e-05
2021,9,5.259e-05
2021,10,5.672e-05
2021,11,6.397e-05
2021,12,7.433e-05
2021,13,8.779e-05
2021,14,0.00010445
2021,15,0.00012426
2021,16,0.00014699
2021,17,0.00017198
2021,18,0.00019805
2021,19,0.00022369
2021,20,0.00024755
2021,21,0.00026836
2021,22,0.00028554
2021,23,0.00029935
2021,24,0.00031156
2021,25,0.00032385
2021,26,0.00033745
2021,27,0.00035381
2021,28,0.00037399
2021,29,0.00039949
2021,30,0.0004305
2021,31,0.00046508
2021,32,0.00050047
2021,33,0.0005347
2021,34,0.00056827
2021,35,0.00060158
2021,36,0.00063515
2021,37,0.00067169
2021,38,0.00071311
2021,39,0.00076152
2021,40,0.00081715
2021,41,0.00088142
2021,42,0.00095832
2021,43,0.00104741
2021,44,0.0011504
2021,45,0.00126604
2021,46,0.00139362
2021,47,0.00153115
2021,48,0.0016895
2021,49,0.00187082
2021,50,0.00205747
2021,51,0.00224571
2021,52,0.00242806
2021,53,0.00260787
2021,54,0.00281293
2021,55,0.00302318
2021,56,0.00322806
2021,57,0.00346246
2021,58,0.00370571
2021,59,0.00394022
2021,60,0.00419127
2021,61,0.00450053
2021,62,0.0048842
2021,63,0.00536917
2021,64,0.00596401
2021,65,0.00662896
2021,66,0.00736308
2021,67,0.0081273
2021,68,0.0089103
2021,69,0.00978698
2021,70,0.01077542
2021,71,0.01194832
2021,72,0.01338873
2021,73,0.01513072
2021,74,0.01731372
2021,75,0.01999238
2021,76,0.02308619
2021,77,0.02670288
2021,78,0.03078061
2021,79,0.0351706
2021,80,0.03982401
2021,81,0.0449157
2021,82,0.05066269
2021,83,0.0572458
2021,84,0.06480419
2021,85,0.07331448
2021,86,0.08291694
2021,87,0.09354312
2021,88,0.10505254
2021,89,0.1175858
2021,90,0.13121769
2021,91,0.14620618
2021,92,0.1629228
2021,93,0.1816284
2021,94,0.20211297
2021,95,0.2234738
2021,96,0.24727803
2021,97,0.27280063
2021,98,0.30003803
2021,99,0.32938962
2022,0,0.00215202
2022,1,0.00027697
2022,2,0.00021528
2022,3,0.00016482
2022,4,0.00012213
2022,5,8.756e-05
2022,6,6.28e-05
2022,7,5.068e-05
2022,8,4.798e-05
2022,9,4.887e-05
2022,10,5.287e-05
2022,11,5.984e-05
2022,12,6.974e-05
2022,13,8.246e-05
2022,14,9.804e-05
2022,15,0.00011643
2022,16,0.00013752
2022,17,0.00016077
2022,18,0.00018533
2022,19,0.00020986
2022,20,0.00023309
2022,21,0.00025367
2022,22,0.00027081
2022,23,0.00028452
2022,24,0.00029606
2022,25,0.00030771
2022,26,0.00032097
2022,27,0.00033678
2022,28,0.00035969
2022,29,0.0003916
2022,30,0.00042972
2022,31,0.00047012
2022,32,0.00050749
2022,33,0.00053707
2022,34,0.00056012
2022,35,0.00058132
2022,36,0.00060538
2022,37,0.00063671
2022,38,0.00067597
2022,39,0.00072127
2022,40,0.00077523
2022,41,0.00083786
2022,42,0.0009103
2022,43,0.00099625
2022,44,0.00109463
2022,45,0.00120614
2022,46,0.00132873
2022,47,0.00146083
2022,48,0.00166827
2022,49,0.00197939
2022,50,0.00233005
2022,51,0.00265262
2022,52,0.00288965
2022,53,0.00304143
2022,54,0.00316644
2022,55,0.00330026
2022,56,0.00344586
2022,57,0.00361362
2022,58,0.00381846
2022,59,0.00402863
2022,60,0.00424203
2022,61,0.00449289
2022,62,0.00483027
2022,63,0.00551398
2022,64,0.00664184
2022,65,0.00798643
2022,66,0.00932624
2022,67,0.01051736
2022,68,0.01167558
2022,69,0.01297144
2022,70,0.0143833
2022,71,0.01587173
2022,72,0.01745577
2022,73,0.0191201
2022,74,0.02097403
2022,75,0.02326052
2022,76,0.02610084
2022,77,0.02949529
2022,78,0.03330639
2022,79,0.03738626
2022,80,0.04182836
2022,81,0.04679964
2022,82,0.05276996
2022,83,0.06062896
2022,84,0.07064777
2022,85,0.08240271
2022,86,0.09538444
2022,87,0.10940629
2022,88,0.12448835
2022,89,0.14079682
2022,90,0.15851323
2022,91,0.17772232
2022,92,0.19886882
2022,93,0.22344365
2022,94,0.25192312
2022,95,0.28252084
2022,96,0.31592771
2022,97,0.35279074
2022,98,0.39430366
2022,99,0.44181303
2023,0,0.00207743
2023,1,0.00022856
2023,2,0.00016339
2023,3,0.00011846
2023,4,0.0001713
2023,5,0.00020118
2023,6,0.00018699
2023,7,0.00014843
2023,8,0.00010268
2023,9,6.566e-05
2023,10,5.413e-05
2023,11,4.735e-05
2023,12,4.577e-05
2023,13,4.743e-05
2023,14,5.266e-05
2023,15,5.936e-05
2023,16,6.902e-05
2023,17,8.056e-05
2023,18,9.099e-05
2023,19,9.902e-05
2023,20,0.00010422
2023,21,0.00010773
2023,22,0.00010908
2023,23,0.00010858
2023,24,0.00010853
2023,25,0.00011039
2023,26,0.00011409
2023,27,0.00011904
2023,28,0.00012574
2023,29,0.0001356
2023,30,0.00014959
2023,31,0.00016302
2023,32,0.00017578
2023,33,0.00019086
2023,34,0.00020754
2023,35,0.00022624
2023,36,0.00024672
2023,37,0.0002792
2023,38,0.00031469
2023,39,0.00035771
2023,40,0.0003904
2023,41,0.00045083
2023,42,0.00051789
2023,43,0.0005475
2023,44,0.00064177
2023,45,0.00069759
2023,46,0.00077293
2023,47,0.00087816
2023,48,0.00100024
2023,49,0.00116457
2023,50,0.00135546
2023,51,0.00155904
2023,52,0.00175432
2023,53,0.00194357
2023,54,0.00214312
2023,55,0.00235516
2023,56,0.00265715
2023,57,0.00257542
2023,58,0.00283649
2023,59,0.00311902
2023,60,0.00348116
2023,61,0.00395037
2023,62,0.00445944
2023,63,0.00514214
2023,64,0.00604084
2023,65,0.007068
2023,66,0.00831045
2023,67,0.00948059
2023,68,0.01073345
2023,69,0.01220342
2023,70,0.01388283
2023,71,0.01592267
2023,72,0.01835243
2023,73,0.02115924
