year,age,value
2020,0,284869.5
2020,1,315158.5
2020,2,344629.0
2020,3,383384.0
2020,4,420519.5
2020,5,435225.5
2020,6,438216.0
2020,7,457046.5
2020,8,473465.0
2020,9,465557.5
2020,10,449863.0
2020,11,451601.5
2020,12,467662.5
2020,13,458445.0
2020,14,436835.5
2020,15,446631.0
2020,16,469476.5
2020,17,485503.0
2020,18,532910.5
2020,19,602598.0
2020,20,635382.0
2020,21,648486.5
2020,22,676062.5
2020,23,702080.5
2020,24,719636.0
2020,25,729379.5
2020,26,735391.5
2020,27,740902.5
2020,28,727845.5
2020,29,695783.0
2020,30,670669.5
2020,31,654423.5
2020,32,649094.5
2020,33,654107.0
2020,34,662937.0
2020,35,680894.5
2020,36,725761.5
2020,37,791068.0
2020,38,828584.5
2020,39,840074.0
2020,40,830688.0
2020,41,782405.5
2020,42,755242.0
2020,43,755197.5
2020,44,765989.0
2020,45,815657.5
2020,46,860161.0
2020,47,872211.5
2020,48,898967.5
2020,49,914799.5
2020,50,908530.0
2020,51,910938.0
2020,52,877676.0
2020,53,832118.5
2020,54,828424.5
2020,55,814662.0
2020,56,808720.5
2020,57,834420.5
2020,58,872704.5
2020,59,904147.0
2020,60,865622.5
2020,61,794194.0
2020,62,755343.0
2020,63,716927.0
2020,64,689438.5
2020,65,644688.5
2020,66,558576.5
2020,67,532704.0
2020,68,487142.0
2020,69,430028.0
2020,70,434945.5
2020,71,432824.0
2020,72,423893.5
2020,73,376488.0
2020,74,321557.5
2020,75,312634.5
2020,76,317628.5
2020,77,342959.0
2020,78,335457.5
2020,79,288410.5
2020,80,264982.0
2020,81,245423.0
2020,82,218936.0
2020,83,195533.0
2020,84,177171.5
2020,85,157382.5
2020,86,134447.0
2020,87,115064.0
2020,88,97997.5
2020,89,81245.0
2020,90,65920.5
2020,91,52719.5
2020,92,40956.5
2020,93,32031.0
2020,94,24353.5
2020,95,18119.5
2020,96,14043.5
2020,97,10257.0
2020,98,7081.0
2020,99,4617.0
2021,0,263537.0
2021,1,285005.0
2021,2,315521.5
2021,3,345073.0
2021,4,383811.5
2021,5,420927.5
2021,6,435753.0
2021,7,438885.5
2021,8,457712.5
2021,9,474314.0
2021,10,466436.0
2021,11,450912.5
2021,12,452631.0
2021,13,468358.5
2021,14,459226.5
2021,15,437497.5
2021,16,447675.0
2021,17,470872.5
2021,18,490265.5
2021,19,537565.5
2021,20,606343.5
2021,21,640038.0
2021,22,653209.5
2021,23,679801.0
2021,24,704767.5
2021,25,721275.0
2021,26,730374.0
2021,27,735915.0
2021,28,741018.5
2021,29,727193.0
2021,30,694517.0
2021,31,669439.5
2021,32,652972.5
2021,33,647386.5
2021,34,652601.0
2021,35,661652.0
2021,36,679777.5
2021,37,724706.5
2021,38,790109.0
2021,39,827772.5
2021,40,839174.0
2021,41,829926.5
2021,42,781768.0
2021,43,754645.5
2021,44,754544.0
2021,45,765398.5
2021,46,815003.5
2021,47,859330.5
2021,48,871444.5
2021,49,897847.5
2021,50,913404.0
2021,51,907056.0
2021,52,909170.0
2021,53,875791.0
2021,54,830023.0
2021,55,826089.5
2021,56,811914.5
2021,57,805734.0
2021,58,831437.0
2021,59,869496.5
2021,60,900911.0
2021,61,862116.5
2021,62,790704.5
2021,63,751753.0
2021,64,713107.5
2021,65,685449.5
2021,66,640425.0
2021,67,554546.5
2021,68,528435.0
2021,69,482889.5
2021,70,425925.5
2021,71,430295.5
2021,72,427687.5
2021,73,418182.0
2021,74,370546.5
2021,75,315752.0
2021,76,306125.0
2021,77,309906.0
2021,78,333275.0
2021,79,324567.0
2021,80,277773.0
2021,81,253913.0
2021,82,233867.5
2021,83,207334.5
2021,84,183875.0
2021,85,165279.5
2021,86,145515.5
2021,87,123078.0
2021,88,104198.0
2021,89,87702.5
2021,90,71784.0
2021,91,57429.5
2021,92,45216.0
2021,93,34519.0
2021,94,26489.0
2021,95,19734.5
2021,96,14366.5
2021,97,10873.0
2021,98,7741.0
2021,99,5201.5
2022,0,255981.0
2022,1,262620.0
2022,2,284539.0
2022,3,315318.0
2022,4,344733.0
2022,5,383283.5
2022,6,420472.0
2022,7,435433.0
2022,8,438582.0
2022,9,457438.0
2022,10,474079.0
2022,11,466368.5
2022,12,450909.0
2022,13,452615.5
2022,14,468218.5
2022,15,458882.0
2022,16,437483.5
2022,17,448587.5
2022,18,476623.5
2022,19,494765.5
2022,20,540941.5
