year,age,value
2020,15,2.028
2020,16,5.086
2020,17,7.837000000000001
2020,18,10.139
2020,19,13.012
2020,20,17.355
2020,21,26.641
2020,22,40.73
2020,23,55.991
2020,24,71.164
2020,25,84.453
2020,26,95.157
2020,27,103.168
2020,28,108.361
2020,29,110.395
2020,30,109.135
2020,31,105.731
2020,32,100.534
2020,33,95.34
2020,34,90.126
2020,35,83.5
2020,36,74.354
2020,37,64.893
2020,38,55.385
2020,39,45.35
2020,40,34.196
2020,41,25.139000000000003
2020,42,17.497
2020,43,11.471
2020,44,7.057
2020,45,4.353
2020,46,2.395
2020,47,1.156
2020,48,0.458
2020,49,0.111
2021,15,1.936
2021,16,4.766
2021,17,6.87
2021,18,8.115
2021,19,9.836
2021,20,13.103
2021,21,21.835
2021,22,35.905
2021,23,51.316
2021,24,66.661
2021,25,79.899
2021,26,90.218
2021,27,97.579
2021,28,101.924
2021,29,103.156
2021,30,101.212
2021,31,97.537
2021,32,92.469
2021,33,87.7
2021,34,83.158
2021,35,77.377
2021,36,69.125
2021,37,60.526
2021,38,51.82
2021,39,42.505
2021,40,31.963
2021,41,23.491000000000003
2021,42,16.366
2021,43,10.747
2021,44,6.625
2021,45,4.173
2021,46,2.335
2021,47,1.1689999999999998
2021,48,0.502
2021,49,0.154
2022,15,1.899
2022,16,4.653
2022,17,6.553
2022,18,7.473999999999999
2022,19,8.879
2022,20,11.904
2022,21,20.668
2022,22,35.103
2022,23,51.282
2022,24,67.747
2022,25,82.175
2022,26,93.591
2022,27,101.577
2022,28,106.019
2022,29,106.96
2022,30,104.427
2022,31,99.834
2022,32,93.604
2022,33,87.54299999999999
2022,34,81.68599999999999
2022,35,74.788
2022,36,65.944
2022,37,57.061
2022,38,48.364
2022,39,39.386
2022,40,29.635
2022,41,21.72
2022,42,15.089
2022,43,9.896
2022,44,6.125
2022,45,3.83
2022,46,2.174
2022,47,1.126
2022,48,0.5289999999999999
2022,49,0.199
2023,15,1.891
2023,16,4.647
2023,17,6.547
2023,18,7.464
2023,19,8.853
2023,20,11.857
2023,21,20.612
2023,22,35.054
2023,23,51.245
2023,24,67.725
2023,25,82.166
2023,26,93.592
2023,27,101.587
2023,28,106.036
2023,29,106.982
2023,30,104.45
2023,31,99.862
2023,32,93.638
2023,33,87.58399999999999
2023,34,81.734
2023,35,74.84100000000001
2023,36,65.999
2023,37,57.117
2023,38,48.419
2023,39,39.436
2023,40,29.679
2023,41,21.749
2023,42,15.103
2023,43,9.893
2023,44,6.105
2023,45,3.789
2023,46,2.128
2023,47,1.08
2023,48,0.487
2023,49,0.1689999999999999
2024,15,1.856
2024,16,4.566
2024,17,6.363
2024,18,7.148
2024,19,8.413
2024,20,11.293
2024,21,19.956000000000003
2024,22,34.439
2024,23,50.748000000000005
2024,24,67.36399999999999
2024,25,81.895
2024,26,93.34
2024,27,101.31
2024,28,105.705
2024,29,106.589
2024,30,103.991
2024,31,99.395
2024,32,93.216
2024,33,87.26299999999999
2024,34,81.55900000000001
2024,35,74.81
2024,36,66.047
2024,37,57.216
2024,38,48.541
2024,39,39.537000000000006
2024,40,29.689
2024,41,21.726
2024,42,15.066
2024,43,9.85
2024,44,6.063
2024,45,3.774
2024,46,2.116
2024,47,1.07
2024,48,0.479
2024,49,0.163
2025,15,1.815
2025,16,4.469
2025,17,6.163
2025,18,6.825
2025,19,7.975
2025,20,10.727
2025,21,19.26
2025,22,33.712
2025,23,50.062000000000005
2025,24,66.736
2025,25,81.293
2025,26,92.709
2025,27,100.627
2025,28,104.953
2025,29,105.778
2025,30,103.129
2025,31,98.544
2025,32,92.435
2025,33,86.603
2025,34,81.06099999999999
2025,35,74.47800000000001
2025,36,65.826
2025,37,57.08
2025,38,48.461
2025,39,39.472
2025,40,29.578
2025,41,21.614
2025,42,14.967
2025,43,9.767
2025,44,5.996
2025,45,3.744
2025,46,2.095
2025,47,1.056
2025,48,0.469
2025,49,0.157
2026,15,1.777
2026,16,4.381
2026,17,5.981
2026,18,6.533
2026,19,7.58
2026,20,10.218
2026,21,18.629
2026,22,33.059
2026,23,49.459
2026,24,66.205
2026,25,80.804
2026,26,92.207
2026,27,100.084
2026,28,104.354
2026,29,105.125
2026,30,102.427
2026,31,97.849
2026,32,91.798
2026,33,86.077
2026,34,80.682
2026,35,74.25
2026,36,65.694
2026,37,57.018
2026,38,48.442
2026,39,39.457
2026,40,29.504
2026,41,21.531
2026,42,14.888
2026,43,9.698
2026,44,5.94
2026,45,3.719
2026,46,2.078
2026,47,1.045
2026,48,0.46
2026,49,0.152
2027,15,1.7440000000000002
2027,16,4.305
2027,17,5.822
2027,18,6.276000000000001
2027,19,7.233
2027,20,9.77
2027,21,18.079
2027,22,32.511
2027,23,48.991
2027,24,65.841
2027,25,80.512
2027,26,91.93
2027,27,99.788
2027,28,104.016
2027,29,104.739
2027,30,101.99
2027,31,97.411
2027,32,91.403
