year,age,value
2020,0,0.00658428
2020,1,0.0004639
2020,2,0.0003837
2020,3,0.00031942
2020,4,0.00026917
2020,5,0.00023035
2020,6,0.00020196
2020,7,0.00018336
2020,8,0.00017385
2020,9,0.00017299
2020,10,0.00018025
2020,11,0.00019817
2020,12,0.00022958
2020,13,0.00027889
2020,14,0.00035035
2020,15,0.00044605
2020,16,0.00055758
2020,17,0.00066412
2020,18,0.00074298
2020,19,0.00077768
2020,20,0.00077325
2020,21,0.00074473
2020,22,0.00070974
2020,23,0.00068215
2020,24,0.00066752
2020,25,0.00066879
2020,26,0.0006861
2020,27,0.00071943
2020,28,0.00076829
2020,29,0.00083186
2020,30,0.00090879
2020,31,0.00099704
2020,32,0.00109433
2020,33,0.00119774
2020,34,0.00130634
2020,35,0.00142089
2020,36,0.00154403
2020,37,0.00167924
2020,38,0.00182858
2020,39,0.00199266
2020,40,0.00217002
2020,41,0.00235912
2020,42,0.00255891
2020,43,0.00276705
2020,44,0.00298457
2020,45,0.00321838
2020,46,0.00347807
2020,47,0.00377145
2020,48,0.00410376
2020,49,0.00448307
2020,50,0.0049179
2020,51,0.0054129
2020,52,0.00596809
2020,53,0.00657856
2020,54,0.00723296
2020,55,0.00791243
2020,56,0.00859672
2020,57,0.00926567
2020,58,0.00991822
2020,59,0.01058165
2020,60,0.01130649
2020,61,0.01216893
2020,62,0.01323876
2020,63,0.01456766
2020,64,0.01615834
2020,65,0.01792936
2020,66,0.0197599
2020,67,0.02150303
2020,68,0.02308089
2020,69,0.02456969
2020,70,0.02617946
2020,71,0.02827913
2020,72,0.03124226
2020,73,0.03537189
2020,74,0.04082398
2020,75,0.04734528
2020,76,0.05433074
2020,77,0.06080114
2020,78,0.06586393
2020,79,0.06934464
2020,80,0.07166822
2020,81,0.07391197
2020,82,0.07712398
2020,83,0.08208609
2020,84,0.08928513
2020,85,0.09851073
2020,86,0.10929698
2020,87,0.12088941
2020,88,0.13253016
2020,89,0.14393835
2020,90,0.15504267
2020,91,0.16623531
2020,92,0.17811036
2020,93,0.19127088
2020,94,0.20613056
2020,95,0.22413948
2020,96,0.24047378
2020,97,0.25739616
2020,98,0.27515853
2020,99,0.29382724
2021,0,0.00654975
2021,1,0.00047545
2021,2,0.00038541
2021,3,0.00031698
2021,4,0.00026467
2021,5,0.00022474
2021,6,0.00019583
2021,7,0.00017717
2021,8,0.00016792
2021,9,0.00016724
2021,10,0.0001745
2021,11,0.00019237
2021,12,0.00022356
2021,13,0.00027239
2021,14,0.00034254
2021,15,0.00043617
2021,16,0.00054616
2021,17,0.00065162
2021,18,0.00072868
2021,19,0.00076032
2021,20,0.00075347
2021,21,0.0007242
2021,22,0.0006895
2021,23,0.00066761
2021,24,0.00066648
2021,25,0.00068566
2021,26,0.00072165
2021,27,0.00077099
2021,28,0.00083256
2021,29,0.00090811
2021,30,0.00099742
2021,31,0.00109968
2021,32,0.00121416
2021,33,0.00134022
2021,34,0.00147746
2021,35,0.00162547
2021,36,0.00178645
2021,37,0.00196384
2021,38,0.00216628
2021,39,0.0023987
2021,40,0.00265504
2021,41,0.0029276
2021,42,0.00321064
2021,43,0.00350409
2021,44,0.00381187
2021,45,0.00413766
2021,46,0.00449238
2021,47,0.00488937
2021,48,0.00533996
2021,49,0.00584941
2021,50,0.00641901
2021,51,0.00705169
2021,52,0.00774478
2021,53,0.00849439
2021,54,0.00929238
2021,55,0.01011836
2021,56,0.01095126
2021,57,0.01176984
2021,58,0.01256832
2021,59,0.01337001
2021,60,0.01423259
2021,61,0.01524137
2021,62,0.01646889
2021,63,0.01797138
2021,64,0.01975303
2021,65,0.02173632
2021,66,0.0237962
2021,67,0.02577218
2021,68,0.02760386
2021,69,0.02936547
2021,70,0.03125552
2021,71,0.03364956
2021,72,0.03690814
2021,73,0.04134026
2021,74,0.04711818
2021,75,0.05399607
2021,76,0.06139037
2021,77,0.06829774
2021,78,0.07389885
2021,79,0.07808875
2021,80,0.08131787
2021,81,0.08476369
2021,82,0.08949077
2021,83,0.09675804
2021,84,0.10737808
2021,85,0.12087883
2021,86,0.1365307
2021,87,0.15326111
2021,88,0.17058038
2021,89,0.18848387
2021,90,0.20663639
2021,91,0.22526504
2021,92,0.24470817
2021,93,0.26571505
2021,94,0.28897129
2021,95,0.31592363
2021,96,0.34145595
2021,97,0.36746147
2021,98,0.39406453
2021,99,0.42152734
2022,0,0.00649535
2022,1,0.00047748
2022,2,0.00038372
2022,3,0.00031291
2022,4,0.00025914
2022,5,0.00021851
2022,6,0.00018942
2022,7,0.00017083
2022,8,0.00016186
2022,9,0.00016157
2022,10,0.00016895
2022,11,0.00018673
2022,12,0.00021771
2022,13,0.00026598
2022,14,0.00033519
2022,15,0.00042666
2022,16,0.00053353
2022,17,0.00063702
2022,18,0.00071289
2022,19,0.00074297
2022,20,0.00073377
2022,21,0.0007029
2022,22,0.00066808
2022,23,0.00064376
2022,24,0.00063601
2022,25,0.00064629
2022,26,0.000673
2022,27,0.00071454
2022,28,0.00077021
2022,29,0.00084064
2022,30,0.00092505
2022,31,0.00102157
2022,32,0.00112831
2022,33,0.00124341
2022,34,0.00136608
2022,35,0.00149575
2022,36,0.00163413
2022,37,0.00178476
2022,38,0.00195273
2022,39,0.00214133
2022,40,0.00234852
2022,41,0.00256973
2022,42,0.00280035
2022,43,0.00303961
2022,44,0.00329088
2022,45,0.00355665
2022,46,0.00384266
2022,47,0.00416125
2022,48,0.00452668
2022,49,0.00494689
2022,50,0.00542259
2022,51,0.00595634
2022,52,0.00654973
2022,53,0.00719998
2022,54,0.0078961
2022,55,0.00861705
2022,56,0.00934016
2022,57,0.01004348
2022,58,0.01072596
2022,59,0.0114097
2022,60,0.01214855
2022,61,0.0130294
2022,62,0.01412549
2022,63,0.01549298
2022,64,0.01713409
2022,65,0.01897132
2022,66,0.02087902
2022,67,0.02268314
2022,68,0.02430924
2022,69,0.02583685
2022,70,0.02747829
2022,71,0.0296238
2022,72,0.03264904
2022,73,0.03688095
2022,74,0.04249452
2022,75,0.04920972
2022,76,0.0563751
2022,77,0.06290642
2022,78,0.06789241
2022,79,0.07119378
2022,80,0.0732871
2022,81,0.07541185
2022,82,0.07868312
2022,83,0.08402919
2022,84,0.09204634
2022,85,0.1024563
2022,86,0.11472812
2022,87,0.12792915
2022,88,0.14132313
2022,89,0.15467321
2022,90,0.16781196
2022,91,0.18121465
2022,92,0.19543232
2022,93,0.21103233
2022,94,0.22851574
2022,95,0.24965148
2022,96,0.26947831
2022,97,0.2898953
2022,98,0.31075876
2022,99,0.33230785
2023,0,0.00642576
2023,1,0.00047041
2023,2,0.00037766
2023,3,0.00030572
2023,4,0.00025097
2023,5,0.00020975
2023,6,0.00018051
2023,7,0.00016209
2023,8,0.00015336
2023,9,0.00015339
2023,10,0.00016107
2023,11,0.00017882
2023,12,0.00020942
2023,13,0.00025704
2023,14,0.0003251
2023,15,0.00041483
2023,16,0.00051838
2023,17,0.00061776
2023,18,0.00069156
2023,19,0.00072095
2023,20,0.00071103
2023,21,0.00067895
