year,age,value
2020,0,508682.0
2020,1,511783.0
2020,2,518311.0
2020,3,523213.0
2020,4,528156.0
2020,5,530788.0
2020,6,525385.0
2020,7,516394.0
2020,8,509490.0
2020,9,499104.0
2020,10,491021.0
2020,11,497368.0
2020,12,512533.0
2020,13,524857.0
2020,14,530910.0
2020,15,533263.0
2020,16,534941.0
2020,17,542108.0
2020,18,552339.0
2020,19,559274.0
2020,20,564243.0
2020,21,566214.0
2020,22,565978.0
2020,23,570262.0
2020,24,582148.0
2020,25,596227.0
2020,26,603057.0
2020,27,602560.0
2020,28,603364.0
2020,29,608116.0
2020,30,613150.0
2020,31,613759.0
2020,32,608810.0
2020,33,601875.0
2020,34,595387.0
2020,35,588136.0
2020,36,576138.0
2020,37,558166.0
2020,38,537054.0
2020,39,513798.0
2020,40,489464.0
2020,41,467766.0
2020,42,449954.0
2020,43,434590.0
2020,44,420594.0
2020,45,407879.0
2020,46,397306.0
2020,47,389011.0
2020,48,381955.0
2020,49,374804.0
2020,50,367220.0
2020,51,359771.0
2020,52,352403.0
2020,53,344601.0
2020,54,335631.0
2020,55,325219.0
2020,56,314515.0
2020,57,304540.0
2020,58,295239.0
2020,59,285538.0
2020,60,274452.0
2020,61,263107.0
2020,62,251909.0
2020,63,239719.0
2020,64,226569.0
2020,65,213477.0
2020,66,201080.0
2020,67,188860.0
2020,68,176333.0
2020,69,163491.0
2020,70,150618.0
2020,71,138437.0
2020,72,127227.0
2020,73,116798.0
2020,74,106782.0
2020,75,96857.0
2020,76,87426.0
2020,77,78787.0
2020,78,70644.0
2020,79,63032.0
2020,80,56021.0
2020,81,49459.0
2020,82,43168.0
2020,83,37120.0
2020,84,31424.0
2020,85,26213.0
2020,86,21663.0
2020,87,17780.0
2020,88,14428.0
2020,89,11539.0
2020,90,9118.0
2020,91,7215.0
2020,92,5750.0
2020,93,4550.0
2020,94,3508.0
2020,95,2601.0
2020,96,1896.0
2020,97,1397.0
2020,98,1033.0
2020,99,753.0
2021,0,508935.0
2021,1,508769.0
2021,2,512179.0
2021,3,518660.0
2021,4,523519.0
2021,5,528421.0
2021,6,531013.0
2021,7,525571.0
2021,8,516548.0
2021,9,509616.0
2021,10,499216.0
2021,11,491139.0
2021,12,497523.0
2021,13,512766.0
2021,14,525223.0
2021,15,531459.0
2021,16,534031.0
2021,17,535943.0
2021,18,543338.0
2021,19,553769.0
2021,20,560870.0
2021,21,565964.0
2021,22,568015.0
2021,23,567811.0
2021,24,572087.0
2021,25,583923.0
2021,26,597925.0
2021,27,604661.0
2021,28,604059.0
2021,29,604742.0
2021,30,609363.0
2021,31,614256.0
2021,32,614725.0
2021,33,609636.0
2021,34,602561.0
2021,35,595932.0
2021,36,588538.0
2021,37,576408.0
2021,38,558314.0
2021,39,537088.0
2021,40,513727.0
2021,41,489294.0
2021,42,467494.0
2021,43,449572.0
2021,44,434093.0
2021,45,419976.0
2021,46,407134.0
2021,47,396426.0
2021,48,387983.0
2021,49,380771.0
2021,50,373456.0
2021,51,365703.0
2021,52,358082.0
2021,53,350534.0
2021,54,342544.0
2021,55,333383.0
2021,56,322782.0
2021,57,311892.0
2021,58,301720.0
2021,59,292204.0
2021,60,282276.0
2021,61,270980.0
2021,62,259425.0
2021,63,248018.0
2021,64,235636.0
2021,65,222313.0
2021,66,209059.0
2021,67,196490.0
2021,68,184093.0
2021,69,171391.0
2021,70,158395.0
2021,71,145438.0
2021,72,133278.0
2021,73,122143.0
2021,74,111787.0
2021,75,101849.0
2021,76,92015.0
2021,77,82667.0
2021,78,74083.0
2021,79,65985.0
2021,80,58421.0
2021,81,51470.0
2021,82,45011.0
2021,83,38891.0
2021,84,33085.0
2021,85,27699.0
2021,86,22847.0
2021,87,18668.0
2021,88,15140.0
2021,89,12131.0
2021,90,9563.0
2021,91,7437.0
2021,92,5787.0
2021,93,4528.0
2021,94,3516.0
2021,95,2659.0
2021,96,1934.0
2021,97,1382.0
2021,98,998.0
2021,99,724.0
2022,0,508112.0
2022,1,509020.0
2022,2,509135.0
2022,3,512501.0
2022,4,518939.0
2022,5,523760.0
2022,6,528624.0
2022,7,531180.0
2022,8,525707.0
2022,9,516658.0
2022,10,509713.0
2022,11,499318.0
2022,12,491275.0
2022,13,497732.0
2022,14,513095.0
2022,15,525716.0
2022,16,532150.0
2022,17,534932.0
2022,18,537051.0
2022,19,544627.0
2022,20,555206.0
2022,21,562418.0
2022,22,567583.0
2022,23,569663.0
2022,24,569455.0
2022,25,573689.0
2022,26,585455.0
2022,27,599363.0
2022,28,605994.0
2022,29,605278.0
2022,30,605839.0
2022,31,610325.0
2022,32,615081.0
2022,33,615412.0
2022,34,610187.0
2022,35,602978.0
2022,36,596212.0
2022,37,588686.0
2022,38,576433.0
2022,39,558227.0
2022,40,536895.0
2022,41,513434.0
2022,42,488907.0
2022,43,467007.0
2022,44,448978.0
2022,45,433383.0
2022,46,419148.0
2022,47,406182.0
2022,48,395342.0
2022,49,386753.0
2022,50,379383.0
2022,51,371902.0
2022,52,363979.0
2022,53,356180.0
2022,54,348445.0
2022,55,340263.0
2022,56,330907.0
2022,57,320116.0
2022,58,309036.0
2022,59,298659.0
2022,60,288929.0
2022,61,278780.0
2022,62,267274.0
2022,63,255513.0
2022,64,243892.0
2022,65,231309.0
2022,66,217810.0
2022,67,204398.0
2022,68,191668.0
2022,69,179109.0
2022,70,166276.0
2022,71,153182.0
2022,72,140206.0
2022,73,128092.0
2022,74,117008.0
2022,75,106701.0
2022,76,96816.0
2022,77,87050.0
2022,78,77764.0
2022,79,69227.0
2022,80,61191.0
2022,81,53714.0
2022,82,46885.0
2022,83,40597.0
2022,84,34710.0
2022,85,29204.0
2022,86,24171.0
2022,87,19702.0
2022,88,15898.0
2022,89,12721.0
2022,90,10042.0
2022,91,7780.0
2022,92,5945.0
2022,93,4539.0
2022,94,3483.0
2022,95,2650.0
2022,96,1963.0
2022,97,1396.0
2022,98,975.0
2022,99,689.0
2023,0,506486.0
2023,1,508283.0
2023,2,509425.0
2023,3,509488.0
2023,4,512804.0
2023,5,519198.0
2023,6,523977.0
2023,7,528803.0
2023,8,531324.0
2023,9,525824.0
2023,10,516761.0
2023,11,509820.0
2023,12,499459.0
2023,13,491493.0
2023,14,498073.0
2023,15,513605.0
2023,16,526428.0
2023,17,533076.0
2023,18,536071.0
2023,19,538378.0
2023,20,546107.0
2023,21,556798.0
2023,22,564080.0
2023,23,569276.0
2023,24,571352.0
2023,25,571107.0
2023,26,575274.0
2023,27,586944.0
2023,28,600738.0
2023,29,607245.0
2023,30,606401.0
2023,31,606823.0
2023,32,611165.0
2023,33,615773.0
2023,34,615959.0
2023,35,610597.0
2023,36,603255.0
2023,37,596358.0
2023,38,588704.0
2023,39,576330.0
2023,40,558012.0
2023,41,536575.0
2023,42,513013.0
2023,43,488390.0
2023,44,466389.0
2023,45,448253.0
2023,46,432547.0
2023,47,418196.0
2023,48,405113.0
2023,49,394143.0
2023,50,385412.0
2023,51,377885.0
2023,52,370241.0
2023,53,362147.0
2023,54,354170.0
2023,55,346253.0
2023,56,337885.0
2023,57,328343.0
2023,58,317371.0
2023,59,306109.0
2023,60,295542.0
2023,61,285608.0
2023,62,275256.0
2023,63,263562.0
2023,64,251608.0
2023,65,239782.0
2023,66,227015.0
2023,67,213376.0
2023,68,199844.0
2023,69,186994.0
2023,70,174339.0
2023,71,161438.0
2023,72,148308.0
2023,73,135333.0
2023,74,123238.0
2023,75,112175.0
2023,76,101887.0
2023,77,92022.0
2023,78,82295.0
2023,79,73057.0
2023,80,64576.0
2023,81,56633.0
2023,82,49295.0
2023,83,42646.0
2023,84,36583.0
2023,85,30971.0
2023,86,25782.0
2023,87,21090.0
2023,88,16969.0
2023,89,13498.0
2023,90,10632.0
2023,91,8235.0
2023,92,6263.0
2023,93,4695.0
2023,94,3513.0
2023,95,2639.0
2023,96,1962.0
2023,97,1418.0
2023,98,983.0
2023,99,668.0
2024,0,504437.0
2024,1,506672.0
2024,2,508693.0
2024,3,509781.0
2024,4,509795.0
2024,5,513066.0
2024,6,519417.0
2024,7,524157.0
2024,8,528948.0
2024,9,531442.0
2024,10,525928.0
2024,11,516869.0
2024,12,509961.0
2024,13,499676.0
2024,14,491836.0
2024,15,498587.0
2024,16,514320.0
2024,17,527358.0
2024,18,534217.0
2024,19,537401.0
2024,20,539863.0
2024,21,547705.0
2024,22,558465.0
2024,23,565778.0
2024,24,570967.0
2024,25,573006.0
2024,26,572696.0
2024,27,576773.0
2024,28,588331.0
2024,29,601996.0
2024,30,608369.0
2024,31,607389.0
2024,32,607672.0
2024,33,611866.0
2024,34,616327.0
2024,35,616371.0
2024,36,610874.0
2024,37,603402.0
2024,38,596377.0
2024,39,588595.0
2024,40,576098.0
2024,41,557668.0
2024,42,536123.0
2024,43,512458.0
2024,44,487737.0
2024,45,465635.0
2024,46,447390.0
2024,47,431569.0
2024,48,417101.0
2024,49,403895.0
2024,50,392793.0
2024,51,383911.0
2024,52,376222.0
2024,53,368406.0
2024,54,360136.0
2024,55,351977.0
2024,56,343870.0
2024,57,335308.0
2024,58,325574.0
2024,59,314415.0
2024,60,302966.0
2024,61,292200.0
2024,62,282056.0
2024,63,271490.0
2024,64,259594.0
2024,65,247434.0
2024,66,235402.0
2024,67,222466.0
2024,68,208694.0
2024,69,195044.0
2024,70,182088.0
2024,71,169342.0
2024,72,156377.0
2024,73,143228.0
2024,74,130278.0
2024,75,118219.0
2024,76,107182.0
2024,77,96908.0
2024,78,87059.0
2024,79,77376.0
2024,80,68207.0
2024,81,59822.0
2024,82,52026.0
2024,83,44885.0
2024,84,38472.0
2024,85,32679.0
2024,86,27374.0
2024,87,22523.0
2024,88,18187.0
2024,89,14425.0
2024,90,11296.0
2024,91,8731.0
2024,92,6640.0
2024,93,4954.0
2024,94,3639.0
2024,95,2666.0
2024,96,1957.0
2024,97,1420.0
2024,98,1000.0
2024,99,674.0
2025,0,502169.0
2025,1,504638.0
2025,2,507086.0
2025,3,509051.0
2025,4,510090.0
2025,5,510058.0
2025,6,513288.0
2025,7,519599.0
2025,8,524305.0
2025,9,529068.0
2025,10,531546.0
2025,11,526035.0
2025,12,517010.0
2025,13,510178.0
2025,14,500020.0
2025,15,492352.0
2025,16,499307.0
2025,17,515256.0
2025,18,528502.0
2025,19,535550.0
2025,20,538888.0
2025,21,541466.0
2025,22,549379.0
2025,23,560168.0
2025,24,567473.0
2025,25,572624.0
2025,26,574597.0
2025,27,574200.0
2025,28,578169.0
2025,29,589601.0
2025,30,603128.0
2025,31,609361.0
2025,32,608242.0
2025,33,608383.0
2025,34,612431.0
2025,35,616746.0
2025,36,616651.0
2025,37,611023.0
2025,38,603424.0
2025,39,596270.0
2025,40,588358.0
2025,41,575737.0
2025,42,557190.0
2025,43,535535.0
2025,44,511767.0
2025,45,486946.0
2025,46,464741.0
2025,47,446385.0
2025,48,430448.0
2025,49,415858.0
2025,50,402525.0
2025,51,391283.0
2025,52,382246.0
2025,53,374385.0
2025,54,366393.0
2025,55,357943.0
2025,56,349595.0
2025,57,341290.0
2025,58,332526.0
2025,59,322593.0
2025,60,311242.0
2025,61,299598.0
2025,62,288626.0
2025,63,278260.0
2025,64,267467.0
2025,65,255356.0
2025,66,242988.0
2025,67,230762.0
2025,68,217662.0
2025,69,203758.0
2025,70,190005.0
2025,71,176949.0
2025,72,164113.0
2025,73,151099.0
2025,74,137955.0
2025,75,125049.0
2025,76,113031.0
2025,77,102015.0
2025,78,91750.0
2025,79,81923.0
2025,80,72305.0
2025,81,63246.0
2025,82,55011.0
2025,83,47423.0
2025,84,40538.0
2025,85,34409.0
2025,86,28920.0
2025,87,23945.0
2025,88,19449.0
2025,89,15482.0
2025,90,12089.0
2025,91,9291.0
2025,92,7052.0
2025,93,5261.0
2025,94,3847.0
2025,95,2767.0
2025,96,1981.0
2025,97,1419.0
2025,98,1003.0
2025,99,687.0
2026,0,500018.0
2026,1,502385.0
2026,2,505056.0
2026,3,507447.0
2026,4,509362.0
2026,5,510355.0
2026,6,510282.0
2026,7,513472.0
2026,8,519749.0
2026,9,524427.0
2026,10,529173.0
2026,11,531654.0
2026,12,526177.0
2026,13,517227.0
2026,14,510520.0
2026,15,500536.0
2026,16,493075.0
2026,17,500248.0
2026,18,516406.0
2026,19,529840.0
2026,20,537041.0
2026,21,540495.0
2026,22,543147.0
2026,23,551089.0
2026,24,561870.0
2026,25,569135.0
2026,26,574218.0
2026,27,576102.0
2026,28,575600.0
2026,29,579449.0
2026,30,590745.0
2026,31,604128.0
2026,32,610217.0
2026,33,608959.0
2026,34,608958.0
2026,35,612864.0
2026,36,617035.0
2026,37,616803.0
2026,38,611046.0
2026,39,603319.0
2026,40,596036.0
2026,41,587991.0
2026,42,575241.0
2026,43,556575.0
2026,44,534808.0
2026,45,510934.0
2026,46,486012.0
2026,47,463703.0
2026,48,445236.0
2026,49,429178.0
2026,50,414461.0
2026,51,400996.0
2026,52,389609.0
2026,53,380407.0
2026,54,372371.0
2026,55,364198.0
2026,56,355562.0
2026,57,347016.0
2026,58,338507.0
2026,59,329534.0
2026,60,319394.0
2026,61,307843.0
2026,62,295996.0
2026,63,284809.0
2026,64,274205.0
2026,65,263169.0
2026,66,250839.0
2026,67,238275.0
2026,68,225859.0
2026,69,212596.0
2026,70,198576.0
2026,71,184725.0
2026,72,171568.0
2026,73,158656.0
2026,74,145618.0
2026,75,132498.0
2026,76,119640.0
2026,77,107658.0
2026,78,96659.0
2026,79,86409.0
2026,80,76623.0
2026,81,67111.0
2026,82,58220.0
2026,83,50199.0
2026,84,42881.0
2026,85,36303.0
2026,86,30490.0
2026,87,25331.0
2026,88,20705.0
2026,89,16580.0
2026,90,12993.0
2026,91,9959.0
2026,92,7516.0
2026,93,5597.0
2026,94,4092.0
2026,95,2930.0
2026,96,2059.0
2026,97,1439.0
2026,98,1004.0
2026,99,691.0
2027,0,497603.0
2027,1,500249.0
2027,2,502807.0
2027,3,505421.0
2027,4,507760.0
2027,5,509629.0
2027,6,510580.0
2027,7,510468.0
2027,8,513624.0
2027,9,519872.0
2027,10,524534.0
2027,11,529283.0
2027,12,531796.0
2027,13,526394.0
2027,14,517569.0
2027,15,511036.0
2027,16,501258.0
2027,17,494020.0
2027,18,501406.0
2027,19,517750.0
2027,20,531336.0
2027,21,538652.0
2027,22,542179.0
2027,23,544863.0
2027,24,552799.0
2027,25,563536.0
2027,26,570733.0
2027,27,575726.0
2027,28,577505.0
2027,29,576885.0
2027,30,580604.0
2027,31,591759.0
2027,32,604993.0
2027,33,610938.0
2027,34,609541.0
2027,35,609402.0
2027,36,613165.0
2027,37,617197.0
2027,38,616829.0
2027,39,610943.0
2027,40,603089.0
2027,41,595671.0
2027,42,587489.0
2027,43,574607.0
2027,44,555819.0
2027,45,533937.0
2027,46,509954.0
2027,47,484931.0
2027,48,462518.0
2027,49,443934.0
2027,50,427750.0
2027,51,412903.0
2027,52,399299.0
2027,53,387760.0
2027,54,378391.0
2027,55,370176.0
2027,56,361816.0
2027,57,352984.0
2027,58,344234.0
2027,59,335511.0
2027,60,326320.0
2027,61,315965.0
2027,62,304206.0
2027,63,292147.0
2027,64,280727.0
2027,65,269871.0
2027,66,258587.0
2027,67,246049.0
2027,68,233292.0
2027,69,220686.0
2027,70,207273.0
2027,71,193140.0
2027,72,179189.0
2027,73,165947.0
2027,74,152985.0
2027,75,139939.0
2027,76,126847.0
2027,77,114032.0
2027,78,102082.0
2027,79,91103.0
2027,80,80888.0
2027,81,71187.0
2027,82,61841.0
2027,83,53185.0
2027,84,45442.0
2027,85,38446.0
2027,86,32209.0
2027,87,26741.0
2027,88,21933.0
2027,89,17675.0
2027,90,13934.0
2027,91,10722.0
2027,92,8070.0
2027,93,5976.0
2027,94,4361.0
2027,95,3122.0
2027,96,2185.0
2027,97,1498.0
2027,98,1019.0
2027,99,692.0
2028,0,494333.0
2028,1,497848.0
2028,2,500674.0
2028,3,503175.0
2028,4,505736.0
2028,5,508029.0
2028,6,509855.0
2028,7,510767.0
2028,8,510621.0
2028,9,513749.0
2028,10,519981.0
2028,11,524645.0
2028,12,529426.0
2028,13,532013.0
2028,14,526736.0
2028,15,518085.0
2028,16,511758.0
2028,17,502203.0
2028,18,495181.0
2028,19,502757.0
2028,20,519253.0
2028,21,532951.0
2028,22,540339.0
2028,23,543899.0
2028,24,546579.0
2028,25,554473.0
2028,26,565141.0
2028,27,572247.0
2028,28,577132.0
2028,29,578792.0
2028,30,578046.0
2028,31,581629.0
2028,32,592639.0
2028,33,605724.0
2028,34,611524.0
2028,35,609990.0
2028,36,609716.0
2028,37,613342.0
2028,38,617233.0
2028,39,616731.0
2028,40,610714.0
2028,41,602726.0
2028,42,595172.0
2028,43,586848.0
2028,44,573830.0
2028,45,554916.0
2028,46,532916.0
2028,47,508825.0
2028,48,483700.0
2028,49,461178.0
2028,50,442473.0
2028,51,426159.0
2028,52,411173.0
2028,53,397427.0
2028,54,385734.0
2028,55,376195.0
2028,56,367792.0
2028,57,359236.0
2028,58,350201.0
2028,59,341238.0
2028,60,332293.0
2028,61,322875.0
2028,62,312295.0
2028,63,300316.0
2028,64,288028.0
2028,65,276362.0
2028,66,265247.0
2028,67,253725.0
2028,68,240982.0
2028,69,228033.0
2028,70,215247.0
2028,71,201686.0
2028,72,187438.0
2028,73,173404.0
2028,74,160100.0
2028,75,147103.0
2028,76,134052.0
2028,77,120980.0
2028,78,108203.0
2028,79,96289.0
2028,80,85355.0
2028,81,75218.0
2028,82,65662.0
2028,83,56552.0
2028,84,48199.0
2028,85,40790.0
2028,86,34153.0
2028,87,28285.0
2028,88,23185.0
2028,89,18749.0
2028,90,14876.0
2028,91,11517.0
2028,92,8703.0
2028,93,6427.0
2028,94,4665.0
2028,95,3333.0
2028,96,2332.0
2028,97,1593.0
2028,98,1064.0
2028,99,704.0
2029,0,490590.0
2029,1,494590.0
2029,2,498277.0
2029,3,501045.0
2029,4,503491.0
2029,5,506006.0
2029,6,508257.0
2029,7,510044.0
2029,8,510921.0
2029,9,510748.0
2029,10,513860.0
2029,11,520093.0
2029,12,524789.0
2029,13,529644.0
2029,14,532356.0
2029,15,527250.0
2029,16,518807.0
2029,17,512701.0
2029,18,503364.0
2029,19,496536.0
2029,20,504268.0
2029,21,520876.0
2029,22,534644.0
2029,23,542063.0
2029,24,545618.0
2029,25,548258.0
2029,26,556085.0
2029,27,566661.0
2029,28,573658.0
2029,29,578424.0
2029,30,579956.0
2029,31,579078.0
2029,32,582524.0
2029,33,593387.0
2029,34,606322.0
2029,35,611979.0
2029,36,610313.0
2029,37,609907.0
2029,38,613395.0
2029,39,617147.0
2029,40,616506.0
2029,41,610355.0
2029,42,602233.0
2029,43,594535.0
2029,44,586066.0
2029,45,572906.0
2029,46,553863.0
2029,47,531744.0
2029,48,507541.0
2029,49,482309.0
2029,50,459676.0
2029,51,440845.0
2029,52,424395.0
2029,53,409268.0
2029,54,395376.0
2029,55,383527.0
2029,56,373810.0
2029,57,365212.0
2029,58,356450.0
2029,59,347205.0
2029,60,338020.0
2029,61,328841.0
2029,62,319185.0
2029,63,308369.0
2029,64,296154.0
2029,65,283624.0
2029,66,271704.0
2029,67,260339.0
2029,68,248578.0
2029,69,235631.0
2029,70,222499.0
2029,71,209534.0
2029,72,195821.0
2029,73,181474.0
2029,74,167380.0
2029,75,154031.0
2029,76,140999.0
2029,77,127934.0
2029,78,114876.0
2029,79,102142.0
2029,80,90290.0
2029,81,79442.0
2029,82,69446.0
2029,83,60108.0
2029,84,51307.0
2029,85,43313.0
2029,86,36277.0
2029,87,30029.0
2029,88,24556.0
2029,89,19846.0
2029,90,15802.0
2029,91,12313.0
2029,92,9362.0
2029,93,6942.0
2029,94,5025.0
2029,95,3571.0
2029,96,2494.0
2029,97,1702.0
2029,98,1132.0
2029,99,736.0
2030,0,486762.0
2030,1,490859.0
2030,2,495023.0
2030,3,498650.0
2030,4,501364.0
2030,5,503763.0
2030,6,506235.0
2030,7,508446.0
2030,8,510199.0
2030,9,511050.0
2030,10,510860.0
2030,11,513973.0
2030,12,520239.0
2030,13,525009.0
2030,14,529988.0
2030,15,532870.0
2030,16,527972.0
2030,17,519750.0
2030,18,513861.0
2030,19,504717.0
2030,20,498052.0
2030,21,505900.0
2030,22,522577.0
2030,23,536374.0
2030,24,543786.0
2030,25,547302.0
2030,26,549878.0
2030,27,557614.0
2030,28,568080.0
2030,29,574957.0
2030,30,579592.0
2030,31,580992.0
2030,32,579980.0
2030,33,583287.0
2030,34,594004.0
2030,35,606791.0
2030,36,612309.0
2030,37,610513.0
2030,38,609976.0
2030,39,613327.0
2030,40,616936.0
2030,41,616154.0
2030,42,609866.0
2030,43,601603.0
