year,age,value
2020,15,12.165
2020,16,25.527
2020,17,45.269
2020,18,70.216
2020,19,94.122
2020,20,114.987
2020,21,130.614
2020,22,140.779
2020,23,147.068
2020,24,149.971
2020,25,150.07899999999998
2020,26,147.852
2020,27,144.711
2020,28,140.896
2020,29,136.033
2020,30,130.11
2020,31,123.454
2020,32,116.285
2020,33,109.245
2020,34,102.25
2020,35,94.282
2020,36,85.26899999999999
2020,37,75.908
2020,38,66.315
2020,39,56.302
2020,40,45.998
2020,41,36.155
2020,42,27.075
2020,43,19.345
2020,44,13.118
2020,45,8.488000000000001
2020,46,5.373
2020,47,3.317
2020,48,2.097
2020,49,1.183
2021,15,11.865
2021,16,24.932
2021,17,44.437
2021,18,69.26899999999999
2021,19,93.21
2021,20,114.218
2021,21,129.79299999999998
2021,22,139.75099999999998
2021,23,145.85500000000002
2021,24,148.65
2021,25,148.783
2021,26,146.709
2021,27,143.755
2021,28,140.13500000000002
2021,29,135.44
2021,30,129.635
2021,31,122.966
2021,32,115.643
2021,33,108.349
2021,34,101.034
2021,35,92.813
2021,36,83.63900000000001
2021,37,74.20100000000001
2021,38,64.618
2021,39,54.729
2021,40,44.650000000000006
2021,41,35.055
2021,42,26.23
2021,43,18.744
2021,44,12.741
2021,45,8.281
2021,46,5.279
2021,47,3.294
2021,48,2.111
2021,49,1.21
2022,15,11.911
2022,16,25.028
2022,17,44.470000000000006
2022,18,69.107
2022,19,92.728
2022,20,113.338
2022,21,128.635
2022,22,138.451
2022,23,144.494
2022,24,147.293
2022,25,147.45600000000002
2022,26,145.428
2022,27,142.546
2022,28,139.014
2022,29,134.399
2022,30,128.659
2022,31,122.049
2022,32,114.79
2022,33,107.595
2022,34,100.405
2022,35,92.25
2022,36,83.076
2022,37,73.619
2022,38,64.006
2022,39,54.059999999999995
2022,40,43.916
2022,41,34.329
2022,42,25.582
2022,43,18.207
2022,44,12.33
2022,45,7.986999999999999
2022,46,5.083
2022,47,3.1679999999999997
2022,48,2.026
2022,49,1.156
2023,15,11.897
2023,16,24.997
2023,17,44.281
2023,18,68.608
2023,19,91.804
2023,20,111.932
2023,21,126.891
2023,22,136.525
2023,23,142.487
2023,24,145.281
2023,25,145.476
2023,26,143.509
2023,27,140.711
2023,28,137.286
2023,29,132.771
2023,30,127.122
2023,31,120.602
2023,32,113.438
2023,33,106.371
2023,34,99.334
2023,35,91.28
2023,36,82.14699999999999
2023,37,72.715
2023,38,63.117999999999995
2023,39,53.163
2023,40,43.006
2023,41,33.473000000000006
2023,42,24.844
2023,43,17.611
2023,44,11.882
2023,45,7.672
2023,46,4.874
2023,47,3.033
2023,48,1.935
2023,49,1.1
2024,15,11.928
2024,16,25.067
2024,17,44.274
2024,18,68.399
2024,19,91.28
2024,20,111.026
2024,21,125.723
2024,22,135.227
2024,23,141.14
2024,24,143.945
2024,25,144.177
2024,26,142.264
2024,27,139.542
2024,28,136.207
2024,29,131.772
2024,30,126.189
2024,31,119.728
2024,32,112.624
2024,33,105.651
2024,34,98.73
2024,35,90.738
2024,36,81.604
2024,37,72.155
2024,38,62.531000000000006
2024,39,52.525000000000006
2024,40,42.315
2024,41,32.794999999999995
2024,42,24.244999999999997
2024,43,17.118000000000002
2024,44,11.507
2024,45,7.405
2024,46,4.6979999999999995
2024,47,2.919
2024,48,1.858
2024,49,1.052
2025,15,11.906
2025,16,25.026
2025,17,44.079
2025,18,67.90599999999999
2025,19,90.386
2025,20,109.685
2025,21,124.072
2025,22,133.416
2025,23,139.262
2025,24,142.072
2025,25,142.344
2025,26,140.496
2025,27,137.86100000000002
2025,28,134.63
2025,29,130.292
2025,30,124.797
2025,31,118.418
2025,32,111.401
2025,33,104.545
2025,34,97.763
2025,35,89.86
2025,36,80.76
2025,37,71.331
2025,38,61.719
2025,39,51.704
2025,40,41.485
2025,41,32.016000000000005
2025,42,23.577
2025,43,16.581
2025,44,11.106
2025,45,7.1240000000000006
2025,46,4.5120000000000005
2025,47,2.799
2025,48,1.778
2025,49,1.003
2026,15,11.925
2026,16,25.072
2026,17,44.041999999999994
2026,18,67.665
2026,19,89.83800000000001
2026,20,108.776
2026,21,122.919
2026,22,132.147
2026,23,137.95399999999998
2026,24,140.784
2026,25,141.1
2026,26,139.313
2026,27,136.756
2026,28,133.616
2026,29,129.359
2026,30,123.929
2026,31,117.607
2026,32,110.647
2026,33,103.878
2026,34,97.202
2026,35,89.355
2026,36,80.253
2026,37,70.806
2026,38,61.168
2026,39,51.108
2026,40,40.841
2026,41,31.389
2026,42,23.026
2026,43,16.131
2026,44,10.766
2026,45,6.883
2026,46,4.353
2026,47,2.696
2026,48,1.709
2026,49,0.96
2027,15,11.905
2027,16,25.041
2027,17,43.873000000000005
2027,18,67.22699999999999
2027,19,89.03999999999999
2027,20,107.577
2027,21,121.448
2027,22,130.541
2027,23,136.3
2027,24,139.146
2027,25,139.509
2027,26,137.79
2027,27,135.319
2027,28,132.28
2027,29,128.114
2027,30,122.763
2027,31,116.514
2027,32,109.628
2027,33,102.96
2027,34,96.405
2027,35,88.632
2027,36,79.55
2027,37,70.10900000000001
2027,38,60.472
2027,39,50.395
2027,40,40.113
2027,41,30.703999999999997
2027,42,22.438
2027,43,15.659
2027,44,10.414
2027,45,6.637
2027,46,4.19
2027,47,2.592
2027,48,1.639
2027,49,0.917
2028,15,11.906
2028,16,25.055
2028,17,43.79
2028,18,66.929
2028,19,88.435
2028,20,106.624
2028,21,120.264
2028,22,129.25
2028,23,134.97799999999998
2028,24,137.85
2028,25,138.264
2028,26,136.61200000000002
2028,27,134.22400000000002
2028,28,131.279
2028,29,127.195
2028,30,121.911
2028,31,115.719
2028,32,108.89
2028,33,102.303
2028,34,95.849
2028,35,88.129
2028,36,79.046
2028,37,69.591
2028,38,59.933
2028,39,49.817
2028,40,39.499
2028,41,30.112
2028,42,21.923
2028,43,15.242
2028,44,10.101
2028,45,6.417
2028,46,4.045
2028,47,2.498
2028,48,1.5759999999999998
2028,49,0.878
2029,15,11.896
2029,16,25.049
2029,17,43.677
2029,18,66.592
2029,19,87.79
2029,20,105.633
2029,21,119.045
2029,22,127.92799999999998
2029,23,133.628
2029,24,136.52900000000002
2029,25,136.99800000000002
2029,26,135.416
2029,27,133.113
2029,28,130.26299999999998
2029,29,126.263
2029,30,121.047
2029,31,114.914
2029,32,108.141
2029,33,101.636
2029,34,95.281
2029,35,87.614
2029,36,78.53200000000001
2029,37,69.065
2029,38,59.389
2029,39,49.24
2029,40,38.892
2029,41,29.532
2029,42,21.421
2029,43,14.837
2029,44,9.799
2029,45,6.2059999999999995
2029,46,3.906
2029,47,2.408
2029,48,1.515
2029,49,0.841
2030,15,11.872
2030,16,25.017
2030,17,43.523
2030,18,66.199
2030,19,87.08
2030,20,104.577
2030,21,117.762
2030,22,126.543
2030,23,132.216
2030,24,135.148
2030,25,135.673
2030,26,134.166
2030,27,131.95100000000002
2030,28,129.198
2030,29,125.284
2030,30,120.139
2030,31,114.067
2030,32,107.354
2030,33,100.932
2030,34,94.675
2030,35,87.06400000000001
2030,36,77.987
2030,37,68.513
2030,38,58.826
2030,39,48.652
2030,40,38.282999999999994
2030,41,28.956
2030,42,20.926
2030,43,14.441
2030,44,9.505
2030,45,6.001
2030,46,3.771
2030,47,2.321
2030,48,1.457
2030,49,0.8059999999999999
2031,15,11.867
2031,16,25.026
2031,17,43.446
2031,18,65.931
2031,19,86.54299999999999
2031,20,103.739
2031,21,116.733
2031,22,125.435
2031,23,131.09799999999998
2031,24,134.07
2031,25,134.657
2031,26,133.22400000000002
2031,27,131.094
2031,28,128.433
2031,29,124.597
2031,30,119.512
2031,31,113.489
2031,32,106.818
2031,33,100.462
2031,34,94.288
2031,35,86.713
2031,36,77.621
2031,37,68.12
2031,38,58.401
2031,39,48.182
2031,40,37.772
2031,41,28.461
2031,42,20.493
2031,43,14.091
2031,44,9.243
2031,45,5.8180000000000005
2031,46,3.65
2031,47,2.2430000000000003
2031,48,1.405
2031,49,0.7739999999999999
2032,15,11.817
2032,16,24.942
2032,17,43.212
2032,18,65.432
2032,19,85.713
2032,20,102.562
2032,21,115.329
2032,22,123.93
2032,23,129.569
2032,24,132.57399999999998
2032,25,133.22400000000002
2032,26,131.873
2032,27,129.836
2032,28,127.277
2032,29,123.531
2032,30,118.523
2032,31,112.566
2032,32,105.96
2032,33,99.687
2032,34,93.611
2032,35,86.095
2032,36,77.016
2032,37,67.52
2032,38,57.800999999999995
2032,39,47.571000000000005
2032,40,37.157999999999994
2032,41,27.892
2032,42,20.011999999999997
2032,43,13.71
2032,44,8.964
2032,45,5.625
2032,46,3.523
2032,47,2.162
2032,48,1.351
2032,49,0.741
2033,15,11.755
2033,16,24.834
2033,17,42.943000000000005
2033,18,64.888
2033,19,84.834
2033,20,101.337
2033,21,113.88
2033,22,122.382
2033,23,127.998
