year,age,value
2020,0,0.02259968
2020,1,0.00141031
2020,2,0.00112507
2020,3,0.00090485
2020,4,0.00073546
2020,5,0.00060649
2020,6,0.00051005
2020,7,0.0004397
2020,8,0.00039065
2020,9,0.00035972
2020,10,0.00034513
2020,11,0.00034642
2020,12,0.00036374
2020,13,0.0003985
2020,14,0.00045115
2020,15,0.00052106
2020,16,0.00060427
2020,17,0.00069355
2020,18,0.00078133
2020,19,0.00085828
2020,20,0.00091814
2020,21,0.00095889
2020,22,0.00098355
2020,23,0.00099781
2020,24,0.00100744
2020,25,0.00101641
2020,26,0.00102763
2020,27,0.00104347
2020,28,0.0010649
2020,29,0.00109276
2020,30,0.00112788
2020,31,0.00117078
2020,32,0.00122131
2020,33,0.0012798
2020,34,0.00134677
2020,35,0.00142282
2020,36,0.00150907
2020,37,0.00160692
2020,38,0.00171849
2020,39,0.00184641
2020,40,0.00199425
2020,41,0.00216648
2020,42,0.00236693
2020,43,0.00259984
2020,44,0.00286711
2020,45,0.00316832
2020,46,0.00350203
2020,47,0.00386383
2020,48,0.00425163
2020,49,0.00466597
2020,50,0.00511213
2020,51,0.00560084
2020,52,0.00614364
2020,53,0.00675479
2020,54,0.00744416
2020,55,0.00821483
2020,56,0.00906486
2020,57,0.00998594
2020,58,0.01097753
2020,59,0.01204753
2020,60,0.01320888
2020,61,0.01448418
2020,62,0.01590351
2020,63,0.01750539
2020,64,0.01932475
2020,65,0.0213874
2020,66,0.02371124
2020,67,0.02630689
2020,68,0.02918943
2020,69,0.03237889
2020,70,0.03589822
2020,71,0.03977353
2020,72,0.04403341
2020,73,0.04872717
2020,74,0.05392356
2020,75,0.05970441
2020,76,0.06618195
2020,77,0.07347801
2020,78,0.08170572
2020,79,0.0909528
2020,80,0.10125971
2020,81,0.11260939
2020,82,0.12495777
2020,83,0.13826965
2020,84,0.15253544
2020,85,0.16783211
2020,86,0.18427715
2020,87,0.20197725
2020,88,0.2210272
2020,89,0.24145585
2020,90,0.26324033
2020,91,0.28626187
2020,92,0.31031396
2020,93,0.33524872
2020,94,0.36096834
2020,95,0.38746964
2020,96,0.41476601
2020,97,0.44276802
2020,98,0.47132729
2020,99,0.50020701
2021,0,0.0218991
2021,1,0.00134853
2021,2,0.00107795
2021,3,0.00086973
2021,4,0.00070946
2021,5,0.00058708
2021,6,0.00049526
2021,7,0.0004279
2021,8,0.00038046
2021,9,0.00035016
2021,10,0.00033554
2021,11,0.00033638
2021,12,0.00035302
2021,13,0.00039715
2021,14,0.00047367
2021,15,0.00057365
2021,16,0.00068473
2021,17,0.00079076
2021,18,0.00088421
2021,19,0.00096365
2021,20,0.00102624
