year,age,value
2020,0,2026029.5
2020,1,2222266.5
2020,2,2277115.5
2020,3,2307790.5
2020,4,2313236.0
2020,5,2291955.0
2020,6,2321940.5
2020,7,2365633.0
2020,8,2383332.0
2020,9,2371606.0
2020,10,2348102.0
2020,11,2344387.0
2020,12,2314663.5
2020,13,2265527.0
2020,14,2235522.5
2020,15,2212669.0
2020,16,2187832.5
2020,17,2169018.0
2020,18,2175788.5
2020,19,2187368.5
2020,20,2176604.5
2020,21,2148317.0
2020,22,2111739.0
2020,23,2079393.5
2020,24,2050718.0
2020,25,2019988.0
2020,26,1985347.5
2020,27,1955052.0
2020,28,1929164.5
2020,29,1890502.5
2020,30,1837234.5
2020,31,1777022.0
2020,32,1713262.0
2020,33,1656043.5
2020,34,1607025.5
2020,35,1563555.5
2020,36,1525903.5
2020,37,1497479.5
2020,38,1476023.5
2020,39,1452029.0
2020,40,1419267.5
2020,41,1373704.5
2020,42,1318810.5
2020,43,1265911.0
2020,44,1222098.0
2020,45,1186519.5
2020,46,1155313.0
2020,47,1134042.5
2020,48,1123416.5
2020,49,1108267.0
2020,50,1080718.5
2020,51,1043259.5
2020,52,1003325.5
2020,53,969909.0
2020,54,944153.5
2020,55,918321.5
2020,56,885441.5
2020,57,850831.5
2020,58,820076.5
2020,59,790182.0
2020,60,757930.5
2020,61,720401.5
2020,62,678781.5
2020,63,638753.5
2020,64,601044.5
2020,65,561416.0
2020,66,518381.0
2020,67,477146.0
2020,68,440848.5
2020,69,407373.5
2020,70,378205.5
2020,71,342759.0
2020,72,296811.5
2020,73,253183.0
2020,74,218587.0
2020,75,190415.5
2020,76,168235.0
2020,77,152361.5
2020,78,137742.0
2020,79,122978.0
2020,80,109157.5
2020,81,96435.5
2020,82,83721.0
2020,83,70978.5
2020,84,59046.5
2020,85,48972.0
2020,86,40234.5
2020,87,31872.5
2020,88,24547.5
2020,89,18585.5
2020,90,13846.5
2020,91,10209.0
2020,92,7383.5
2020,93,5219.0
2020,94,3621.5
2020,95,2443.5
2020,96,1585.5
2020,97,990.0
2020,98,593.5
2020,99,342.0
2021,0,1828604.5
2021,1,2017045.0
2021,2,2215784.5
2021,3,2272823.5
2021,4,2304874.0
2021,5,2311168.0
2021,6,2290408.5
2021,7,2320680.0
2021,8,2364522.5
2021,9,2382288.5
2021,10,2370561.0
2021,11,2346988.0
2021,12,2343114.0
2021,13,2313153.5
2021,14,2263706.5
2021,15,2233308.0
2021,16,2210005.0
2021,17,2184699.0
2021,18,2165414.5
2021,19,2171724.5
2021,20,2182880.0
2021,21,2171768.5
2021,22,2143215.5
2021,23,2106444.5
2021,24,2073952.5
2021,25,2045170.5
2021,26,2014372.0
2021,27,1979693.0
2021,28,1949373.5
2021,29,1923462.5
2021,30,1884801.5
2021,31,1831564.5
2021,32,1771394.5
2021,33,1707684.0
2021,34,1650489.0
2021,35,1601459.0
2021,36,1557940.0
2021,37,1520195.0
2021,38,1491618.0
2021,39,1469947.0
2021,40,1445708.0
2021,41,1412708.5
2021,42,1366946.0
2021,43,1311898.5
2021,44,1258845.5
2021,45,1214830.5
2021,46,1178984.0
2021,47,1147447.5
2021,48,1125734.5
2021,49,1114517.5
2021,50,1098729.0
2021,51,1070603.0
2021,52,1032654.5
2021,53,992295.0
2021,54,958426.5
2021,55,932150.5
2021,56,905784.5
2021,57,872446.5
2021,58,837393.0
2021,59,806094.0
2021,60,775592.5
2021,61,742749.0
2021,62,704733.5
2021,63,662774.5
2021,64,622453.0
2021,65,584431.0
2021,66,544578.5
2021,67,501514.0
2021,68,460321.5
2021,69,424001.0
2021,70,390250.5
2021,71,360495.5
2021,72,324824.0
2021,73,279525.0
2021,74,236824.5
2021,75,202963.0
2021,76,175341.5
2021,77,153562.0
2021,78,137685.5
2021,79,123066.5
2021,80,108507.0
2021,81,95045.5
2021,82,82725.0
2021,83,70636.0
2021,84,58821.0
2021,85,48004.0
2021,86,39033.5
2021,87,31360.0
2021,88,24248.5
2021,89,18227.0
2021,90,13447.5
2021,91,9758.0
2021,92,7000.5
