year,age,value
2020,15,10.085
2020,16,19.642
2020,17,30.055
2020,18,40.099999999999994
2020,19,46.934999999999995
2020,20,50.408
2020,21,53.342
2020,22,56.279999999999994
2020,23,59.414
2020,24,62.63100000000001
2020,25,65.315
2020,26,67.177
2020,27,68.211
2020,28,68.314
2020,29,67.107
2020,30,64.49199999999999
2020,31,61.004999999999995
2020,32,56.797
2020,33,52.601
2020,34,48.43
2020,35,43.825
2020,36,38.301
2020,37,32.794999999999995
2020,38,27.403
2020,39,21.867
2020,40,15.893
2020,41,11.169
2020,42,7.323
2020,43,4.3870000000000005
2020,44,2.335
2020,45,0.939
2020,46,0.323
2020,47,0.044
2020,48,0.0
2020,49,0.0
2021,15,8.969
2021,16,17.628
2021,17,27.426
2021,18,37.285
2021,19,44.457
2021,20,48.679
2021,21,52.077
2021,22,55.096
2021,23,58.076
2021,24,60.992
2021,25,63.43899999999999
2021,26,65.22699999999999
2021,27,66.37899999999999
2021,28,66.786
2021,29,65.986
2021,30,63.857
2021,31,60.746
2021,32,56.798
2021,33,52.731
2021,34,48.573
2021,35,43.922999999999995
2021,36,38.395
2021,37,32.887
2021,38,27.501
2021,39,22.013
2021,40,16.176
2021,41,11.473
2021,42,7.602
2021,43,4.615
2021,44,2.496
2021,45,0.954
2021,46,0.331
2021,47,0.045
2021,48,0.0
2021,49,0.0
2022,15,7.956
2022,16,15.948
2022,17,25.595
2022,18,35.935
2022,19,44.088
2022,20,49.59
2022,21,53.732
2022,22,56.824
2022,23,59.366
2022,24,61.438
2022,25,62.935
2022,26,63.822
2022,27,64.402
2022,28,64.607
2022,29,63.87
2022,30,62.006
2022,31,59.278
2022,32,55.787000000000006
2022,33,52.227999999999994
2022,34,48.589
2022,35,44.362
2022,36,38.993
2022,37,33.516999999999996
2022,38,28.051
2022,39,22.369
2022,40,16.132
2022,41,11.285
2022,42,7.365
2022,43,4.3740000000000006
2022,44,2.283
2022,45,0.939
2022,46,0.318
2022,47,0.043
2022,48,0.0
2022,49,0.0
2023,15,7.749
2023,16,15.8
2023,17,25.520999999999997
2023,18,35.912
2023,19,44.021
2023,20,49.379
2023,21,53.384
2023,22,56.367
2023,23,58.849
2023,24,60.909
2023,25,62.422
2023,26,63.337
2023,27,63.94
2023,28,64.16
2023,29,63.428
2023,30,61.563
2023,31,58.845
2023,32,55.374
2023,33,51.84
2023,34,48.227
2023,35,44.034
2023,36,38.709
2023,37,33.278
2023,38,27.856
2023,39,22.216
2023,40,16.021
2023,41,11.207999999999998
2023,42,7.319
2023,43,4.346
2023,44,2.261
2023,45,0.917
2023,46,0.31
2023,47,0.0419999999999999
2023,48,0.0
2023,49,0.0
2024,15,7.359
2024,16,15.013
