year,age,value
2020,0,0.00693183
2020,1,0.0005812
2020,2,0.00049132
2020,3,0.00041957
2020,4,0.00036366
2020,5,0.00032229
2020,6,0.00029484
2020,7,0.00028076
2020,8,0.00027951
2020,9,0.00029059
2020,10,0.00031353
2020,11,0.00035388
2020,12,0.0004157
2020,13,0.00050425
2020,14,0.00062203
2020,15,0.00076607
2020,16,0.00092016
2020,17,0.00105524
2020,18,0.00114621
2020,19,0.0011797
2020,20,0.00117099
2020,21,0.00114488
2020,22,0.00112543
2020,23,0.00113081
2020,24,0.00116329
2020,25,0.00122067
2020,26,0.00129364
2020,27,0.00137055
2020,28,0.00144293
2020,29,0.00150664
2020,30,0.00156476
2020,31,0.00162369
2020,32,0.00169628
2020,33,0.00179369
2020,34,0.00192013
2020,35,0.00208139
2020,36,0.0022815
2020,37,0.00251786
2020,38,0.00278409
2020,39,0.00307392
2020,40,0.00337884
2020,41,0.00368632
2020,42,0.00398657
2020,43,0.00427223
2020,44,0.00453825
2020,45,0.00478375
2020,46,0.00501547
2020,47,0.00524131
2020,48,0.00546591
2020,49,0.00569658
2020,50,0.00594294
2020,51,0.00621262
2020,52,0.00650317
2020,53,0.00680906
2020,54,0.00712987
2020,55,0.0074675
2020,56,0.00782461
2020,57,0.00819746
2020,58,0.00858317
2020,59,0.00898478
2020,60,0.00952793
2020,61,0.01010685
2020,62,0.01071625
2020,63,0.01135623
2020,64,0.01203667
2020,65,0.01276755
2020,66,0.0135524
2020,67,0.01511205
2020,68,0.01672332
2020,69,0.01830214
2020,70,0.01983716
2020,71,0.02140839
2020,72,0.0230945
2020,73,0.02499716
2020,74,0.02721974
2020,75,0.02980439
2020,76,0.03274418
2020,77,0.03601052
2020,78,0.03958318
2020,79,0.04344443
2020,80,0.04759187
2020,81,0.05208503
2020,82,0.05699463
2020,83,0.06237725
2020,84,0.06830992
2020,85,0.07487328
2020,86,0.08210663
2020,87,0.09001818
2020,88,0.09860787
2020,89,0.107861
2020,90,0.11778904
2020,91,0.12841127
2020,92,0.13973094
2020,93,0.1517672
2020,94,0.16449778
2020,95,0.18142141
2020,96,0.19856183
2020,97,0.2174268
2020,98,0.23820404
2020,99,0.26115077
2021,0,0.0066903
2021,1,0.00056464
2021,2,0.00047474
2021,3,0.00040327
2021,4,0.0003483
2021,5,0.00030843
2021,6,0.00028296
2021,7,0.00027133
2021,8,0.00027299
2021,9,0.00028737
2021,10,0.00031394
2021,11,0.00035827
2021,12,0.0004242
2021,13,0.00051634
2021,14,0.00063642
2021,15,0.00078011
2021,16,0.00093002
2021,17,0.00105693
2021,18,0.00113684
2021,19,0.00115863
2021,20,0.00114007
2021,21,0.00110604
2021,22,0.00107801
2021,23,0.00107283
2021,24,0.00109359
2021,25,0.00113866
2021,26,0.00119891
2021,27,0.00126404
2021,28,0.00132842
2021,29,0.00138751
2021,30,0.00144665
2021,31,0.00151213
2021,32,0.00159053
2021,33,0.00169396
2021,34,0.00182877
2021,35,0.00199773
2021,36,0.00220311
2021,37,0.00244698
2021,38,0.00272501
2021,39,0.00302728
2021,40,0.00334341
2021,41,0.00365944
2021,42,0.00396041
2021,43,0.00423519
2021,44,0.00448248
2021,45,0.00470441
2021,46,0.00490935
2021,47,0.00511266
2021,48,0.00532479
2021,49,0.00555087
2021,50,0.00579377
2021,51,0.00605659
2021,52,0.00633953
2021,53,0.0066339
2021,54,0.00692974
2021,55,0.00726785
2021,56,0.00762708
2021,57,0.00800761
2021,58,0.00840566
2021,59,0.00881835
2021,60,0.00924885
2021,61,0.00970192
2021,62,0.01017768
2021,63,0.01066933
2021,64,0.0111755
2021,65,0.01170468
2021,66,0.01226525
2021,67,0.0139268
2021,68,0.01561897
2021,69,0.01721583
2021,70,0.01867762
2021,71,0.02012232
2021,72,0.0216919
2021,73,0.02351978
2021,74,0.02571963
2021,75,0.02835564
2021,76,0.03144765
2021,77,0.03492756
2021,78,0.03874297
2021,79,0.04288051
2021,80,0.04733651
2021,81,0.05216961
2021,82,0.05747577
2021,83,0.06335883
2021,84,0.06989686
2021,85,0.07715551
2021,86,0.08520979
2021,87,0.09407332
2021,88,0.10373648
2021,89,0.11419378
2021,90,0.12542027
2021,91,0.13742968
2021,92,0.15022983
2021,93,0.1638019
2021,94,0.17813589
2021,95,0.19674354
2021,96,0.21600228
2021,97,0.23720706
2021,98,0.26054387
2021,99,0.28623631
2022,0,0.00646121
2022,1,0.00061585
2022,2,0.00057087
2022,3,0.00050529
2022,4,0.00044214
2022,5,0.00039026
2022,6,0.00035418
2022,7,0.00033866
2022,8,0.00034625
2022,9,0.00037463
2022,10,0.00042123
2022,11,0.00048932
2022,12,0.00058057
2022,13,0.00071482
2022,14,0.00089787
2022,15,0.00110629
2022,16,0.00130408
2022,17,0.00144461
2022,18,0.00150909
2022,19,0.00150775
2022,20,0.00146482
2022,21,0.00141158
2022,22,0.00137408
2022,23,0.00136378
2022,24,0.00137729
2022,25,0.00141464
2022,26,0.00146792
2022,27,0.00152683
2022,28,0.00158766
2022,29,0.00164947
2022,30,0.00171553
2022,31,0.00179407
2022,32,0.00189144
2022,33,0.00204075
2022,34,0.00226697
2022,35,0.00255908
2022,36,0.00289918
2022,37,0.0032709
2022,38,0.00368648
2022,39,0.00415232
2022,40,0.00464202
2022,41,0.00512939
2022,42,0.00558925
2022,43,0.00602737
2022,44,0.00644954
2022,45,0.00683275
2022,46,0.00715619
2022,47,0.0074034
2022,48,0.00757366
2022,49,0.00770107
2022,50,0.00781555
2022,51,0.00794699
2022,52,0.00812736
2022,53,0.00836407
2022,54,0.00862471
2022,55,0.00893996
2022,56,0.00925978
2022,57,0.00957438
2022,58,0.00981425
2022,59,0.00996984
2022,60,0.01011884
2022,61,0.01034487
2022,62,0.01073192
2022,63,0.01129435
2022,64,0.01196008
2022,65,0.01268689
2022,66,0.01344026
2022,67,0.01522833
2022,68,0.01706149
2022,69,0.01888388
2022,70,0.02063863
2022,71,0.02240866
2022,72,0.02432224
2022,73,0.02662556
2022,74,0.02945979
2022,75,0.03277445
2022,76,0.03651537
2022,77,0.04056229
2022,78,0.04507765
2022,79,0.05016907
2022,80,0.05560692
2022,81,0.0611986
2022,82,0.06676116
2022,83,0.0719135
2022,84,0.07684493
2022,85,0.08220743
2022,86,0.08866534
2022,87,0.09689572
2022,88,0.10678983
2022,89,0.11775697
2022,90,0.1297262
2022,91,0.14262207
2022,92,0.15638484
2022,93,0.17106522
2022,94,0.18677077
2022,95,0.20722036
2022,96,0.22867387
