year,age,value
2020,0,635204.5
2020,1,654729.5
2020,2,678151.0
2020,3,701481.5
2020,4,727762.0
2020,5,753428.5
2020,6,776451.0
2020,7,799944.5
2020,8,814689.0
2020,9,817783.5
2020,10,822388.5
2020,11,831801.0
2020,12,842144.5
2020,13,855521.5
2020,14,870894.0
2020,15,887406.0
2020,16,904194.5
2020,17,920791.0
2020,18,933685.0
2020,19,934903.0
2020,20,932809.0
2020,21,959015.5
2020,22,1013140.5
2020,23,1050057.0
2020,24,1047036.5
2020,25,1025271.5
2020,26,1018358.0
2020,27,1027214.0
2020,28,1032923.0
2020,29,1030872.5
2020,30,1020646.5
2020,31,1010500.5
2020,32,1006220.5
2020,33,1004359.5
2020,34,1010312.0
2020,35,1025697.0
2020,36,1049151.5
2020,37,1075098.5
2020,38,1087715.0
2020,39,1090476.5
2020,40,1089777.0
2020,41,1086740.0
2020,42,1083278.0
2020,43,1074936.5
2020,44,1070675.0
2020,45,1077090.5
2020,46,1091581.5
2020,47,1107309.5
2020,48,1114646.5
2020,49,1119940.0
2020,50,1122706.5
2020,51,1117572.0
2020,52,1105846.5
2020,53,1086002.5
2020,54,1066625.0
2020,55,1050331.0
2020,56,1033747.5
2020,57,1014211.5
2020,58,984855.5
2020,59,954678.0
2020,60,927721.5
2020,61,895441.0
2020,62,857252.5
2020,63,814661.5
2020,64,773319.5
2020,65,734053.0
2020,66,695332.0
2020,67,659618.5
2020,68,623481.5
2020,69,587471.0
2020,70,551604.0
2020,71,513029.0
2020,72,471971.0
2020,73,429647.0
2020,74,392164.0
2020,75,360890.0
2020,76,333096.5
2020,77,309705.0
2020,78,290840.5
2020,79,275261.5
2020,80,258502.5
2020,81,238502.0
2020,82,218228.0
2020,83,198403.5
2020,84,178999.0
2020,85,159608.0
2020,86,139861.0
2020,87,120594.0
2020,88,102074.5
2020,89,85435.0
2020,90,70999.0
2020,91,58068.0
2020,92,46692.0
2020,93,36721.0
2020,94,28203.5
2020,95,21216.0
2020,96,15547.0
2020,97,11105.0
2020,98,7814.0
2020,99,5426.0
2021,0,617978.0
2021,1,634641.0
2021,2,654557.0
2021,3,677995.5
2021,4,701337.5
2021,5,727624.5
2021,6,753293.0
2021,7,776309.5
2021,8,799790.5
2021,9,814515.5
2021,10,817589.0
2021,11,822165.0
2021,12,831542.0
2021,13,841840.5
2021,14,855163.0
2021,15,870469.5
2021,16,886907.5
2021,17,903629.0
2021,18,920183.5
2021,19,933076.5
2021,20,934341.0
2021,21,932310.5
2021,22,958540.0
2021,23,1012629.0
2021,24,1049493.0
2021,25,1046425.0
2021,26,1024609.5
2021,27,1017611.0
2021,28,1026357.5
2021,29,1031964.0
2021,30,1029823.5
2021,31,1019520.0
2021,32,1009290.5
2021,33,1004899.5
2021,34,1002897.5
2021,35,1008662.5
2021,36,1023804.0
2021,37,1046953.5
2021,38,1072540.5
2021,39,1084796.0
2021,40,1087201.5
2021,41,1086148.0
2021,42,1082774.0
2021,43,1078996.0
2021,44,1070388.5
2021,45,1065871.0
2021,46,1072004.5
2021,47,1086178.0
2021,48,1101577.0
2021,49,1108620.0
2021,50,1113613.0
2021,51,1116073.0
2021,52,1110654.5
2021,53,1098672.0
2021,54,1078625.5
2021,55,1059036.0
2021,56,1042489.5
2021,57,1025649.0
2021,58,1005875.5
2021,59,976369.5
2021,60,946028.5
2021,61,918854.5
2021,62,886411.0
2021,63,848138.5
2021,64,805535.0
2021,65,764190.5
2021,66,724917.5
2021,67,685895.5
2021,68,649603.5
2021,69,613022.0
2021,70,576726.0
