year,age,value
2020,15,0.857
2020,16,2.726
2020,17,7.466
2020,18,13.91
2020,19,23.849
2020,20,32.434
2020,21,38.283
2020,22,43.663
2020,23,50.705
2020,24,57.747
2020,25,66.996
2020,26,75.00800000000001
2020,27,84.261
2020,28,91.772
2020,29,99.004
2020,30,103.787
2020,31,108.052
2020,32,105.445
2020,33,98.942
2020,34,91.32
2020,35,81.593
2020,36,71.28800000000001
2020,37,58.324
2020,38,47.439
2020,39,37.473
2020,40,28.665
2020,41,19.079
2020,42,12.546
2020,43,7.789
2020,44,4.267
2020,45,2.645
2020,46,1.492
2020,47,0.87
2020,48,0.554
2020,49,0.362
2021,15,0.719
2021,16,2.313
2021,17,6.414000000000001
2021,18,13.081
2021,19,21.03
2021,20,29.668
2021,21,37.097
2021,22,43.23
2021,23,49.125
2021,24,55.317
2021,25,62.975
2021,26,72.474
2021,27,83.04
2021,28,93.985
2021,29,102.943
2021,30,109.185
2021,31,110.64
2021,32,107.57
2021,33,102.016
2021,34,94.387
2021,35,84.52
2021,36,72.666
2021,37,60.905
2021,38,49.675
2021,39,38.911
2021,40,28.239
2021,41,19.712
2021,42,12.836
2021,43,7.856
2021,44,4.679
2021,45,2.949
2021,46,1.673
2021,47,0.865
2021,48,0.383
2021,49,0.124
2022,15,0.709
2022,16,2.2790000000000004
2022,17,6.321000000000001
2022,18,12.89
2022,19,20.721
2022,20,29.229000000000003
2022,21,36.546
2022,22,42.586
2022,23,48.393
2022,24,54.494
2022,25,62.039
2022,26,71.399
2022,27,81.80999999999999
2022,28,92.593
2022,29,101.418
2022,30,107.568
2022,31,109.002
2022,32,105.977
2022,33,100.505
2022,34,92.99
2022,35,83.271
2022,36,71.592
2022,37,60.003
2022,38,48.939
2022,39,38.332
2022,40,27.815
2022,41,19.416
2022,42,12.643
2022,43,7.741
2022,44,4.6160000000000005
2022,45,2.918
2022,46,1.662
2022,47,0.866
2022,48,0.39
2022,49,0.131
2023,15,0.709
2023,16,2.28
2023,17,6.323
2023,18,12.893
2023,19,20.723
2023,20,29.229000000000003
2023,21,36.543
2023,22,42.581
2023,23,48.387
2023,24,54.487
2023,25,62.033
2023,26,71.393
2023,27,81.804
