year,age,value
2020,0,0.0037039
2020,1,0.00018054
2020,2,0.00012026
2020,3,0.00010052
2020,4,7.513e-05
2020,5,5.026e-05
2020,6,5.513e-05
2020,7,5.537e-05
2020,8,6.537e-05
2020,9,6.049e-05
2020,10,6.024e-05
2020,11,5e-05
2020,12,9.026e-05
2020,13,9.513e-05
2020,14,0.00011563
2020,15,0.00013588
2020,16,0.00014592
2020,17,0.00023196
2020,18,0.00028282
2020,19,0.00032797
2020,20,0.0003551
2020,21,0.00032374
2020,22,0.00034302
2020,23,0.00037984
2020,24,0.00035456
2020,25,0.00041957
2020,26,0.00043403
2020,27,0.00047263
2020,28,0.00046212
2020,29,0.00050712
2020,30,0.00055698
2020,31,0.00059479
2020,32,0.00070775
2020,33,0.00074844
2020,34,0.00080332
2020,35,0.00086298
2020,36,0.0009984
2020,37,0.00105761
2020,38,0.00111694
2020,39,0.00124514
2020,40,0.00134117
2020,41,0.00146768
2020,42,0.00151815
2020,43,0.00173752
2020,44,0.00182746
2020,45,0.00204858
2020,46,0.00224949
2020,47,0.00234129
2020,48,0.0026484
2020,49,0.00287587
2020,50,0.00313759
2020,51,0.00336037
2020,52,0.00353786
2020,53,0.00378197
2020,54,0.00411967
2020,55,0.00446149
2020,56,0.00490287
2020,57,0.00523681
2020,58,0.00591095
2020,59,0.00638279
2020,60,0.00719321
2020,61,0.00761693
2020,62,0.00855163
2020,63,0.00927878
2020,64,0.00984584
2020,65,0.01073103
2020,66,0.01214345
2020,67,0.01290491
2020,68,0.01426359
2020,69,0.0154561
2020,70,0.01700442
2020,71,0.01836216
2020,72,0.02042822
2020,73,0.02231157
2020,74,0.02640197
2020,75,0.02873368
2020,76,0.03274596
2020,77,0.03633911
2020,78,0.04161556
2020,79,0.04724583
2020,80,0.05185952
2020,81,0.05818978
2020,82,0.06529883
2020,83,0.07303841
2020,84,0.08360282
2020,85,0.09390237
2020,86,0.10677319
2020,87,0.12187509
2020,88,0.1338318
2020,89,0.15090047
2020,90,0.16946407
2020,91,0.19202831
2020,92,0.21318462
2020,93,0.24406121
2020,94,0.26284139
2020,95,0.29213808
2020,96,0.32152381
2020,97,0.3524523
2020,98,0.38475863
2020,99,0.4183161
2021,0,0.00388482
2021,1,0.00028029
2021,2,0.00014642
2021,3,8.691e-05
2021,4,6.877e-05
2021,5,7.961e-05
2021,6,9.439e-05
2021,7,5.599e-05
2021,8,5.129e-05
2021,9,4.694e-05
2021,10,7.132e-05
2021,11,6.716e-05
2021,12,7.708e-05
2021,13,0.00011461
2021,14,0.00010828
2021,15,0.00012314
2021,16,0.00016637
2021,17,0.00021846
2021,18,0.00030307
2021,19,0.00031986
2021,20,0.0003867
2021,21,0.00040207
2021,22,0.00042708
2021,23,0.00040419
2021,24,0.00045602
2021,25,0.00046778
2021,26,0.00048816
2021,27,0.00054213
2021,28,0.00054889
2021,29,0.00059774
2021,30,0.00065335
2021,31,0.00067608
2021,32,0.00069058
2021,33,0.00076883
2021,34,0.00082081
2021,35,0.00091834
2021,36,0.00094106
2021,37,0.00115442
2021,38,0.00114457
2021,39,0.00122888
2021,40,0.00134954
2021,41,0.00138307
2021,42,0.00151122
2021,43,0.00163121
2021,44,0.0019166
2021,45,0.00218716
2021,46,0.00238953
2021,47,0.00255441
2021,48,0.00269259
2021,49,0.00287394
2021,50,0.00318275
2021,51,0.00341152
2021,52,0.00353933
2021,53,0.00376764
2021,54,0.0041353
2021,55,0.00441629
2021,56,0.00494829
2021,57,0.00522463
2021,58,0.00571419
2021,59,0.00637769
2021,60,0.00692201
2021,61,0.00751395
2021,62,0.00860065
2021,63,0.00891971
2021,64,0.00967764
2021,65,0.01059499
2021,66,0.0112958
2021,67,0.01224255
2021,68,0.01348887
2021,69,0.01510931
2021,70,0.01669329
2021,71,0.01864755
2021,72,0.02035135
2021,73,0.02216189
2021,74,0.02464129
2021,75,0.02731653
2021,76,0.02931241
2021,77,0.03246172
2021,78,0.03701461
2021,79,0.04269631
2021,80,0.04836823
2021,81,0.05395575
2021,82,0.06086669
2021,83,0.06885951
2021,84,0.07800906
2021,85,0.08709357
2021,86,0.09865219
2021,87,0.11019474
2021,88,0.12487002
2021,89,0.14119126
2021,90,0.15904303
2021,91,0.17954266
2021,92,0.20143461
2021,93,0.22325626
2021,94,0.25272696
2021,95,0.27882738
2021,96,0.30900237
2021,97,0.3413428
2021,98,0.37667273
2021,99,0.41528848
2022,0,0.00383619
2022,1,0.00030739
2022,2,0.00017966
2022,3,0.00011425
2022,4,8.891e-05
2022,5,9.401e-05
2022,6,0.00010441
2022,7,6.466e-05
2022,8,5.893e-05
2022,9,5.396e-05
2022,10,7.756e-05
2022,11,7.354e-05
2022,12,8.352e-05
2022,13,0.00012071
2022,14,0.00011499
2022,15,0.00013069
2022,16,0.00017404
2022,17,0.00022594
2022,18,0.00030915
2022,19,0.00032506
2022,20,0.00038812
2022,21,0.00040039
2022,22,0.00042356
2022,23,0.0004012
2022,24,0.00045017
2022,25,0.00046234
2022,26,0.00048214
2022,27,0.00053572
2022,28,0.00054594
2022,29,0.00059466
2022,30,0.00065124
2022,31,0.00067685
2022,32,0.00069533
2022,33,0.00077111
2022,34,0.00081663
2022,35,0.00091075
2022,36,0.00093122
2022,37,0.00114101
2022,38,0.00113112
2022,39,0.001217
2022,40,0.00133948
2022,41,0.00137222
2022,42,0.00149905
2022,43,0.00161461
2022,44,0.00189075
2022,45,0.0021436
2022,46,0.00232713
2022,47,0.00247512
2022,48,0.00260508
2022,49,0.00280468
2022,50,0.00309588
2022,51,0.00328246
2022,52,0.00341752
2022,53,0.00362689
2022,54,0.00397099
2022,55,0.00424116
2022,56,0.00474544
2022,57,0.00500665
2022,58,0.00545892
2022,59,0.00605984
2022,60,0.00656065
2022,61,0.00712135
2022,62,0.00817213
2022,63,0.0084824
2022,64,0.00921864
2022,65,0.0100989
2022,66,0.0107931
2022,67,0.01170921
2022,68,0.01288967
2022,69,0.01437977
2022,70,0.01578434
2022,71,0.01759983
2022,72,0.01925377
2022,73,0.02102933
2022,74,0.02346627
2022,75,0.02616462
2022,76,0.02811321
2022,77,0.0310949
2022,78,0.03551426
2022,79,0.04092021
2022,80,0.04614994
2022,81,0.05142991
2022,82,0.0581149
2022,83,0.06601556
2022,84,0.0750131
2022,85,0.0838906
2022,86,0.09528495
2022,87,0.1065953
2022,88,0.12098284
2022,89,0.13699097
2022,90,0.15448478
2022,91,0.17469364
2022,92,0.19582642
2022,93,0.21707926
2022,94,0.24618291
2022,95,0.27173776
2022,96,0.30121537
2022,97,0.33276496
2022,98,0.36664079
2022,99,0.40298716
2023,0,0.00371515
2023,1,0.00025687
2023,2,0.00013632
2023,3,8.107e-05
2023,4,6.412e-05
2023,5,7.526e-05
2023,6,8.928e-05
2023,7,5.242e-05
2023,8,4.771e-05
2023,9,4.345e-05
2023,10,6.687e-05
2023,11,6.282e-05
2023,12,7.203e-05
2023,13,0.00010751
2023,14,0.00010076
2023,15,0.00011523
2023,16,0.00015621
2023,17,0.00020468
2023,18,0.00028482
2023,19,0.00030114
2023,20,0.00036471
2023,21,0.00037725
2023,22,0.00040009
2023,23,0.00038005
2023,24,0.00042863
2023,25,0.00044231
2023,26,0.00046195
2023,27,0.0005144
2023,28,0.00052483
2023,29,0.00057277
2023,30,0.00062657
2023,31,0.00064931
2023,32,0.00066936
2023,33,0.00074717
2023,34,0.00079226
2023,35,0.00088492
2023,36,0.00090724
2023,37,0.00111949
2023,38,0.00110633
2023,39,0.00118884
2023,40,0.00131172
2023,41,0.00134002
2023,42,0.00146395
2023,43,0.00157728
2023,44,0.00185667
2023,45,0.00210963
2023,46,0.0022881
2023,47,0.00243501
2023,48,0.00255709
2023,49,0.00275639
2023,50,0.00307051
2023,51,0.00324501
2023,52,0.00334467
2023,53,0.0035668
2023,54,0.00390124
2023,55,0.00415628
2023,56,0.00465834
2023,57,0.00489916
2023,58,0.00535644
2023,59,0.00593732
2023,60,0.00641201
2023,61,0.00695998
2023,62,0.00799182
2023,63,0.00828321
2023,64,0.00899015
2023,65,0.00984018
2023,66,0.01050166
2023,67,0.01138522
2023,68,0.01255303
2023,69,0.01404394
2023,70,0.01545057
2023,71,0.01721609
2023,72,0.01887345
2023,73,0.02059561
2023,74,0.02294768
2023,75,0.02556807
2023,76,0.02750476
2023,77,0.03041178
2023,78,0.03467364
2023,79,0.04003879
2023,80,0.04524604
2023,81,0.05040143
2023,82,0.05701915
2023,83,0.06490392
2023,84,0.07394006
2023,85,0.08281847
2023,86,0.09407119
2023,87,0.10535431
2023,88,0.11973089
2023,89,0.13573462
2023,90,0.15328889
2023,91,0.17382615
2023,92,0.1948525
2023,93,0.21610077
2023,94,0.245326
2023,95,0.27124879
2023,96,0.30096296
2023,97,0.33279935
2023,98,0.36704709
2023,99,0.40366742
2024,0,0.00364732
2024,1,0.00031188
2024,2,0.00011168
2024,3,9.269e-05
2024,4,8.437e-05
2024,5,7.648e-05
2024,6,7.239e-05
2024,7,6.744e-05
2024,8,5.936e-05
2024,9,5.663e-05
2024,10,6.419e-05
2024,11,7.171e-05
2024,12,7.921e-05
2024,13,9.206e-05
2024,14,0.00011167
2024,15,0.00013753
2024,16,0.00017514
2024,17,0.00023103
2024,18,0.00029016
2024,19,0.00032345
2024,20,0.00033887
2024,21,0.00035356
2024,22,0.00035843
2024,23,0.00036499
2024,24,0.00038678
2024,25,0.00041268
2024,26,0.00042993
2024,27,0.00044992
2024,28,0.00048407
2024,29,0.00052302
2024,30,0.00055526
2024,31,0.00059538
2024,32,0.00065453
2024,33,0.00069866
2024,34,0.00073949
2024,35,0.00080705
2024,36,0.00088582
2024,37,0.0009466
2024,38,0.00100319
2024,39,0.00108323
2024,40,0.00118518
2024,41,0.00129393
2024,42,0.00140581
2024,43,0.00153205
2024,44,0.00167077
2024,45,0.00181693
2024,46,0.00196393
2024,47,0.00211322
2024,48,0.00227516
2024,49,0.00245736
2024,50,0.00267517
2024,51,0.00289997
2024,52,0.00307901
2024,53,0.00328014
2024,54,0.00356856
2024,55,0.00391355
2024,56,0.00429597
2024,57,0.00469041
2024,58,0.00510416
2024,59,0.00559731
2024,60,0.00615378
2024,61,0.00678473
2024,62,0.00746442
2024,63,0.0081682
2024,64,0.00888624
2024,65,0.00966073
2024,66,0.01053369
2024,67,0.01148121
2024,68,0.01254386
2024,69,0.01370722
2024,70,0.01503489
2024,71,0.01661074
2024,72,0.01847517
2024,73,0.02073255
2024,74,0.02328625
2024,75,0.02609209
2024,76,0.02906899
2024,77,0.03240758
2024,78,0.03610593
2024,79,0.04039141
2024,80,0.04544182
2024,81,0.05116111
2024,82,0.0577024
2024,83,0.06565499
2024,84,0.07472089
2024,85,0.08468137
2024,86,0.09556777
2024,87,0.10810436
