year,age,value
2020,0,709605.0
2020,1,738935.0
2020,2,767944.0
2020,3,793290.5
2020,4,812404.5
2020,5,815230.5
2020,6,825223.5
2020,7,845093.0
2020,8,860527.0
2020,9,847682.0
2020,10,835161.5
2020,11,829224.0
2020,12,828254.0
2020,13,805465.0
2020,14,786615.5
2020,15,762504.0
2020,16,748312.0
2020,17,732054.5
2020,18,732319.5
2020,19,761994.5
2020,20,791448.5
2020,21,817042.5
2020,22,837791.5
2020,23,861758.5
2020,24,864573.0
2020,25,868843.0
2020,26,887036.0
2020,27,903425.5
2020,28,930368.0
2020,29,931056.5
2020,30,912446.0
2020,31,861274.5
2020,32,854680.0
2020,33,894113.5
2020,34,926524.5
2020,35,917397.5
2020,36,886538.0
2020,37,896364.0
2020,38,897249.0
2020,39,900264.5
2020,40,891133.5
2020,41,846116.0
2020,42,808390.5
2020,43,802877.5
2020,44,815033.0
2020,45,834438.5
2020,46,853357.0
2020,47,894069.0
2020,48,923447.0
2020,49,913367.0
2020,50,910102.0
2020,51,932022.5
2020,52,918935.0
2020,53,909403.0
2020,54,899990.0
2020,55,894996.5
2020,56,874132.5
2020,57,861987.0
2020,58,856104.5
2020,59,834153.5
2020,60,803314.5
2020,61,798208.0
2020,62,785085.0
2020,63,753179.5
2020,64,728635.5
2020,65,708760.0
2020,66,702854.5
2020,67,684624.0
2020,68,659900.5
2020,69,654839.5
2020,70,662587.0
2020,71,676794.5
2020,72,718059.0
2020,73,718540.0
2020,74,576885.0
2020,75,546215.0
2020,76,528381.5
2020,77,482072.0
2020,78,427279.0
2020,79,390890.0
2020,80,388735.0
2020,81,375799.5
2020,82,349930.0
2020,83,322468.5
2020,84,293189.5
2020,85,263039.5
2020,86,232985.5
2020,87,206046.0
2020,88,183524.5
2020,89,161905.5
2020,90,137719.0
2020,91,113293.0
2020,92,91743.0
2020,93,73270.5
2020,94,57261.5
2020,95,43339.5
2020,96,31936.5
2020,97,23262.0
2020,98,16602.5
2020,99,11351.0
2021,0,700658.5
2021,1,720532.5
2021,2,749779.5
2021,3,777018.0
2021,4,801691.5
2021,5,814829.0
2021,6,819079.0
2021,7,831228.5
2021,8,852236.5
2021,9,858619.0
2021,10,846249.0
2021,11,834222.5
2021,12,832686.0
2021,13,824688.0
2021,14,805071.0
2021,15,783797.5
2021,16,764785.0
2021,17,751010.5
2021,18,739015.5
2021,19,750814.0
2021,20,780355.5
2021,21,809776.0
2021,22,833465.5
2021,23,856956.0
2021,24,874192.0
2021,25,874822.0
2021,26,884458.0
2021,27,896752.0
2021,28,917632.5
2021,29,942616.0
2021,30,935158.0
2021,31,917820.0
2021,32,869755.0
2021,33,855664.5
2021,34,901061.5
2021,35,930673.5
2021,36,916928.5
2021,37,891553.0
2021,38,899014.0
2021,39,901777.5
2021,40,903129.5
2021,41,885542.0
2021,42,835951.5
2021,43,807529.0
2021,44,807265.5
2021,45,819660.5
