year,age,value
2020,15,1.543
2020,16,4.8069999999999995
2020,17,12.247
2020,18,23.76
2020,19,36.674
2020,20,49.714
2020,21,59.442
2020,22,65.689
2020,23,70.434
2020,24,74.432
2020,25,79.004
2020,26,84.40100000000001
2020,27,90.422
2020,28,96.612
2020,29,101.181
2020,30,103.421
2020,31,102.014
2020,32,97.044
2020,33,90.21
2020,34,81.895
2020,35,72.09
2020,36,61.132
2020,37,50.524
2020,38,40.599
2020,39,31.336
2020,40,22.852
2020,41,15.683
2020,42,9.987
2020,43,5.921
2020,44,3.388
2020,45,1.81
2020,46,0.969
2020,47,0.484
2020,48,0.242
2020,49,0.12
2021,15,1.664
2021,16,5.035
2021,17,12.511
2021,18,23.981
2021,19,36.838
2021,20,49.854
2021,21,59.808
2021,22,66.50699999999999
2021,23,71.702
2021,24,76.06599999999999
2021,25,80.796
2021,26,86.137
2021,27,91.977
2021,28,97.896
2021,29,102.159
2021,30,104.094
2021,31,102.481
2021,32,97.434
2021,33,90.678
2021,34,82.559
2021,35,72.884
2021,36,61.958
2021,37,51.323
2021,38,41.314
2021,39,31.877
2021,40,23.148
2021,41,15.792
2021,42,9.988
2021,43,5.863
2021,44,3.31
2021,45,1.743
2021,46,0.933
2021,47,0.472
2021,48,0.241
2021,49,0.121
2022,15,1.505
2022,16,4.641
2022,17,11.778
2022,18,22.825000000000003
2022,19,35.249
2022,20,48.198
2022,21,58.35
2022,22,65.153
2022,23,70.452
2022,24,74.95400000000001
2022,25,79.947
2022,26,85.524
2022,27,91.666
2022,28,97.863
2022,29,102.212
2022,30,104.619
2022,31,103.196
2022,32,98.492
2022,33,91.842
2022,34,83.777
2022,35,74.09
2022,36,63.089000000000006
2022,37,52.329
2022,38,42.234
2022,39,32.583
2022,40,23.732
2022,41,16.226999999999997
2022,42,10.262
2022,43,6.021999999999999
2022,44,3.402
2022,45,1.795
2022,46,0.965
2022,47,0.486
2022,48,0.246
2022,49,0.165
2023,15,1.371
2023,16,4.303000000000001
2023,17,11.125
2023,18,21.763
2023,19,33.77
2023,20,46.617
2023,21,56.934
2023,22,63.859
2023,23,69.298
2023,24,73.976
2023,25,79.254
2023,26,85.092
2023,27,91.547
2023,28,98.028
2023,29,102.481
2023,30,105.329
2023,31,104.081
2023,32,99.679
2023,33,93.112
2023,34,85.07900000000001
2023,35,75.359
2023,36,64.263
2023,37,53.365
