year,age,value
2020,0,0.00548853
2020,1,0.00038108
2020,2,0.00023223
2020,3,0.00017281
2020,4,0.00013834
2020,5,0.0001283
2020,6,0.00011832
2020,7,0.00010879
2020,8,0.000104
2020,9,0.00010978
2020,10,0.00011599
2020,11,0.00012753
2020,12,0.000144
2020,13,0.0001752
2020,14,0.00022796
2020,15,0.00031469
2020,16,0.00041144
2020,17,0.00052307
2020,18,0.00072829
2020,19,0.00080727
2020,20,0.00088991
2020,21,0.00103111
2020,22,0.00105495
2020,23,0.00111474
2020,24,0.00115161
2020,25,0.00123074
2020,26,0.00128946
2020,27,0.0013392
2020,28,0.00141958
2020,29,0.00150274
2020,30,0.00161041
2020,31,0.00168131
2020,32,0.00173002
2020,33,0.00183515
2020,34,0.00189122
2020,35,0.00196163
2020,36,0.00203237
2020,37,0.00213326
2020,38,0.00226678
2020,39,0.00238562
2020,40,0.00254117
2020,41,0.00259965
2020,42,0.00271523
2020,43,0.00280246
2020,44,0.00294658
2020,45,0.00314604
2020,46,0.0033703
2020,47,0.00362937
2020,48,0.00388293
2020,49,0.00419797
2020,50,0.00452781
2020,51,0.00497093
2020,52,0.00537376
2020,53,0.00576303
2020,54,0.00636277
2020,55,0.00693925
2020,56,0.00746838
2020,57,0.0081529
2020,58,0.00874492
2020,59,0.0095301
2020,60,0.01026086
2020,61,0.01127442
2020,62,0.0121836
2020,63,0.01300338
2020,64,0.01382762
2020,65,0.01473653
2020,66,0.01586344
2020,67,0.01697662
2020,68,0.01810241
2020,69,0.01940246
2020,70,0.02126027
2020,71,0.02332876
2020,72,0.02521693
2020,73,0.0277543
2020,74,0.03005127
2020,75,0.0334919
2020,76,0.03677062
2020,77,0.04019606
2020,78,0.04352931
2020,79,0.04795881
2020,80,0.05277917
2020,81,0.05854922
2020,82,0.06471354
2020,83,0.0733187
2020,84,0.08323132
2020,85,0.09381959
2020,86,0.10596237
2020,87,0.1183557
2020,88,0.1286017
2020,89,0.1381514
2020,90,0.14481521
2020,91,0.16127864
2020,92,0.17953718
2020,93,0.19864557
2020,94,0.22020041
2020,95,0.23406911
2020,96,0.25500255
2020,97,0.27735663
2020,98,0.3010025
2020,99,0.32580259
2021,0,0.00541607
2021,1,0.00037623
2021,2,0.00022885
2021,3,0.00017031
2021,4,0.00013657
2021,5,0.00012655
2021,6,0.00011661
2021,7,0.00010753
2021,8,0.00010087
2021,9,0.00010261
2021,10,0.00010318
2021,11,0.00010945
2021,12,0.00012171
2021,13,0.00015467
2021,14,0.00021643
2021,15,0.00031647
2021,16,0.00042705
2021,17,0.00055262
2021,18,0.0007721
2021,19,0.00087233
2021,20,0.000976
2021,21,0.00113466
2021,22,0.00117151
2021,23,0.00123743
2021,24,0.00128012
2021,25,0.00136184
2021,26,0.00142246
2021,27,0.00147427
2021,28,0.00155479
2021,29,0.00163706
2021,30,0.00173653
2021,31,0.00179674
2021,32,0.00183086
2021,33,0.00191832
2021,34,0.00195853
2021,35,0.0020107
2021,36,0.00206235
2021,37,0.0021458
2021,38,0.00225326
2021,39,0.00234676
2021,40,0.00247061
2021,41,0.0025061
2021,42,0.00261602
2021,43,0.00271565
2021,44,0.00289049
2021,45,0.00312882
2021,46,0.00340012
2021,47,0.00371401
2021,48,0.00403653
2021,49,0.00446248
2021,50,0.00491716
2021,51,0.00549637
2021,52,0.00604675
2021,53,0.0066256
2021,54,0.00745953
2021,55,0.00826185
2021,56,0.00896852
2021,57,0.00974772
2021,58,0.01032563
2021,59,0.01105283
2021,60,0.01166044
2021,61,0.01251885
2021,62,0.0132543
2021,63,0.01391788
2021,64,0.01460136
2021,65,0.0153689
2021,66,0.01637184
2021,67,0.01737824
2021,68,0.01856071
2021,69,0.0203038
2021,70,0.02256954
2021,71,0.02485454
2021,72,0.0267423
2021,73,0.02860652
2021,74,0.03026039
2021,75,0.03311858
2021,76,0.03550985
2021,77,0.03838796
2021,78,0.04182126
2021,79,0.04667219
2021,80,0.05205657
2021,81,0.05826938
2021,82,0.06406869
2021,83,0.07007541
2021,84,0.07569986
2021,85,0.08155474
2021,86,0.08870261
2021,87,0.09953246
2021,88,0.10988688
2021,89,0.11895955
2021,90,0.12592444
2021,91,0.14260472
2021,92,0.16122486
2021,93,0.18053711
2021,94,0.20203927
2021,95,0.21559769
2021,96,0.236465
2021,97,0.25897193
2021,98,0.28289581
2021,99,0.30808417
2022,0,0.00505701
2022,1,0.00038708
2022,2,0.00020836
2022,3,0.00016136
2022,4,0.00013173
2022,5,0.00011833
2022,6,0.00010896
2022,7,0.00010198
2022,8,9.649e-05
2022,9,9.735e-05
2022,10,9.876e-05
2022,11,0.00010518
2022,12,0.00011768
2022,13,0.00014806
2022,14,0.00020242
2022,15,0.00028738
2022,16,0.00038591
2022,17,0.00050348
2022,18,0.00068938
2022,19,0.00078528
2022,20,0.0008777
2022,21,0.00100796
2022,22,0.00104874
2022,23,0.0011057
2022,24,0.00114611
2022,25,0.00121468
2022,26,0.00126998
2022,27,0.00131949
2022,28,0.00138855
2022,29,0.00145874
2022,30,0.00153989
2022,31,0.00159496
2022,32,0.00163451
2022,33,0.00171124
2022,34,0.00175408
2022,35,0.00180662
2022,36,0.00186023
2022,37,0.00193783
2022,38,0.00203338
2022,39,0.00211993
2022,40,0.00222876
2022,41,0.002277
2022,42,0.00238215
2022,43,0.00248737
2022,44,0.00265502
2022,45,0.00287404
2022,46,0.00311876
2022,47,0.00339847
2022,48,0.00369246
2022,49,0.00406894
2022,50,0.00447705
2022,51,0.00498186
2022,52,0.00547109
2022,53,0.00599132
2022,54,0.0067065
2022,55,0.00739713
2022,56,0.00802027
2022,57,0.00869856
