year,age,value
2020,0,0.0052904
2020,1,0.00036601
2020,2,0.0002307
2020,3,0.00018561
2020,4,0.00013538
2020,5,0.00013053
2020,6,0.00011027
2020,7,0.00011028
2020,8,0.0001
2020,9,9.544e-05
2020,10,0.00011058
2020,11,0.00012573
2020,12,0.00014058
2020,13,0.0001812
2020,14,0.00023216
2020,15,0.00031313
2020,16,0.00042025
2020,17,0.00052262
2020,18,0.00074592
2020,19,0.00087359
2020,20,0.00092546
2020,21,0.00107265
2020,22,0.00110355
2020,23,0.0011838
2020,24,0.00122556
2020,25,0.0013005
2020,26,0.00133639
2020,27,0.00143709
2020,28,0.00150221
2020,29,0.00160222
2020,30,0.00168817
2020,31,0.00173426
2020,32,0.00179219
2020,33,0.00187751
2020,34,0.00191824
2020,35,0.00198698
2020,36,0.00207706
2020,37,0.00221691
2020,38,0.00224612
2020,39,0.00242279
2020,40,0.00255237
2020,41,0.00266543
2020,42,0.00271603
2020,43,0.00287578
2020,44,0.00302572
2020,45,0.00326602
2020,46,0.00348647
2020,47,0.00375637
2020,48,0.00410291
2020,49,0.00433804
2020,50,0.00474855
2020,51,0.00506781
2020,52,0.00557319
2020,53,0.00597066
2020,54,0.00652476
2020,55,0.00716227
2020,56,0.00777508
2020,57,0.0083662
2020,58,0.00895155
2020,59,0.00975204
2020,60,0.01077209
2020,61,0.01148164
2020,62,0.01222992
2020,63,0.01328427
2020,64,0.01403106
2020,65,0.01504766
2020,66,0.0160981
2020,67,0.01712878
2020,68,0.01834132
2020,69,0.01948495
2020,70,0.02141674
2020,71,0.02320811
2020,72,0.02542523
2020,73,0.0271019
2020,74,0.03074804
2020,75,0.03344601
2020,76,0.03761895
2020,77,0.04131261
2020,78,0.04580347
2020,79,0.04971758
2020,80,0.05553752
2020,81,0.06136187
2020,82,0.06855413
2020,83,0.07623533
2020,84,0.08526754
2020,85,0.09779563
2020,86,0.10734641
2020,87,0.12133281
2020,88,0.13781234
2020,89,0.1498569
2020,90,0.16929191
2020,91,0.18748219
2020,92,0.20970621
2020,93,0.23534273
2020,94,0.25830624
2020,95,0.28299934
2020,96,0.31067427
2020,97,0.33970382
2020,98,0.36998478
2020,99,0.40145711
2021,0,0.00556431
2021,1,0.00040534
2021,2,0.00025045
2021,3,0.0001907
2021,4,0.00016025
2021,5,0.00013538
2021,6,0.0001254
2021,7,0.00011541
2021,8,0.00011028
2021,9,0.00010543
2021,10,0.00012059
2021,11,0.00012544
2021,12,0.00014029
2021,13,0.00019088
2021,14,0.00024665
2021,15,0.00032309
2021,16,0.00044986
2021,17,0.0006031
2021,18,0.00081131
2021,19,0.00094007
2021,20,0.00098898
2021,21,0.00111219
2021,22,0.00118867
2021,23,0.00122851
2021,24,0.00131499
2021,25,0.00140744
2021,26,0.00148791
2021,27,0.00156895
2021,28,0.00166515
2021,29,0.00178047
2021,30,0.00187041
2021,31,0.00196118
2021,32,0.00207104
2021,33,0.00216555
2021,34,0.00223049
2021,35,0.00234631
2021,36,0.00242046
2021,37,0.00250978
2021,38,0.00266009
2021,39,0.00280487
2021,40,0.00293965
2021,41,0.00311992
2021,42,0.00327831
2021,43,0.00344982
2021,44,0.00359942
2021,45,0.0037649
2021,46,0.00410063
2021,47,0.00430514
2021,48,0.00465544
2021,49,0.00501023
2021,50,0.00543647
2021,51,0.00576657
2021,52,0.00622157
2021,53,0.00669052
2021,54,0.0071884
2021,55,0.00780517
2021,56,0.00853593
2021,57,0.00915745
2021,58,0.00985358
2021,59,0.01063652
2021,60,0.01143542
2021,61,0.01243379
2021,62,0.01326591
2021,63,0.01420468
2021,64,0.01521269
2021,65,0.01600534
2021,66,0.01693436
2021,67,0.01802619
2021,68,0.0192329
2021,69,0.02056772
2021,70,0.02212295
2021,71,0.0238304
2021,72,0.02578218
2021,73,0.02810965
2021,74,0.03032079
2021,75,0.03388473
2021,76,0.0370769
2021,77,0.04134617
2021,78,0.04545239
2021,79,0.05026101
2021,80,0.05481415
2021,81,0.06054983
2021,82,0.06682213
2021,83,0.07466007
2021,84,0.08235675
2021,85,0.09297633
2021,86,0.10477276
2021,87,0.11763331
2021,88,0.13175452
2021,89,0.14465388
2021,90,0.15624268
2021,91,0.17513866
2021,92,0.19421179
2021,93,0.2161283
2021,94,0.23912527
2021,95,0.25977218
2021,96,0.28434614
2021,97,0.31041454
2021,98,0.33771087
2021,99,0.36616237
2022,0,0.00543153
2022,1,0.00040223
2022,2,0.00023058
2022,3,0.00016841
2022,4,0.0001349
2022,5,0.00012457
2022,6,0.00011433
2022,7,0.00010563
2022,8,0.00010011
2022,9,0.0001054
2022,10,0.00010973
2022,11,0.00011926
2022,12,0.0001321
2022,13,0.00015546
2022,14,0.00021069
2022,15,0.00028987
2022,16,0.00038735
2022,17,0.00049374
2022,18,0.00069421
2022,19,0.0007833
2022,20,0.00087792
2022,21,0.00101417
2022,22,0.00104677
2022,23,0.00111371
2022,24,0.00115628
2022,25,0.00124296
2022,26,0.00129926
2022,27,0.00134691
2022,28,0.00141176
2022,29,0.00148178
2022,30,0.00156542
2022,31,0.00160676
2022,32,0.00164305
2022,33,0.00172409
2022,34,0.00177498
2022,35,0.00184173
2022,36,0.00189625
2022,37,0.00198569
2022,38,0.0020921
