year,age,value
2020,0,3695431.5
2020,1,3795665.5
2020,2,3872766.5
2020,3,3973791.5
2020,4,4062538.5
2020,5,4111441.0
2020,6,4117512.0
2020,7,4127523.500000001
2020,8,4164570.0
2020,9,4215400.0
2020,10,4312484.0
2020,11,4432371.5
2020,12,4524489.5
2020,13,4544339.5
2020,14,4481683.5
2020,15,4428051.5
2020,16,4423134.0
2020,17,4412162.0
2020,18,4421674.5
2020,19,4474468.5
2020,20,4470485.0
2020,21,4434449.5
2020,22,4424938.0
2020,23,4439648.5
2020,24,4489917.0
2020,25,4562732.0
2020,26,4657683.0
2020,27,4762969.5
2020,28,4866944.0
2020,29,4957900.5
2020,30,4948582.0
2020,31,4858833.0
2020,32,4784333.5
2020,33,4726252.0
2020,34,4712123.0
2020,35,4686671.5
2020,36,4645861.5
2020,37,4647849.0
2020,38,4631626.5
2020,39,4590500.5
2020,40,4524654.0
2020,41,4402083.5
2020,42,4309061.0
2020,43,4202695.5
2020,44,4094073.0
2020,45,4062483.5
2020,46,4031543.0
2020,47,4044343.5
2020,48,4200999.0
2020,49,4381292.0
2020,50,4356190.0
2020,51,4213578.0
2020,52,4152452.500000001
2020,53,4182556.5
2020,54,4265312.5
2020,55,4393899.0
2020,56,4474625.0
2020,57,4483047.0
2020,58,4508193.5
2020,59,4491662.0
2020,60,4422881.5
2020,61,4357099.0
2020,62,4268243.0
2020,63,4145256.000000001
2020,64,4022256.5
2020,65,3908801.5
2020,66,3764922.0
2020,67,3593352.5
2020,68,3421180.5
2020,69,3263001.0
2020,70,3143175.0
2020,71,3052978.0
2020,72,2998167.0
2020,73,2854510.5
2020,74,2466166.5
2020,75,2184455.0
2020,76,2130336.0
2020,77,2029585.0
2020,78,1819677.5
2020,79,1594798.0
2020,80,1449140.5
2020,81,1352000.0
2020,82,1254566.0
2020,83,1145768.0
2020,84,1050188.0
2020,85,958651.5
2020,86,854188.0
2020,87,759832.0
2020,88,674127.5
2020,89,588018.0
2020,90,502235.5
2020,91,416573.5
2020,92,340567.5
2020,93,268359.0
2020,94,206542.0
2020,95,156703.5
2020,96,114847.5
2020,97,82050.5
2020,98,56856.5
2020,99,37047.0
2021,0,3647102.0
2021,1,3698628.5
2021,2,3803680.5
2021,3,3881656.0
2021,4,3982724.0
2021,5,4071359.5
2021,6,4120277.0
2021,7,4126579.0
2021,8,4136972.5
2021,9,4174512.0
2021,10,4225795.0
2021,11,4323109.0
2021,12,4443052.0
2021,13,4535343.5
2021,14,4555303.0
2021,15,4492671.5
2021,16,4438948.0
2021,17,4433767.5
2021,18,4422291.0
2021,19,4431232.0
2021,20,4483649.5
2021,21,4479266.5
2021,22,4442751.5
2021,23,4432878.5
2021,24,4447227.5
2021,25,4496955.5
2021,26,4569082.5
2021,27,4663228.5
2021,28,4767607.5
2021,29,4870570.5
2021,30,4960479.0
2021,31,4950278.5
2021,32,4859872.5
2021,33,4784698.0
2021,34,4725831.5
2021,35,4710857.0
2021,36,4684465.5
2021,37,4642681.5
2021,38,4643706.0
2021,39,4626575.0
2021,40,4584618.5
2021,41,4517971.5
2021,42,4394652.5
2021,43,4300987.0
2021,44,4193999.0
2021,45,4084855.0
2021,46,4052296.0
2021,47,4020232.5
2021,48,4031753.5
2021,49,4186327.500000001
2021,50,4364084.5
2021,51,4337436.5
2021,52,4193824.0
2021,53,4131143.5
2021,54,4158962.000000001
2021,55,4238614.0
2021,56,4363338.0
2021,57,4440346.5
2021,58,4445630.5
2021,59,4467004.0
2021,60,4446590.5
2021,61,4374466.5
2021,62,4305475.0
2021,63,4213592.5
2021,64,4088160.5
2021,65,3963039.5
2021,66,3847386.0
2021,67,3701684.0
2021,68,3528801.0
2021,69,3355311.0
2021,70,3195334.5
2021,71,3072576.5
2021,72,2978548.5
2021,73,2918902.0
2021,74,2771794.0
2021,75,2387461.5
2021,76,2107603.0
2021,77,2047708.5
2021,78,1942985.0
2021,79,1734632.5
2021,80,1513301.0
2021,81,1367770.0
2021,82,1268078.0
2021,83,1168173.0
2021,84,1058366.0
2021,85,960538.0
2021,86,866790.5
2021,87,762614.5
2021,88,668133.0
2021,89,583906.0
2021,90,501783.0
2021,91,420944.0
2021,92,342060.0
2021,93,273367.5
2021,94,210343.5
2021,95,158133.0
2021,96,117071.5
2021,97,83467.5
2021,98,57899.5
2021,99,38921.5
2022,0,3707084.0
2022,1,3655121.0
2022,2,3710934.5
2022,3,3816859.5
2022,4,3895093.5
2022,5,3996329.0
2022,6,4085103.0
2022,7,4134249.5
