year,age,value
2020,15,22.360000000000003
2020,16,42.826
2020,17,65.11699999999999
2020,18,86.762
2020,19,101.712
2020,20,109.681
2020,21,116.55
2020,22,123.032
2020,23,128.855
2020,24,133.495
2020,25,134.989
2020,26,133.061
2020,27,128.445
2020,28,121.464
2020,29,112.798
2020,30,102.997
2020,31,93.811
2020,32,85.76599999999999
2020,33,79.42399999999999
2020,34,74.477
2020,35,69.015
2020,36,62.71
2020,37,56.029
2020,38,48.967
2020,39,41.034
2020,40,32.449
2020,41,24.676
2020,42,18.073
2020,43,12.756
2020,44,8.748000000000001
2020,45,6.027
2020,46,4.428999999999999
2020,47,3.258
2020,48,2.306
2020,49,1.359
2021,15,21.879
2021,16,42.045
2021,17,64.04700000000001
2021,18,85.43199999999999
2021,19,100.193
2021,20,108.079
2021,21,114.931
2021,22,121.399
2021,23,127.204
2021,24,131.829
2021,25,133.354
2021,26,131.515
2021,27,127.049
2021,28,120.27
2021,29,111.818
2021,30,102.228
2021,31,93.21
2021,32,85.282
2021,33,79.021
2021,34,74.12299999999999
2021,35,68.68
2021,36,62.369
2021,37,55.68
2021,38,48.614
2021,39,40.681
2021,40,32.102
2021,41,24.349
2021,42,17.778
2021,43,12.498
2021,44,8.529
2021,45,5.842
2021,46,4.275
2021,47,3.1319999999999997
2021,48,2.206
2021,49,1.292
2022,15,21.963
2022,16,42.148
2022,17,63.995
2022,18,85.044
2022,19,99.397
2022,20,106.874
2022,21,113.468
2022,22,119.825
2022,23,125.589
2022,24,130.215
2022,25,131.742
2022,26,129.893
2022,27,125.408
2022,28,118.604
2022,29,110.129
2022,30,100.528
2022,31,91.544
2022,32,83.693
2022,33,77.52499999999999
2022,34,72.73
2022,35,67.403
2022,36,61.221
2022,37,54.669
2022,38,47.741
2022,39,39.933
2022,40,31.462999999999997
2022,41,23.803
2022,42,17.31
2022,43,12.084
2022,44,8.154
2022,45,5.515
2022,46,3.994
2022,47,2.897
2022,48,2.021
2022,49,1.1720000000000002
2023,15,22.103
2023,16,42.365
2023,17,64.122
2023,18,84.908
2023,19,98.91
2023,20,106.018
2023,21,112.388
2023,22,118.662
2023,23,124.407
2023,24,129.051
2023,25,130.58800000000002
2023,26,128.729
2023,27,124.217
2023,28,117.371
2023,29,108.851
2023,30,99.214
2023,31,90.236
2023,32,82.43599999999999
2023,33,76.33800000000001
2023,34,71.625
2023,35,66.39200000000001
2023,36,60.314
2023,37,53.871
2023,38,47.053
2023,39,39.34
2023,40,30.949
2023,41,23.355
2023,42,16.916
2023,43,11.727
2023,44,7.827000000000001
2023,45,5.228
2023,46,3.747
2023,47,2.692
2023,48,1.86
2023,49,1.067
2024,15,22.238
2024,16,42.579
2024,17,64.25200000000001
2024,18,84.786
2024,19,98.453
2024,20,105.212
2024,21,111.371
