year,age,value
2020,0,0.02149108
2020,1,0.00315725
2020,2,0.00207051
2020,3,0.00137964
2020,4,0.00094896
2020,5,0.00068511
2020,6,0.00052809
2020,7,0.00044014
2020,8,0.00039802
2020,9,0.00038999
2020,10,0.00040998
2020,11,0.00045692
2020,12,0.00053185
2020,13,0.00063687
2020,14,0.00077367
2020,15,0.00094122
2020,16,0.00113469
2020,17,0.00134438
2020,18,0.00155999
2020,19,0.00177127
2020,20,0.0019769
2020,21,0.00218139
2020,22,0.00239414
2020,23,0.00262522
2020,24,0.00287755
2020,25,0.00314994
2020,26,0.00343041
2020,27,0.00370326
2020,28,0.00395887
2020,29,0.00419035
2020,30,0.00440406
2020,31,0.00461378
2020,32,0.00483336
2020,33,0.00507585
2020,34,0.00534053
2020,35,0.00562692
2020,36,0.00592762
2020,37,0.00622616
2020,38,0.00651915
2020,39,0.00681055
2020,40,0.00711461
2020,41,0.00745243
2020,42,0.00784429
2020,43,0.00830583
2020,44,0.00883864
2020,45,0.00943341
2020,46,0.01006915
2020,47,0.01071934
2020,48,0.01137272
2020,49,0.01202962
2020,50,0.01271701
2020,51,0.0134802
2020,52,0.0143545
2020,53,0.0153729
2020,54,0.01654093
2020,55,0.01783546
2020,56,0.01921359
2020,57,0.02061499
2020,58,0.02200608
2020,59,0.02338517
2020,60,0.02480247
2020,61,0.02636556
2020,62,0.02815334
2020,63,0.03021498
2020,64,0.03254632
2020,65,0.03504783
2020,66,0.03758407
2020,67,0.04000282
2020,68,0.04225831
2020,69,0.04443852
2020,70,0.04672341
2020,71,0.04942792
2020,72,0.05272858
2020,73,0.05674148
2020,74,0.06151346
2020,75,0.06667864
2020,76,0.07180517
2020,77,0.07647425
2020,78,0.0803983
2020,79,0.08371218
2020,80,0.08679383
2020,81,0.09031341
2020,82,0.09486041
2020,83,0.10073892
2020,84,0.10808286
2020,85,0.11654512
2020,86,0.12566422
2020,87,0.13491867
2020,88,0.14394102
2020,89,0.15289914
2020,90,0.16208404
2020,91,0.17218461
2020,92,0.18387912
2020,93,0.19740308
2020,94,0.2128431
2020,95,0.22637733
2020,96,0.2415797
2020,97,0.25739694
2020,98,0.27366131
2020,99,0.29016349
2021,0,0.02730078
2021,1,0.00366081
2021,2,0.00237669
2021,3,0.00156897
2021,4,0.00107111
2021,5,0.0007697
2021,6,0.00059239
2021,7,0.00049489
2021,8,0.00044986
2021,9,0.00044388
2021,10,0.00046976
2021,11,0.00052556
2021,12,0.0006116
2021,13,0.00072875
2021,14,0.00087804
2021,15,0.00105839
2021,16,0.00126708
2021,17,0.00149761
2021,18,0.00174271
2021,19,0.00199403
2021,20,0.00224845
2021,21,0.00250617
2021,22,0.00277058
2021,23,0.00304748
2021,24,0.00333545
2021,25,0.00363036
2021,26,0.00392259
2021,27,0.00419777
2021,28,0.00445002
2021,29,0.00468038
2021,30,0.00489945
2021,31,0.00512261
2021,32,0.00536369
2021,33,0.00563387
2021,34,0.00593208
2021,35,0.00624814
2021,36,0.00657395
2021,37,0.00689907
2021,38,0.00721837
2021,39,0.00754021
2021,40,0.0078898
2021,41,0.0082979
2021,42,0.00878841
2021,43,0.00938353
2021,44,0.01008059
2021,45,0.01085924
2021,46,0.01168556
2021,47,0.01251233
2021,48,0.01331698
2021,49,0.01410754
2021,50,0.01492679
2021,51,0.01585782
2021,52,0.01697878
2021,53,0.01834295
2021,54,0.0199648
2021,55,0.02178871
2021,56,0.02371713
2021,57,0.02561761
2021,58,0.02738165
2021,59,0.02898987
2021,60,0.03049361
2021,61,0.03205079
2021,62,0.03385192
2021,63,0.03602421
2021,64,0.03863667
2021,65,0.04164785
2021,66,0.04493986
2021,67,0.04835785
2021,68,0.0517682
2021,69,0.05518413
2021,70,0.05870813
2021,71,0.0625353
2021,72,0.0669055
2021,73,0.0718354
2021,74,0.07728963
2021,75,0.0831463
2021,76,0.08899876
2021,77,0.09453764
2021,78,0.0996646
2021,79,0.10454511
2021,80,0.10957961
2021,81,0.11532547
2021,82,0.12233538
2021,83,0.1308758
2021,84,0.14092036
2021,85,0.15210673
2021,86,0.16381509
2021,87,0.17557389
2021,88,0.18716013
2021,89,0.19892454
2021,90,0.21166825
2021,91,0.2261556
2021,92,0.24312744
2021,93,0.26272926
2021,94,0.2843438
2021,95,0.30045312
2021,96,0.32081785
2021,97,0.34205044
2021,98,0.36386897
2021,99,0.38599362
2022,0,0.02879193
2022,1,0.00386062
2022,2,0.00250655
2022,3,0.00165471
2022,4,0.00112965
2022,5,0.00081178
2022,6,0.00062479
2022,7,0.00052195
2022,8,0.00047447
2022,9,0.00046816
2022,10,0.00049545
2022,11,0.00055433
2022,12,0.00064507
2022,13,0.00076858
2022,14,0.00092607
2022,15,0.00111626
2022,16,0.00133636
2022,17,0.0015797
2022,18,0.00183829
2022,19,0.00210334
2022,20,0.00237173
2022,21,0.00264421
2022,22,0.00292379
2022,23,0.00321559
2022,24,0.00351961
2022,25,0.0038302
2022,26,0.0041369
2022,27,0.00442702
2022,28,0.00469313
2022,29,0.0049351
2022,30,0.00516611
2022,31,0.00540237
2022,32,0.00565671
2022,33,0.00594142
2022,34,0.00625578
2022,35,0.00659238
2022,36,0.00693481
2022,37,0.00727271
2022,38,0.0076093
2022,39,0.00794886
2022,40,0.00831665
2022,41,0.00874832
2022,42,0.00926894
2022,43,0.00989862
2022,44,0.01063788
2022,45,0.01146326
2022,46,0.01233905
2022,47,0.01321782
2022,48,0.01407248
2022,49,0.01491045
2022,50,0.01577827
2022,51,0.01675912
2022,52,0.01793551
2022,53,0.01937091
2022,54,0.02107862
2022,55,0.0230008
2022,56,0.02503818
2022,57,0.02705428
2022,58,0.02893518
2022,59,0.03065735
2022,60,0.03227142
2022,61,0.03392647
2022,62,0.03579977
2022,63,0.03804582
2022,64,0.04075126
2022,65,0.04386919
2022,66,0.04730365
2022,67,0.05090294
2022,68,0.05452241
2022,69,0.05814798
2022,70,0.06187265
2022,71,0.06590399
2022,72,0.07045669
2022,73,0.0756662
2022,74,0.08143456
2022,75,0.08750615
2022,76,0.09365998
2022,77,0.09951691
2022,78,0.10488189
2022,79,0.11001731
2022,80,0.11532443
2022,81,0.12138764
2022,82,0.12880045
