year,age,value
2020,0,1185390.0
2020,1,1144524.5
2020,2,1107208.5
2020,3,1072749.5
2020,4,1061486.0
2020,5,1065417.0
2020,6,1069081.0
2020,7,1074336.5
2020,8,1076647.5
2020,9,1081221.0
2020,10,1089091.5
2020,11,1101400.5
2020,12,1091903.5
2020,13,1077078.0
2020,14,1053794.5
2020,15,1016951.5
2020,16,978444.0
2020,17,959194.0
2020,18,970537.0
2020,19,997309.0
2020,20,1027906.0
2020,21,1047403.0
2020,22,1061991.5
2020,23,1084881.5
2020,24,1109371.0
2020,25,1117111.5
2020,26,1125778.0
2020,27,1131496.0
2020,28,1137970.5
2020,29,1137423.5
2020,30,1132343.5
2020,31,1123766.5
2020,32,1113222.5
2020,33,1103521.0
2020,34,1090520.5
2020,35,1070042.5
2020,36,1037811.5
2020,37,992147.0
2020,38,945399.5
2020,39,901553.5
2020,40,855007.5
2020,41,816820.5
2020,42,770468.0
2020,43,728264.5
2020,44,695712.0
2020,45,669175.5
2020,46,648062.5
2020,47,627382.0
2020,48,609969.5
2020,49,595058.5
2020,50,576951.5
2020,51,556881.0
2020,52,536072.0
2020,53,517859.5
2020,54,506362.5
2020,55,501795.0
2020,56,496957.5
2020,57,485702.0
2020,58,472039.5
2020,59,456277.5
2020,60,438356.0
2020,61,419956.0
2020,62,397393.5
2020,63,371543.5
2020,64,346836.0
2020,65,326564.5
2020,66,309590.5
2020,67,290930.0
2020,68,271813.5
2020,69,252261.5
2020,70,231509.0
2020,71,206525.0
2020,72,182863.5
2020,73,158658.0
2020,74,140091.0
2020,75,128960.0
2020,76,122315.0
2020,77,116805.5
2020,78,108970.0
2020,79,101380.5
2020,80,94460.0
2020,81,87178.5
2020,82,79536.0
2020,83,71041.5
2020,84,63133.5
2020,85,57101.5
2020,86,52648.5
2020,87,47819.5
2020,88,41360.0
2020,89,34690.5
2020,90,28536.0
2020,91,22956.5
2020,92,18085.5
2020,93,13832.5
2020,94,10332.0
2020,95,7702.0
2020,96,5801.0
2020,97,4422.0
2020,98,3289.5
2020,99,2363.5
2021,0,1222858.5
2021,1,1177072.5
2021,2,1142048.5
2021,3,1098937.0
2021,4,1060219.5
2021,5,1042382.0
2021,6,1039606.5
2021,7,1046838.5
2021,8,1058854.0
2021,9,1066338.5
2021,10,1075361.5
2021,11,1084432.0
2021,12,1092477.5
2021,13,1084758.5
2021,14,1075842.0
2021,15,1052827.5
2021,16,1016154.0
2021,17,979032.0
2021,18,964479.0
2021,19,981054.0
2021,20,1012540.5
2021,21,1045143.5
2021,22,1064274.0
2021,23,1078387.0
2021,24,1098793.0
2021,25,1120964.5
2021,26,1131266.0
2021,27,1138972.5
2021,28,1140856.5
2021,29,1146403.5
2021,30,1144613.0
2021,31,1136129.5
2021,32,1121452.0
2021,33,1106500.5
2021,34,1094140.5
2021,35,1079674.0
2021,36,1059506.0
2021,37,1028742.5
2021,38,985514.5
2021,39,944569.5
2021,40,905098.0
2021,41,858992.0
2021,42,817672.0
2021,43,769350.5
2021,44,727010.5
2021,45,692744.5
2021,46,666183.0
2021,47,645246.0
2021,48,623847.5
2021,49,606425.0
2021,50,592585.5
2021,51,575190.0
2021,52,555139.0
2021,53,533992.0
2021,54,516150.0
2021,55,505886.5
2021,56,503143.0
2021,57,498767.0
2021,58,485884.0
2021,59,470831.0
2021,60,454254.0
2021,61,436578.0
2021,62,418990.5
2021,63,396710.0
2021,64,371460.0
2021,65,347217.5
2021,66,326983.5
2021,67,309214.5
2021,68,288962.5
2021,69,268884.5
2021,70,248320.0
2021,71,218947.5
2021,72,194599.5
2021,73,171515.0
2021,74,148014.0
2021,75,130078.5
2021,76,119238.0
2021,77,112601.5
2021,78,107004.5
2021,79,99316.0
2021,80,91922.5
2021,81,85165.5
2021,82,78137.5
2021,83,70837.5
2021,84,62847.0
2021,85,55465.5
2021,86,49796.5
2021,87,45553.0
2021,88,41013.0
2021,89,35148.5
2021,90,29212.0
2021,91,23793.0
2021,92,18948.0
2021,93,14769.0
2021,94,11170.0
2021,95,8247.5
2021,96,6076.5
2021,97,4521.0
2021,98,3404.5
2021,99,2498.0
2022,0,1204363.5
2022,1,1216323.5
2022,2,1176187.0
2022,3,1139235.5
2022,4,1093175.5
2022,5,1053597.0
2022,6,1030224.0
2022,7,1026301.5
2022,8,1038205.5
2022,9,1052229.0
2022,10,1062800.5
2022,11,1073139.5
2022,12,1082132.5
2022,13,1086176.0
2022,14,1084645.0
2022,15,1076069.5
2022,16,1053799.5
2022,17,1017500.5
2022,18,982392.5
2022,19,971465.5
2022,20,990404.5
2022,21,1024741.5
2022,22,1056727.0
2022,23,1076109.0
2022,24,1089312.5
2022,25,1107783.5
2022,26,1129041.5
2022,27,1142175.5
2022,28,1145369.5
2022,29,1147212.5
2022,30,1151123.5
2022,31,1148960.5
2022,32,1136702.5
2022,33,1119025.0
2022,34,1102054.5
2022,35,1088478.5
2022,36,1073204.5
2022,37,1053645.0
2022,38,1023283.5
2022,39,981721.5
2022,40,944623.5
2022,41,905349.5
2022,42,859169.0
2022,43,814516.0
2022,44,767315.0
2022,45,723507.0
2022,46,688792.5
2022,47,662407.0
2022,48,641179.0
2022,49,619035.0
2022,50,602053.5
2022,51,588501.0
2022,52,571135.5
2022,53,550704.5
2022,54,529254.5
2022,55,511747.0
2022,56,501974.0
2022,57,500035.5
2022,58,494645.0
2022,59,480538.5
2022,60,464879.5
2022,61,447701.0
2022,62,430528.0
2022,63,412889.0
2022,64,390609.5
2022,65,365791.5
2022,66,341530.0
2022,67,321358.5
2022,68,302671.5
2022,69,281701.5
2022,70,261468.5
2022,71,235722.0
2022,72,207110.0
2022,73,183320.0
2022,74,160821.5
2022,75,138160.5
2022,76,120840.0
2022,77,110236.0
2022,78,103558.0
2022,79,97910.5
2022,80,90390.5
2022,81,83161.5
2022,82,76580.0
